country,field,disclosed_investment,estimated_investment
Argentina,All,49,1318
Armenia,All,23,27
Australia,Professional services,702,1496
Australia,Other,73,310
Australia,Agriculture,106,165
Australia,"Sales, retail, commerce, marketing",160,468
Australia,Robotics,36,73
Australia,Computer Vision,21,88
Australia,Navigation and mapping,58,99
Australia,"Mobile, platforms & Internet services",5727,6563
Australia,Education,39,98
Australia,Manufacturing,117,550
Australia,General purpose,7992,10961
Australia,"Military, public safety and government",58,75
Australia,Information Technology,6489,8935
Australia,Real estate,80,412
Australia,Data and analytics,7937,11241
Australia,Biotechnology,59,85
Australia,Cyber Security,126,156
Australia,Software,8423,11810
Australia,Media and Entertainment,1144,1445
Australia,Consumer goods,109,247
Australia,Transportation,86,564
Australia,Gaming,35,36
Australia,All,17306,21308
Australia,Energy and natural resources,91,325
Australia,Healthcare and Life Sciences,208,373
Australia,Telecommunications,88,94
Australia,Privacy and Security,144,189
Australia,Finance,540,1155
Australia,Sports,28,51
Australia,Hardware,5537,5915
Australia,Community and Lifestyle,105,129
Austria,Finance,45,198
Austria,Real estate,25,66
Austria,NLP,19,26
Austria,"Mobile, platforms & Internet services",26,653
Austria,Media and Entertainment,19,62
Austria,Hardware,62,226
Austria,Data and analytics,267,1834
Austria,Biotechnology,85,384
Austria,Software,297,2036
Austria,General purpose,261,1746
Austria,Professional services,19,220
Austria,Information Technology,112,967
Austria,All,700,2512
Austria,"Sales, retail, commerce, marketing",21,67
Austria,Computer Vision,32,48
Austria,Healthcare and Life Sciences,102,493
Austria,Transportation,47,219
Belgium,Professional services,300,758
Belgium,General purpose,1029,2809
Belgium,Healthcare and Life Sciences,19,175
Belgium,Community and Lifestyle,24,27
Belgium,Other,96,614
Belgium,Finance,175,310
Belgium,Software,1234,4154
Belgium,Energy and natural resources,219,316
Belgium,Computer Vision,121,121
Belgium,"Mobile, platforms & Internet services",252,593
Belgium,Real estate,230,231
Belgium,"Sales, retail, commerce, marketing",144,296
Belgium,Hardware,37,176
Belgium,All,2286,5214
Belgium,Information Technology,651,2051
Belgium,Data and analytics,1155,3357
Belgium,Cyber Security,295,438
Belgium,Privacy and Security,301,445
Belgium,Manufacturing,213,344
Brazil,All,4226,7917
Brazil,Real estate,31,618
Brazil,Software,2107,5508
Brazil,NLP,188,499
Brazil,"Mobile, platforms & Internet services",431,1903
Brazil,Cyber Security,32,32
Brazil,Navigation and mapping,26,27
Brazil,Information Technology,1493,2022
Brazil,Education,159,218
Brazil,Agriculture,45,56
Brazil,Transportation,35,323
Brazil,Finance,575,1356
Brazil,Media and Entertainment,31,50
Brazil,Data and analytics,1120,4146
Brazil,Privacy and Security,173,177
Brazil,Hardware,400,1157
Brazil,Telecommunications,146,182
