country,field,year,disclosed_investment,complete
China (mainland),Agriculture,2022,22,True
Sweden,Agriculture,2021,2,True
Brazil,Agriculture,2021,3,True
Peru,Agriculture,2021,1,True
Turkey,Agriculture,2024,1,True
Canada,Agriculture,2021,27,True
Saudi Arabia,Agriculture,2017,0,True
Greece,All,2018,2,True
China (mainland),All,2025,9072,True
Botswana,All,2021,1,True
Iran,All,2020,0,True
Slovakia,All,2025,13,True
Bosnia and Herzegovina,All,2023,0,True
Peru,All,2019,1,True
Norway,All,2020,372,True
Portugal,All,2019,93,True
Portugal,All,2022,66,True
India,All,2019,420,True
Philippines,All,2016,1,True
Seychelles,All,2016,1,True
New Zealand,All,2024,70,True
Mauritius,All,2021,21,True
Azerbaijan,All,2022,0,True
Switzerland,All,2022,813,True
Germany,Biotechnology,2023,30,True
Sweden,Biotechnology,2016,1,True
Thailand,Biotechnology,2021,1,True
Hungary,Biotechnology,2020,0,True
Ghana,Biotechnology,2021,0,True
Spain,Biotechnology,2026,6,False
Brazil,Biotechnology,2017,1,True
India,Community and Lifestyle,2016,1,True
Japan,Community and Lifestyle,2024,2,True
United Arab Emirates,Community and Lifestyle,2024,6,True
Vietnam,Community and Lifestyle,2021,0,True
Israel,Community and Lifestyle,2021,13,True
Estonia,Community and Lifestyle,2024,0,True
New Zealand,Community and Lifestyle,2025,0,True
Romania,Community and Lifestyle,2018,0,True
Germany,Computer Vision,2020,9,True
Poland,Computer Vision,2018,1,True
Hungary,Computer Vision,2025,0,True
Mexico,Consumer goods,2019,0,True
Singapore,Consumer goods,2019,4,True
Turkey,Consumer goods,2025,2,True
Israel,Consumer goods,2023,11,True
Vietnam,Consumer goods,2021,0,True
China (mainland),Consumer goods,2024,149,True
Sri Lanka,Consumer goods,2024,1,True
Belgium,Consumer goods,2021,1,True
Singapore,Cyber Security,2016,0,True
Japan,Cyber Security,2024,1,True
France,Cyber Security,2018,7,True
Sri Lanka,Cyber Security,2023,0,True
Poland,Data and analytics,2017,37,True
Sweden,Data and analytics,2020,3454,True
Netherlands,Data and analytics,2023,238,True
Spain,Data and analytics,2025,1200,True
Panama,Data and analytics,2024,0,True
Ghana,Data and analytics,2022,1,True
Slovakia,Data and analytics,2023,22,True
Tunisia,Data and analytics,2024,2,True
Kenya,Data and analytics,2017,0,True
Bangladesh,Data and analytics,2021,0,True
South Korea,Data and analytics,2022,833,True
Luxembourg,Data and analytics,2022,1,True
Burkina Faso,Education,2023,0,True
Poland,Education,2023,0,True
Singapore,Education,2023,8,True
Sri Lanka,Education,2025,0,True
United Kingdom,Education,2017,4,True
United States,Education,2026,45,False
Sweden,Energy and natural resources,2018,0,True
Mexico,Energy and natural resources,2024,0,True
Portugal,Energy and natural resources,2025,0,True
Brazil,Energy and natural resources,2016,0,True
Estonia,Energy and natural resources,2022,2,True
Saudi Arabia,Energy and natural resources,2024,0,True
Japan,Energy and natural resources,2018,9,True
Japan,Energy and natural resources,2024,51,True
Taiwan,Energy and natural resources,2023,3,True
Singapore,Energy and natural resources,2024,5,True
Canada,Facial Recognition,2017,0,True
Poland,Finance,2016,1,True
Turkey,Finance,2017,0,True
Italy,Finance,2023,1,True
Brazil,Finance,2025,96,True
Austria,Finance,2016,0,True
Netherlands,Finance,2018,21,True
Russia,Finance,2021,2,True
Vietnam,Finance,2025,81,True
Saudi Arabia,Finance,2025,603,True
Poland,Gaming,2017,0,True
Israel,Gaming,2017,0,True
Israel,Gaming,2019,0,True
Brazil,Gaming,2018,0,True
Ireland,Gaming,2021,0,True
Lithuania,General purpose,2016,0,True
Israel,General purpose,2016,160,True
Cyprus,General purpose,2023,0,True
Netherlands,General purpose,2025,223,True
Qatar,General purpose,2021,4,True
Nigeria,General purpose,2021,0,True
Iceland,General purpose,2017,1,True
Germany,General purpose,2019,167,True
Finland,General purpose,2017,8,True
Italy,General purpose,2016,8,True
Taiwan,General purpose,2018,23,True
Kazakhstan,General purpose,2021,1,True
Poland,General purpose,2018,14,True
Switzerland,General purpose,2023,95,True
Israel,Hardware,2017,121,True
Germany,Hardware,2020,29,True
Germany,Hardware,2021,360,True
Ireland,Hardware,2019,65,True
Thailand,Hardware,2019,0,True
Switzerland,Hardware,2026,3,False
Singapore,Healthcare and Life Sciences,2016,0,True
Thailand,Healthcare and Life Sciences,2025,0,True
Turkey,Healthcare and Life Sciences,2018,0,True
Mexico,Healthcare and Life Sciences,2017,1,True
Ireland,Healthcare and Life Sciences,2025,29,True
New Zealand,Healthcare and Life Sciences,2022,1,True
Hungary,Healthcare and Life Sciences,2021,1,True
Canada,Healthcare and Life Sciences,2022,64,True
Malaysia,Healthcare and Life Sciences,2018,0,True
Israel,Healthcare and Life Sciences,2022,134,True
Switzerland,Healthcare and Life Sciences,2020,10,True
Taiwan,Healthcare and Life Sciences,2019,5,True
South Korea,Information Technology,2016,27,True
Poland,Information Technology,2018,5,True
Poland,Information Technology,2023,6,True
Russia,Information Technology,2016,0,True
Brazil,Information Technology,2020,203,True
Thailand,Information Technology,2024,42,True
Pakistan,Information Technology,2017,0,True
Indonesia,Information Technology,2016,2,True
Slovenia,Information Technology,2016,0,True
Latvia,Information Technology,2024,0,True
Latvia,Information Technology,2025,0,True
Romania,Information Technology,2020,1,True
Finland,Information Technology,2021,68,True
Australia,Information Technology,2017,34,True
Italy,Lending and Investments,2024,0,True
Spain,Lending and Investments,2025,0,True
Germany,Lending and Investments,2020,15,True
Kenya,Lending and Investments,2018,0,True
Canada,Lending and Investments,2024,2,True
Spain,Manufacturing,2022,7,True
Chile,Manufacturing,2018,0,True
Italy,Manufacturing,2020,2,True
Finland,Media and Entertainment,2021,0,True
Italy,Media and Entertainment,2018,1,True
South Korea,Media and Entertainment,2025,18,True
Singapore,Media and Entertainment,2018,138,True
Norway,Media and Entertainment,2024,0,True
Poland,"Military, public safety and government",2024,1,True
South Korea,"Military, public safety and government",2018,1,True
Slovakia,"Military, public safety and government",2023,1,True
United Kingdom,"Military, public safety and government",2025,9,True
Chile,"Mobile, platforms & Internet services",2023,0,True
Romania,"Mobile, platforms & Internet services",2025,1,True
Albania,"Mobile, platforms & Internet services",2016,2,True
Brazil,"Mobile, platforms & Internet services",2016,0,True
Iceland,"Mobile, platforms & Internet services",2019,0,True
Belgium,"Mobile, platforms & Internet services",2017,89,True
South Africa,"Mobile, platforms & Internet services",2017,22,True
Luxembourg,"Mobile, platforms & Internet services",2024,20,True
Egypt,"Mobile, platforms & Internet services",2021,0,True
Spain,"Mobile, platforms & Internet services",2019,30,True
Serbia,"Mobile, platforms & Internet services",2020,0,True
Canada,"Mobile, platforms & Internet services",2025,191,True
Brazil,NLP,2019,32,True
China (mainland),NLP,2018,172,True
Portugal,NLP,2022,0,True
Hungary,NLP,2017,1,True
South Korea,NLP,2018,3,True
Pakistan,NLP,2026,1,False
Canada,NLP,2018,7,True
United States,NLP,2019,601,True
Serbia,NLP,2022,0,True
Singapore,Navigation and mapping,2016,1,True
Estonia,Navigation and mapping,2024,0,True
Brazil,Other,2017,0,True
United Arab Emirates,Other,2023,16,True
Panama,Other,2023,0,True
Japan,Other,2024,13,True
Belgium,Other,2017,24,True
Vietnam,Other,2022,0,True
Finland,Other,2020,5,True
Romania,Other,2023,10,True
Singapore,Other,2025,45,True
Turkey,Other,2025,1,True
Israel,Other,2019,21,True
Japan,Privacy and Security,2025,9,True
Taiwan,Privacy and Security,2018,3,True
Taiwan,Privacy and Security,2025,1,True
Bulgaria,Privacy and Security,2023,0,True
Netherlands,Privacy and Security,2016,11,True
United Arab Emirates,Privacy and Security,2021,1,True
Estonia,Privacy and Security,2018,1,True
Philippines,Privacy and Security,2022,0,True
Switzerland,Privacy and Security,2020,2,True
Saudi Arabia,Professional services,2023,0,True
Australia,Professional services,2018,28,True
Ireland,Professional services,2016,0,True
Japan,Professional services,2022,22,True
Czechia,Professional services,2016,0,True
Czechia,Professional services,2018,1,True
Czechia,Professional services,2024,0,True
Egypt,Professional services,2022,0,True
Nigeria,Professional services,2018,0,True
Australia,Real estate,2025,1,True
United States,Real estate,2017,94,True
Norway,Robotics,2019,3,True
Japan,Robotics,2022,3,True
South Korea,Robotics,2021,7,True
France,"Sales, retail, commerce, marketing",2016,28,True
Switzerland,"Sales, retail, commerce, marketing",2020,20,True
Switzerland,"Sales, retail, commerce, marketing",2023,11,True
Ireland,"Sales, retail, commerce, marketing",2016,5,True
Netherlands,"Sales, retail, commerce, marketing",2023,10,True
Bulgaria,"Sales, retail, commerce, marketing",2021,1,True
Czechia,"Sales, retail, commerce, marketing",2016,0,True
Norway,"Sales, retail, commerce, marketing",2019,1,True
Russia,"Sales, retail, commerce, marketing",2019,5,True
United States,Semiconductor,2017,57,True
United Kingdom,Semiconductor,2022,14,True
Israel,Semiconductor,2017,7,True
Israel,Semiconductor,2018,25,True
Japan,Semiconductor,2023,8,True
Armenia,Software,2023,0,True
Lithuania,Software,2018,1,True
Netherlands,Software,2025,267,True
Tunisia,Software,2024,2,True
Brazil,Software,2019,213,True
Oman,Software,2025,0,True
Croatia,Software,2021,3,True
Croatia,Software,2025,2,True
United Kingdom,Software,2022,1795,True
Latvia,Software,2024,2,True
Slovakia,Software,2018,2,True
Slovakia,Software,2022,3,True
Iceland,Software,2022,7,True
United Arab Emirates,Software,2025,397,True
France,Software,2026,309,False
South Africa,Software,2025,21,True
Romania,Speech Recognition,2021,0,True
United States,Speech Recognition,2018,39,True
Denmark,Speech Recognition,2020,2,True
Spain,Speech Recognition,2022,0,True
Netherlands,Sports,2022,2,True
United States,Sports,2017,46,True
Ireland,Telecommunications,2021,1,True
France,Transportation,2021,36,True
Germany,Transportation,2018,11,True
Australia,Transportation,2016,4,True
United Kingdom,Transportation,2019,44,True
United Arab Emirates,Transportation,2023,12,True
Canada,Transportation,2024,67,True
Malaysia,Transportation,2019,1,True
Brazil,Agriculture,2018,3,True
South Korea,Agriculture,2022,1,True
