country,field,year,estimated_investment,complete
Belgium,Agriculture,2024,14,True
Estonia,Agriculture,2024,3,True
Switzerland,Agriculture,2018,4,True
India,Agriculture,2025,15,True
Italy,Agriculture,2020,0,True
Israel,Agriculture,2016,17,True
Chile,Agriculture,2024,0,True
Singapore,Agriculture,2021,11,True
South Korea,All,2021,5251,True
Lebanon,All,2019,0,True
Italy,All,2021,320,True
Lithuania,All,2021,8,True
Qatar,All,2026,124,False
Brazil,All,2021,782,True
Sweden,All,2022,8031,True
Sweden,All,2026,37,False
United Arab Emirates,All,2023,499,True
Czechia,All,2016,4,True
Czechia,All,2019,43,True
Pakistan,All,2016,0,True
Mexico,All,2026,27,False
France,All,2023,3973,True
Zambia,All,2022,0,True
Czechia,Biotechnology,2025,19,True
Japan,Biotechnology,2016,5,True
Ukraine,Biotechnology,2018,0,True
South Korea,Biotechnology,2019,20,True
Canada,Biotechnology,2020,37,True
Indonesia,Biotechnology,2020,1,True
Cyprus,Biotechnology,2024,3,True
Sri Lanka,Community and Lifestyle,2023,0,True
Brazil,Community and Lifestyle,2023,31,True
Ireland,Community and Lifestyle,2022,210,True
United Arab Emirates,Community and Lifestyle,2019,16,True
India,Community and Lifestyle,2023,62,True
Cyprus,Community and Lifestyle,2023,0,True
Hungary,Computer Vision,2024,4,True
South Korea,Computer Vision,2019,4,True
Indonesia,Computer Vision,2018,5,True
Sweden,Computer Vision,2022,1,True
Serbia,Computer Vision,2022,0,True
Canada,Computer Vision,2020,8,True
Malaysia,Computer Vision,2019,3,True
Taiwan,Consumer goods,2022,9,True
Switzerland,Consumer goods,2020,40,True
China (mainland),Consumer goods,2024,648,True
Turkey,Consumer goods,2021,3,True
Italy,Consumer goods,2017,1,True
Netherlands,Consumer goods,2018,9,True
Czechia,Cyber Security,2023,5,True
Portugal,Cyber Security,2024,1,True
United States,Cyber Security,2019,2540,True
India,Data and analytics,2017,76,True
Bosnia and Herzegovina,Data and analytics,2016,0,True
Chile,Data and analytics,2021,36,True
Georgia,Data and analytics,2022,2,True
Malaysia,Data and analytics,2017,1,True
Malaysia,Data and analytics,2020,10,True
Ukraine,Data and analytics,2021,38,True
Italy,Data and analytics,2020,278,True
Greece,Data and analytics,2018,2,True
Mexico,Data and analytics,2016,6,True
Iceland,Data and analytics,2018,4,True
Estonia,Data and analytics,2019,6,True
Saudi Arabia,Data and analytics,2018,804,True
Taiwan,Data and analytics,2026,4,False
Iran,Data and analytics,2020,0,True
Finland,Data and analytics,2016,8,True
Ukraine,Education,2022,0,True
Germany,Education,2021,137,True
United States,Education,2016,737,True
Singapore,Education,2018,1,True
New Zealand,Education,2017,0,True
Malaysia,Education,2023,1,True
Norway,Energy and natural resources,2022,1,True
