country,field,num_patent_applications,num_patent_granted
Argentina,All,56,25
Argentina,Machine_Learning,44,20
Australia,Industrial_and_Manufacturing,274,197
Australia,Knowledge_Representation,187,138
Australia,Generic_and_Unspecified,959,606
Australia,Agricultural,237,172
Australia,Fuzzy_Logic,92,83
Australia,Speech_Processing,140,106
Australia,Transportation,219,183
Australia,Telecommunications,813,605
Australia,Logic_Programming,355,265
Australia,Personal_Devices_and_Computing,1658,1263
Australia,Probabilistic_Reasoning,261,180
Australia,Banking_and_Finance,263,176
Australia,Ontology_Engineering,90,70
Australia,Energy_Management,168,125
Australia,Control,472,361
Australia,Machine_Learning,3652,2494
Australia,Planning_and_Scheduling,487,305
Australia,Life_Sciences,1703,982
Australia,Physical_Sciences_and_Engineering,296,207
Australia,Security__eg_cybersecurity,376,284
Australia,Business,651,413
Australia,Computer_Vision,1144,831
Australia,Analytics_and_Algorithms,816,497
Australia,All,4721,3212
Australia,Measuring_and_Testing,737,503
Austria,Energy_Management,23,15
Austria,All,84,62
Austria,Measuring_and_Testing,26,20
Austria,Transportation,28,21
Austria,Machine_Learning,74,54
Austria,Personal_Devices_and_Computing,26,20
Belgium,All,40,35
Brazil,Personal_Devices_and_Computing,267,205
Brazil,Logic_Programming,75,50
Brazil,Planning_and_Scheduling,87,57
Brazil,Knowledge_Representation,32,20
Brazil,Probabilistic_Reasoning,45,32
Brazil,Banking_and_Finance,33,24
Brazil,Machine_Learning,600,439
Brazil,Physical_Sciences_and_Engineering,80,52
Brazil,Generic_and_Unspecified,180,110
Brazil,Computer_Vision,198,160
Brazil,Analytics_and_Algorithms,111,76
Brazil,Measuring_and_Testing,197,144
Brazil,All,797,551
Brazil,Speech_Processing,27,18
Brazil,Business,106,68
Brazil,Energy_Management,24,14
Brazil,Security__eg_cybersecurity,32,25
Brazil,Agricultural,94,67
Brazil,Life_Sciences,244,168
Brazil,Transportation,79,66
Brazil,Control,127,98
Brazil,Industrial_and_Manufacturing,65,52
Brazil,Telecommunications,142,98
Bulgaria,All,56,51
Canada,Analytics_and_Algorithms,811,459
Canada,All,4665,2655
Canada,Knowledge_Representation,225,141
Canada,Energy_Management,125,75
Canada,Industrial_and_Manufacturing,299,203
Canada,Computer_Vision,1070,736
Canada,Banking_and_Finance,303,160
Canada,Ontology_Engineering,93,55
Canada,Control,467,328
Canada,Probabilistic_Reasoning,298,173
Canada,Physical_Sciences_and_Engineering,373,216
Canada,Speech_Processing,128,76
Canada,Telecommunications,770,528
Canada,Logic_Programming,461,309
Canada,Transportation,285,223
Canada,Agricultural,188,116
Canada,Personal_Devices_and_Computing,1726,1167
Canada,Measuring_and_Testing,776,483
Canada,Security__eg_cybersecurity,305,196
Canada,Life_Sciences,1657,851
Canada,Generic_and_Unspecified,1010,506
Canada,Machine_Learning,3589,2115
Canada,Planning_and_Scheduling,542,285
Canada,Business,741,378
Canada,Fuzzy_Logic,46,26
China (mainland),Generic_and_Unspecified,107113,53690
