country,field,year,num_patent_applications,complete
Peru,Agriculture,2021,0,True
Luxembourg,Agriculture,2019,0,True
European Patent Organization,Agriculture,2018,5,True
Croatia,Agriculture,2022,0,False
Netherlands,Agriculture,2024,0,False
United States,Agriculture,2017,124,True
Canada,Agriculture,2017,21,True
South Korea,Agriculture,2020,169,True
Saudi Arabia,Agriculture,2022,0,False
China (mainland),All,2016,7967,True
Hungary,All,2021,8,True
Japan,All,2018,3571,True
New Zealand,All,2022,1,False
Denmark,All,2018,28,True
Colombia,All,2021,2,True
Colombia,All,2022,9,False
Uruguay,Banking and Finance,2020,0,True
Netherlands,Banking and Finance,2021,1,True
Eurasian Patent Organization,Banking and Finance,2016,1,True
Ukraine,Banking and Finance,2019,0,True
Brazil,Banking and Finance,2020,6,True
South Korea,Banking and Finance,2018,118,True
Malaysia,Banking and Finance,2017,1,True
Croatia,Banking and Finance,2020,0,True
Philippines,Business,2022,0,False
Romania,Business,2019,0,True
Spain,Business,2017,10,True
Lithuania,Business,2022,0,False
Greece,Business,2016,1,True
Greece,Business,2022,3,False
Eurasian Patent Organization,Business,2017,0,True
Denmark,Business,2021,1,True
Bulgaria,Business,2018,0,True
Chile,Energy Management,2021,0,True
Bulgaria,Energy Management,2024,1,False
Malaysia,Energy Management,2019,1,True
Philippines,Energy Management,2023,0,False
European Patent Organization,Energy Management,2024,0,False
New Zealand,Energy Management,2017,1,True
Ukraine,Energy Management,2023,0,False
Croatia,Energy Management,2022,0,False
Brazil,Energy Management,2017,3,True
Latvia,Energy Management,2020,0,True
Saudi Arabia,Energy Management,2018,1,True
Austria,Energy Management,2020,3,True
Greece,Industry and Manufacturing,2017,2,True
Lithuania,Industry and Manufacturing,2022,0,False
South Africa,Industry and Manufacturing,2023,0,False
Finland,Industry and Manufacturing,2020,3,True
Italy,Industry and Manufacturing,2018,6,True
Eurasian Patent Organization,Industry and Manufacturing,2017,1,True
Israel,Industry and Manufacturing,2020,1,True
Luxembourg,Industry and Manufacturing,2019,0,True
Ukraine,Industry and Manufacturing,2017,0,True
Chile,Industry and Manufacturing,2023,0,False
San Marino,Industry and Manufacturing,2018,0,True
New Zealand,Industry and Manufacturing,2018,0,True
India,Industry and Manufacturing,2021,0,True
Saudi Arabia,Life Sciences,2021,0,True
Belgium,Life Sciences,2020,2,True
Slovenia,Life Sciences,2019,1,True
Jordan,Life Sciences,2019,1,True
Italy,Life Sciences,2016,7,True
Croatia,Life Sciences,2019,0,True
Israel,Life Sciences,2019,2,True
Netherlands,Life Sciences,2019,8,True
Australia,Life Sciences,2016,74,True
Russia,Life Sciences,2019,11,True
Czechia,Personal Devices and Computing,2017,0,True
South Africa,Personal Devices and Computing,2024,0,False
Sweden,Personal Devices and Computing,2022,6,False
Bulgaria,Personal Devices and Computing,2020,0,True
Bulgaria,Personal Devices and Computing,2024,3,False
Belgium,Personal Devices and Computing,2017,0,True
Belgium,Personal Devices and Computing,2019,0,True
Czechia,Physical Sciences and Engineering,2021,0,True
Philippines,Physical Sciences and Engineering,2021,0,True
China (mainland),Physical Sciences and Engineering,2021,2220,True
Poland,Physical Sciences and Engineering,2023,0,False
Saudi Arabia,Physical Sciences and Engineering,2022,1,False
Germany,Physical Sciences and Engineering,2016,9,True
Jordan,Physical Sciences and Engineering,2019,0,True
Sweden,Physical Sciences and Engineering,2016,1,True
China (mainland),Security,2017,337,True
China (mainland),Security,2025,87,False
Philippines,Security,2019,1,True
Bulgaria,Security,2020,0,True
Slovenia,Security,2022,0,False
Denmark,Security,2020,3,True
Serbia,Security,2018,0,True
Argentina,Security,2020,0,True
India,Security,2018,20,True
Japan,Telecommunications,2017,315,True
Colombia,Telecommunications,2023,0,False
Germany,Telecommunications,2016,31,True
Canada,Telecommunications,2020,145,True
Argentina,Telecommunications,2022,5,False
Bulgaria,Telecommunications,2021,0,True
Bulgaria,Telecommunications,2022,0,False
Luxembourg,Transportation,2016,0,True
Poland,Transportation,2018,2,True
China (mainland),Transportation,2023,13854,False
Azerbaijan,Transportation,2018,0,True
Serbia,Transportation,2020,0,True
Bulgaria,Transportation,2022,0,False
Russia,Transportation,2021,5,True
Mexico,Transportation,2022,0,False
Luxembourg,Agriculture,2022,2,False
Ukraine,Agriculture,2021,0,True
Japan,Agriculture,2023,6,False
Colombia,Agriculture,2019,0,True
Taiwan,Agriculture,2016,1,True
Czechia,Agriculture,2018,0,True
Austria,Agriculture,2018,0,True
Philippines,Agriculture,2017,0,True
Finland,Agriculture,2019,1,True
South Korea,Agriculture,2017,37,True
Mexico,Agriculture,2021,9,True
Czechia,All,2020,4,True
San Marino,All,2018,2,True
World Intellectual Property Organization (WIPO),All,2024,30,False
Turkey,All,2018,18,True
Turkey,All,2022,53,False
Morocco,All,2019,7,True
Australia,All,2020,894,True
Philippines,Banking and Finance,2021,7,True
Sri Lanka,Banking and Finance,2016,0,True
China (mainland),Banking and Finance,2019,967,True
Canada,Banking and Finance,2022,42,False
Canada,Banking and Finance,2023,0,False
Romania,Banking and Finance,2023,0,False
Ukraine,Banking and Finance,2021,0,True
Peru,Banking and Finance,2022,3,False
Russia,Banking and Finance,2018,6,True
World Intellectual Property Organization (WIPO),Banking and Finance,2018,4,True
World Intellectual Property Organization (WIPO),Banking and Finance,2019,24,True
Switzerland,Banking and Finance,2017,0,True
Latvia,Banking and Finance,2017,0,True
Tunisia,Banking and Finance,2021,0,True
United Kingdom,Business,2017,23,True
Poland,Business,2019,4,True
Poland,Business,2024,0,False
Taiwan,Business,2021,21,True
Romania,Business,2018,0,True
Singapore,Business,2020,10,True
Czechia,Energy Management,2023,0,False
World Intellectual Property Organization (WIPO),Energy Management,2016,0,True
Peru,Energy Management,2020,1,True
Peru,Energy Management,2022,0,False
United Kingdom,Energy Management,2022,13,False
United Kingdom,Energy Management,2023,16,False
China (mainland),Industry and Manufacturing,2022,7052,False
Turkey,Industry and Manufacturing,2021,3,True
Luxembourg,Industry and Manufacturing,2021,3,True
United Kingdom,Industry and Manufacturing,2024,11,False
Morocco,Industry and Manufacturing,2019,0,True
Argentina,Industry and Manufacturing,2023,1,False
Sweden,Life Sciences,2021,3,True
Serbia,Life Sciences,2021,0,True
Mexico,Life Sciences,2019,31,True
San Marino,Life Sciences,2020,0,True
Philippines,Life Sciences,2021,0,True
Singapore,Life Sciences,2020,0,True
Austria,Life Sciences,2023,2,False
Bulgaria,Life Sciences,2024,5,False
Germany,Life Sciences,2021,93,True
Slovakia,Life Sciences,2020,0,True
Spain,Life Sciences,2021,20,True
Latvia,Personal Devices and Computing,2020,0,True
Israel,Personal Devices and Computing,2018,9,True
Luxembourg,Personal Devices and Computing,2022,24,False
Peru,Personal Devices and Computing,2018,2,True
Denmark,Personal Devices and Computing,2021,1,True
Portugal,Personal Devices and Computing,2017,3,True
Taiwan,Personal Devices and Computing,2016,33,True
Taiwan,Personal Devices and Computing,2020,166,True
Greece,Personal Devices and Computing,2019,1,True
Poland,Personal Devices and Computing,2023,3,False
Mexico,Personal Devices and Computing,2016,16,True
Netherlands,Physical Sciences and Engineering,2024,2,False
European Patent Organization,Physical Sciences and Engineering,2018,17,True
South Korea,Physical Sciences and Engineering,2024,6,False
Serbia,Physical Sciences and Engineering,2019,0,True
