country,field,year,num_patent_granted,complete
Portugal,Agriculture,2019,1,True
Australia,Agriculture,2019,22,True
Israel,Agriculture,2017,0,True
Philippines,Agriculture,2017,0,True
Romania,Agriculture,2019,0,True
European Patent Organization,Agriculture,2023,2,False
Finland,Agriculture,2020,0,False
Italy,Agriculture,2023,0,False
European Patent Organization,All,2018,434,True
South Africa,All,2018,6,True
Bulgaria,All,2019,3,True
China (mainland),All,2021,52285,False
Germany,All,2018,450,True
Philippines,All,2018,4,True
United States,All,2016,5064,True
South Korea,All,2017,1872,True
Austria,All,2016,9,True
France,All,2021,178,False
Serbia,All,2018,2,True
Saudi Arabia,Banking and Finance,2022,0,False
Sri Lanka,Banking and Finance,2016,0,True
Czechia,Banking and Finance,2018,0,True
Australia,Banking and Finance,2024,0,False
South Korea,Banking and Finance,2016,25,True
Mexico,Banking and Finance,2017,1,True
Colombia,Banking and Finance,2022,0,False
Finland,Banking and Finance,2023,0,False
Brazil,Banking and Finance,2018,5,True
Brazil,Banking and Finance,2021,4,False
Sweden,Banking and Finance,2020,0,False
Canada,Business,2018,85,True
Spain,Business,2020,5,False
Finland,Business,2023,0,False
Denmark,Business,2020,4,False
Morocco,Business,2022,2,False
Japan,Business,2018,230,True
Eurasian Patent Organization,Business,2018,0,True
Israel,Business,2019,1,True
Israel,Business,2020,0,False
Belgium,Business,2017,2,True
Ukraine,Energy Management,2019,0,True
Uruguay,Energy Management,2017,0,True
United Kingdom,Energy Management,2020,9,False
Finland,Energy Management,2018,2,True
South Korea,Energy Management,2021,332,False
United States,Energy Management,2016,96,True
Netherlands,Industry and Manufacturing,2017,0,True
Denmark,Industry and Manufacturing,2017,0,True
Japan,Industry and Manufacturing,2023,21,False
Poland,Industry and Manufacturing,2022,2,False
Sweden,Industry and Manufacturing,2019,2,True
Costa Rica,Industry and Manufacturing,2020,1,False
Singapore,Industry and Manufacturing,2017,4,True
United States,Industry and Manufacturing,2023,35,False
United States,Industry and Manufacturing,2024,3,False
Poland,Life Sciences,2018,6,True
Philippines,Life Sciences,2022,0,False
Italy,Life Sciences,2017,8,True
United States,Life Sciences,2018,1487,True
Canada,Life Sciences,2023,0,False
World Intellectual Property Organization (WIPO),Personal Devices and Computing,2020,50,False
Italy,Personal Devices and Computing,2017,5,True
Finland,Personal Devices and Computing,2023,3,False
Israel,Personal Devices and Computing,2018,7,True
World Intellectual Property Organization (WIPO),Physical Sciences and Engineering,2023,0,False
India,Physical Sciences and Engineering,2018,6,True
Hungary,Physical Sciences and Engineering,2018,0,True
Lithuania,Physical Sciences and Engineering,2022,0,False
Belgium,Physical Sciences and Engineering,2017,0,True
Slovenia,Physical Sciences and Engineering,2019,0,True
South Korea,Physical Sciences and Engineering,2018,145,True
Croatia,Physical Sciences and Engineering,2019,0,True
Norway,Security,2018,0,True
Portugal,Security,2022,0,False
Denmark,Security,2017,1,True
Lithuania,Security,2016,1,True
Netherlands,Security,2021,1,False
Canada,Security,2017,27,True
World Intellectual Property Organization (WIPO),Security,2022,4,False
Germany,Security,2016,11,True
Australia,Telecommunications,2019,94,True
