country,field,num_articles,num_citations
Czechia,AI Safety,144,3105
Algeria,AI Safety,82,700
NATO,AI Safety,32150,1672459
United Kingdom,AI Safety,3997,175893
Mexico,AI Safety,126,4590
Denmark,AI Safety,383,11667
Colombia,AI Safety,63,1540
Hungary,AI Safety,77,704
Ghana,AI Safety,17,481
Turkey,AI Safety,311,6620
Finland,AI Safety,280,12725
China (mainland),AI Safety,10284,309663
Canada,AI Safety,2252,95774
Morocco,AI Safety,138,754
Croatia,AI Safety,42,1305
OECD,AI Safety,37077,1816505
Norway,AI Safety,307,7078
South Africa,AI Safety,127,5436
Vietnam,AI Safety,155,2125
ASEAN,AI Safety,1924,69425
Portugal,AI Safety,282,4111
France,AI Safety,1770,104973
Chile,AI Safety,77,1017
Slovakia,AI Safety,35,799
Global Partnership on Artificial Intelligence,AI Safety,39179,1834901
Italy,AI Safety,1601,41455
Saudi Arabia,AI Safety,430,8977
Ireland,AI Safety,340,9527
Oceania,AI Safety,2034,97937
South Korea,AI Safety,1356,67277
Sri Lanka,AI Safety,67,247
Asia,AI Safety,19948,549461
United States,AI Safety,18352,1295486
Tunisia,AI Safety,94,627
Malta,AI Safety,37,1053
Netherlands,AI Safety,1182,37729
South and Central America,AI Safety,761,15303
Jordan,AI Safety,115,1414
Poland,AI Safety,214,5880
Iran,AI Safety,187,2168
New Zealand,AI Safety,135,3636
Thailand,AI Safety,77,346
Greece,AI Safety,315,5393
Germany,AI Safety,4043,142489
India,AI Safety,3326,39496
Five Eyes,AI Safety,24796,1513271
Lebanon,AI Safety,48,1097
Malaysia,AI Safety,274,2610
Philippines,AI Safety,75,421
Pakistan,AI Safety,215,4537
Cyprus,AI Safety,76,1046
Ecuador,AI Safety,30,191
EU,AI Safety,11814,399784
Iraq,AI Safety,84,490
Japan,AI Safety,1411,41884
Slovenia,AI Safety,50,2180
Brazil,AI Safety,532,10968
North America and the Caribbean,AI Safety,20184,1350265
Luxembourg,AI Safety,93,1875
Argentina,AI Safety,44,1642
Serbia,AI Safety,45,658
Quad,AI Safety,24073,1410842
Europe,AI Safety,16128,584403
Indonesia,AI Safety,171,827
Switzerland,AI Safety,899,52573
Spain,AI Safety,901,30916
Australia,AI Safety,1923,95477
Estonia,AI Safety,54,1217
Egypt,AI Safety,148,1757
Sweden,AI Safety,718,20231
Africa,AI Safety,760,10671
United Arab Emirates,AI Safety,353,10670
Russia,AI Safety,184,2725
Nigeria,AI Safety,88,1040
Ukraine,AI Safety,36,108
Qatar,AI Safety,101,4866
Bangladesh,AI Safety,187,2288
Taiwan,AI Safety,372,10317
Romania,AI Safety,124,3887
Singapore,AI Safety,1182,63260
Israel,AI Safety,602,43264
Belgium,AI Safety,449,15033
Austria,AI Safety,500,12225
Benin,All,170,998
Trinidad and Tobago,All,181,1542
Canada,All,64421,2077956
Philippines,All,5397,41315
Lithuania,All,1863,33375
Latvia,All,971,8779
Netherlands,All,31998,990331
