country,field,year,num_articles,complete
Algeria,AI Safety,2020,2,True
South Africa,AI Safety,2017,6,True
Europe,AI Safety,2020,1787,True
Brazil,AI Safety,2019,42,True
Kosovo,AI Safety,2021,1,True
Indonesia,AI Safety,2025,37,False
Turkey,AI Safety,2025,57,False
North Macedonia,AI Safety,2025,3,False
Mexico,AI Safety,2016,4,True
Romania,AI Safety,2024,25,True
Colombia,AI Safety,2025,9,False
Canada,AI Safety,2023,327,True
Kenya,AI Safety,2024,4,True
Kenya,AI Safety,2025,4,False
New Zealand,AI Safety,2022,15,True
India,AI Safety,2016,21,True
North America and the Caribbean,AI Safety,2026,1,False
Monaco,All,2022,1,True
Togo,All,2021,5,True
Tanzania,All,2022,80,True
Honduras,All,2023,38,True
Netherlands,All,2025,2489,False
Gabon,All,2020,3,True
Gabon,All,2022,18,True
Colombia,All,2021,788,True
Colombia,All,2025,405,False
Qatar,All,2016,221,True
Argentina,All,2020,337,True
Samoa,All,2023,3,True
Yemen,All,2016,37,True
Slovenia,All,2024,398,True
Malta,All,2024,88,True
Serbia,All,2016,242,True
Serbia,All,2025,319,False
Latvia,All,2018,71,True
Guatemala,All,2018,6,True
Bangladesh,All,2016,310,True
Myanmar,All,2018,104,True
Nicaragua,All,2016,2,True
OECD,All,2017,75341,True
Switzerland,All,2022,3631,True
Greece,All,2022,1862,True
Iraq,All,2025,1125,False
Luxembourg,All,2017,149,True
Croatia,All,2016,235,True
Rwanda,All,2016,4,True
Germany,All,2017,6738,True
Germany,All,2023,14038,True
Ghana,All,2022,227,True
Mauritius,All,2021,35,True
Uruguay,All,2018,38,True
Austria,All,2024,1785,True
Ireland,All,2020,991,True
South and Central America,All,2017,3646,True
Taiwan,Computer Vision,2020,1052,True
Madagascar,Computer Vision,2020,4,True
Spain,Computer Vision,2016,738,True
Spain,Computer Vision,2017,894,True
Philippines,Computer Vision,2020,187,True
Panama,Computer Vision,2020,3,True
Ethiopia,Computer Vision,2023,120,True
Myanmar,Computer Vision,2024,43,True
Burundi,Computer Vision,2021,1,True
New Zealand,Computer Vision,2023,242,True
Nepal,Computer Vision,2025,24,False
San Marino,Computer Vision,2018,1,True
Slovenia,Computer Vision,2017,41,True
Netherlands,Computer Vision,2024,840,True
Azerbaijan,Computer Vision,2018,6,True
Somalia,Computer Vision,2023,4,True
Mongolia,Computer Vision,2023,10,True
South Korea,Computer Vision,2022,3185,True
Malta,Computer Vision,2022,30,True
Malta,Computer Vision,2023,23,True
Oman,Computer Vision,2020,29,True
Chile,Computer Vision,2016,49,True
Africa,Computer Vision,2019,1352,True
Algeria,Computer Vision,2025,120,False
Dominica,Computer Vision,2023,1,True
Senegal,Computer Vision,2020,7,True
Senegal,Computer Vision,2023,16,True
Portugal,Computer Vision,2016,204,True
Gabon,Computer Vision,2024,2,True
Vietnam,Computer Vision,2021,515,True
Malaysia,Computer Vision,2019,750,True
Iran,Computer Vision,2016,393,True
Iran,Computer Vision,2021,794,True
Iran,Computer Vision,2024,723,True
Czechia,Computer Vision,2020,248,True
Czechia,Computer Vision,2022,230,True
Singapore,Large language models,2019,102,True
ASEAN,Large language models,2023,1319,True
North Macedonia,Large language models,2022,2,True
Malta,Large language models,2025,5,False
Zambia,Large language models,2022,1,True
Germany,Large language models,2020,411,True
Global Partnership on Artificial Intelligence,Large language models,2024,13540,True
Bangladesh,Large language models,2019,11,True
Kuwait,Large language models,2025,16,False
Tunisia,Large language models,2023,26,True
Serbia,Large language models,2019,4,True
Pakistan,Large language models,2023,103,True
Iran,Large language models,2020,35,True
Taiwan,Large language models,2019,70,True
Hungary,Large language models,2020,10,True
Slovenia,Natural Language Processing,2020,63,True
Uzbekistan,Natural Language Processing,2020,30,True
Uzbekistan,Natural Language Processing,2021,80,True
Luxembourg,Natural Language Processing,2024,24,True
Kenya,Natural Language Processing,2019,15,True
Bahrain,Natural Language Processing,2022,14,True
Global Partnership on Artificial Intelligence,Natural Language Processing,2024,15487,True
Ghana,Natural Language Processing,2020,7,True
Iraq,Natural Language Processing,2020,64,True
Europe,Natural Language Processing,2017,5260,True
Europe,Natural Language Processing,2020,7666,True
Mexico,Natural Language Processing,2024,102,True
Lesotho,Natural Language Processing,2023,1,True
Kyrgyzstan,Natural Language Processing,2018,1,True
Cyprus,Natural Language Processing,2024,21,True
Israel,Natural Language Processing,2020,287,True
Slovakia,Natural Language Processing,2021,45,True
Serbia,Natural Language Processing,2022,39,True
Serbia,Natural Language Processing,2024,34,True
Iceland,Natural Language Processing,2022,10,True
Czechia,Natural Language Processing,2017,135,True
United Arab Emirates,Natural Language Processing,2020,83,True
United Arab Emirates,Natural Language Processing,2021,110,True
Thailand,Natural Language Processing,2022,105,True
Ethiopia,Natural Language Processing,2018,4,True
Jordan,Natural Language Processing,2017,51,True
Congo,Natural Language Processing,2021,1,True
Brazil,Natural Language Processing,2016,251,True
Brazil,Natural Language Processing,2025,132,False
Armenia,Natural Language Processing,2021,11,True
Uganda,Natural Language Processing,2021,6,True
Uganda,Natural Language Processing,2023,12,True
Lithuania,Natural Language Processing,2017,20,True
Lithuania,Natural Language Processing,2022,39,True
Libya,Natural Language Processing,2023,13,True
Bahrain,Robotics,2021,8,True
Bahrain,Robotics,2023,23,True
Iraq,Robotics,2018,92,True
Ethiopia,Robotics,2023,27,True
Paraguay,Robotics,2025,1,False
Latvia,Robotics,2018,14,True
United States,Robotics,2026,7,False
Fiji,Robotics,2019,4,True
Belarus,Robotics,2016,14,True
South and Central America,Robotics,2017,793,True
Switzerland,Robotics,2021,610,True
Indonesia,Robotics,2025,96,False
North Macedonia,Robotics,2017,12,True
North Macedonia,Robotics,2020,5,True
Cambodia,Robotics,2022,4,True
Panama,Robotics,2019,5,True
Myanmar,Robotics,2019,12,True
Dominican Republic,Robotics,2025,2,False
India,Robotics,2020,1724,True
Greece,Robotics,2025,163,False
Armenia,Robotics,2024,3,True
EU,Robotics,2024,9444,True
Venezuela,Robotics,2022,6,True
Oceania,AI Safety,2025,313,False
Japan,AI Safety,2025,222,False
South Africa,AI Safety,2018,7,True
Bulgaria,AI Safety,2025,7,False
China (mainland),AI Safety,2026,3,False
Albania,AI Safety,2025,2,False
Malaysia,AI Safety,2025,73,False
Peru,AI Safety,2021,2,True
Vietnam,AI Safety,2020,4,True
ASEAN,AI Safety,2020,142,True
Saudi Arabia,AI Safety,2024,126,True
Uzbekistan,AI Safety,2023,4,True
EU,AI Safety,2024,2067,True
India,AI Safety,2023,559,True
Taiwan,AI Safety,2017,8,True
Ireland,AI Safety,2016,6,True
Sudan,All,2024,79,True
Sierra Leone,All,2023,3,True
Sierra Leone,All,2025,2,False
Togo,All,2024,8,True
Brunei Darussalam,All,2019,27,True
Denmark,All,2020,1364,True
North Korea,All,2016,3,True
Tunisia,All,2021,777,True
Afghanistan,All,2024,70,True
Namibia,All,2021,20,True
Lesotho,All,2022,1,True
Bolivia,All,2016,2,True
Bolivia,All,2018,5,True
Argentina,All,2021,316,True
Estonia,All,2019,147,True
Estonia,All,2022,251,True
ASEAN,All,2022,15360,True
Botswana,All,2018,8,True
Botswana,All,2020,16,True
Botswana,All,2025,23,False
Venezuela,All,2020,42,True
Benin,All,2016,10,True
Kyrgyzstan,All,2021,26,True
Latvia,All,2019,89,True
Panama,All,2016,8,True
Lithuania,All,2021,240,True
Jordan,All,2023,1041,True
Africa,All,2016,3194,True
Iraq,All,2024,2779,True
Kuwait,All,2018,64,True
Nigeria,All,2025,471,False
Taiwan,All,2018,1976,True
Spain,All,2020,4712,True
Azerbaijan,All,2021,80,True
Mauritius,All,2020,25,True
Moldova,All,2018,6,True
Moldova,All,2019,5,True
Niger,All,2024,5,True
Vietnam,All,2021,1724,True
Turkey,All,2023,4566,True
Tajikistan,All,2019,4,True
Tajikistan,All,2024,7,True
Dominican Republic,Computer Vision,2017,1,True
Slovakia,Computer Vision,2018,52,True
Slovakia,Computer Vision,2022,97,True
Ukraine,Computer Vision,2024,290,True
Armenia,Computer Vision,2023,15,True
Haiti,Computer Vision,2022,2,True
Russia,Computer Vision,2018,663,True
Belarus,Computer Vision,2022,49,True
Mali,Computer Vision,2022,2,True
Five Eyes,Computer Vision,2025,10585,False
Uruguay,Computer Vision,2022,19,True
Asia,Computer Vision,2019,38569,True
Sri Lanka,Computer Vision,2025,70,False
Colombia,Computer Vision,2019,199,True
Colombia,Computer Vision,2023,182,True
Uganda,Computer Vision,2019,7,True
Monaco,Computer Vision,2019,1,True
Bhutan,Computer Vision,2020,2,True
North America and the Caribbean,Computer Vision,2016,6546,True
Somalia,Computer Vision,2022,1,True
Mongolia,Computer Vision,2019,8,True
Oman,Computer Vision,2023,92,True
United Kingdom,Computer Vision,2020,3186,True
Greece,Computer Vision,2020,316,True
Senegal,Computer Vision,2022,8,True
Kuwait,Computer Vision,2020,29,True
Gabon,Computer Vision,2023,6,True
Serbia,Computer Vision,2022,117,True
ASEAN,Computer Vision,2018,2773,True
Botswana,Computer Vision,2016,2,True
Sierra Leone,Computer Vision,2017,1,True
South and Central America,Computer Vision,2022,1259,True
Malta,Large language models,2020,3,True
Malta,Large language models,2021,3,True
Indonesia,Large language models,2024,237,True
Malaysia,Large language models,2021,20,True
South Korea,Large language models,2023,900,True
South Korea,Large language models,2025,851,False
Greece,Large language models,2025,83,False
Costa Rica,Large language models,2022,1,True
OECD,Large language models,2019,3128,True
Russia,Large language models,2023,124,True
Hungary,Natural Language Processing,2020,72,True
Hungary,Natural Language Processing,2021,70,True
Latvia,Natural Language Processing,2024,6,True
Pakistan,Natural Language Processing,2017,73,True
Bhutan,Natural Language Processing,2017,1,True
Montenegro,Natural Language Processing,2021,9,True
Peru,Natural Language Processing,2019,15,True
Yemen,Natural Language Processing,2019,20,True
Ukraine,Natural Language Processing,2023,163,True
Mexico,Natural Language Processing,2022,96,True
Sri Lanka,Natural Language Processing,2018,53,True
EU,Natural Language Processing,2025,2494,False
Malaysia,Natural Language Processing,2025,152,False
Belgium,Natural Language Processing,2016,152,True
Czechia,Natural Language Processing,2024,78,True
Finland,Natural Language Processing,2021,180,True
United Arab Emirates,Natural Language Processing,2023,240,True
Argentina,Natural Language Processing,2022,34,True
Indonesia,Natural Language Processing,2021,636,True
Saudi Arabia,Natural Language Processing,2016,94,True
Saudi Arabia,Natural Language Processing,2022,446,True
Mongolia,Natural Language Processing,2020,1,True
Kuwait,Natural Language Processing,2016,6,True
Morocco,Natural Language Processing,2025,68,False
Germany,Natural Language Processing,2018,1131,True
Singapore,Robotics,2024,619,True
Zimbabwe,Robotics,2025,2,False
United Arab Emirates,Robotics,2025,173,False
Belgium,Robotics,2023,351,True
Oman,Robotics,2025,20,False
Ukraine,Robotics,2025,42,False
Lithuania,Robotics,2018,21,True
Kazakhstan,Robotics,2018,51,True
Kazakhstan,Robotics,2020,71,True
Five Eyes,Robotics,2023,11304,True
Kenya,Robotics,2020,7,True
Chile,Robotics,2023,71,True
Costa Rica,Robotics,2022,8,True
Finland,Robotics,2018,136,True
Lebanon,Robotics,2018,54,True
Philippines,Robotics,2025,33,False
Russia,Robotics,2017,641,True
Qatar,Robotics,2021,31,True
North America and the Caribbean,Robotics,2023,8852,True
New Zealand,Robotics,2023,105,True
Venezuela,Robotics,2018,9,True
South Korea,AI Safety,2022,136,True
Algeria,AI Safety,2022,7,True
Oman,AI Safety,2023,3,True
United States,AI Safety,2016,619,True
Brunei Darussalam,AI Safety,2022,2,True
Egypt,AI Safety,2016,2,True
Namibia,AI Safety,2023,1,True
Denmark,AI Safety,2022,41,True
Israel,AI Safety,2016,15,True
Vietnam,AI Safety,2022,11,True
Bosnia and Herzegovina,AI Safety,2025,4,False
United Arab Emirates,AI Safety,2020,24,True
EU,AI Safety,2020,1311,True
Serbia,AI Safety,2022,2,True
Yemen,AI Safety,2023,1,True
Ireland,AI Safety,2022,38,True
Argentina,AI Safety,2023,8,True
Sudan,All,2020,55,True
Lebanon,All,2021,216,True
Monaco,All,2019,1,True
Monaco,All,2025,2,False
North Macedonia,All,2018,73,True
Vatican City,All,2024,1,True
Haiti,All,2024,2,True
Eritrea,All,2021,1,True
Europe,All,2016,38300,True
Namibia,All,2022,9,True
Philippines,All,2025,486,False
Russia,All,2021,4833,True
Ukraine,All,2023,1425,True
Chile,All,2019,332,True
Somalia,All,2018,2,True
Malta,All,2019,72,True
Hungary,All,2020,658,True
Armenia,All,2016,10,True
Turkmenistan,All,2024,3,True
Guatemala,All,2023,31,True
United Arab Emirates,All,2023,2575,True
Lithuania,All,2020,179,True
Singapore,All,2016,1643,True
China (mainland),All,2019,47130,True
China (mainland),All,2023,103792,True
Switzerland,All,2016,1476,True
Pakistan,All,2021,2719,True
Africa,All,2022,8257,True
El Salvador,All,2020,8,True
Czechia,All,2016,781,True
Czechia,All,2018,877,True
Kazakhstan,All,2016,90,True
Ghana,All,2017,25,True
Guinea,All,2022,1,True
Sri Lanka,All,2022,555,True
Saudi Arabia,All,2022,4770,True
Georgia,All,2018,17,True
United States,All,2018,31863,True
Bhutan,All,2020,5,True
Tajikistan,All,2018,2,True
Madagascar,Computer Vision,2024,2,True
Ukraine,Computer Vision,2016,118,True
Uruguay,Computer Vision,2023,14,True
Liechtenstein,Computer Vision,2023,1,True
Oceania,Computer Vision,2017,1187,True
Liberia,Computer Vision,2019,1,True
Liberia,Computer Vision,2025,3,False
Bosnia and Herzegovina,Computer Vision,2022,23,True
Croatia,Computer Vision,2021,117,True
Uganda,Computer Vision,2025,21,False
Laos,Computer Vision,2020,1,True
Lithuania,Computer Vision,2017,29,True
NATO,Computer Vision,2021,27668,True
Niger,Computer Vision,2023,1,True
Benin,Computer Vision,2018,4,True
North America and the Caribbean,Computer Vision,2017,7128,True
Saudi Arabia,Computer Vision,2022,1407,True
Turkey,Computer Vision,2018,672,True
Bulgaria,Computer Vision,2019,46,True
South Korea,Computer Vision,2017,1150,True
Qatar,Computer Vision,2016,47,True
Qatar,Computer Vision,2022,125,True
Brazil,Computer Vision,2019,881,True
OECD,Computer Vision,2022,33483,True
Switzerland,Computer Vision,2017,497,True
Chile,Computer Vision,2018,71,True
Romania,Computer Vision,2020,360,True
Cambodia,Computer Vision,2016,4,True
Syria,Computer Vision,2021,17,True
Syria,Computer Vision,2024,17,True
Gabon,Computer Vision,2021,1,True
Thailand,Computer Vision,2017,238,True
Afghanistan,Computer Vision,2021,3,True
Botswana,Computer Vision,2022,10,True
France,Computer Vision,2017,1552,True
Libya,Computer Vision,2024,28,True
Czechia,Computer Vision,2025,100,False
ASEAN,Large language models,2019,156,True
Montenegro,Large language models,2023,1,True
Lebanon,Large language models,2025,5,False
Africa,Large language models,2019,26,True
Kuwait,Large language models,2024,13,True
Israel,Large language models,2024,169,True
Tunisia,Large language models,2017,1,True
United States,Large language models,2023,5296,True
Colombia,Large language models,2021,9,True
Azerbaijan,Large language models,2021,1,True
Europe,Large language models,2022,2955,True
Europe,Large language models,2023,4910,True
France,Large language models,2019,102,True
Pakistan,Large language models,2018,3,True
Qatar,Large language models,2018,2,True
NATO,Large language models,2018,1337,True
Italy,Large language models,2023,398,True
Mexico,Large language models,2017,3,True
Hungary,Natural Language Processing,2016,50,True
Latvia,Natural Language Processing,2025,9,False
Gabon,Natural Language Processing,2022,1,True
North America and the Caribbean,Natural Language Processing,2025,3467,False
Belarus,Natural Language Processing,2016,9,True
Bahrain,Natural Language Processing,2017,1,True
Global Partnership on Artificial Intelligence,Natural Language Processing,2025,8848,False
Europe,Natural Language Processing,2023,8825,True
France,Natural Language Processing,2025,290,False
Kazakhstan,Natural Language Processing,2025,61,False
Cyprus,Natural Language Processing,2018,12,True
Quad,Natural Language Processing,2023,11230,True
Tanzania,Natural Language Processing,2016,1,True
Tunisia,Natural Language Processing,2025,25,False
Albania,Natural Language Processing,2020,3,True
Portugal,Natural Language Processing,2024,133,True
ASEAN,Natural Language Processing,2025,920,False
Paraguay,Natural Language Processing,2020,5,True
Bangladesh,Natural Language Processing,2022,253,True
Sudan,Natural Language Processing,2023,12,True
Costa Rica,Natural Language Processing,2022,3,True
Marshall Islands,Natural Language Processing,2017,1,True
South Korea,Natural Language Processing,2021,483,True
Morocco,Natural Language Processing,2019,96,True
Mozambique,Natural Language Processing,2018,1,True
Singapore,Robotics,2023,623,True
Cyprus,Robotics,2020,34,True
Vatican City,Robotics,2024,1,True
Syria,Robotics,2017,2,True
Argentina,Robotics,2024,50,True
Brunei Darussalam,Robotics,2021,5,True
Lithuania,Robotics,2023,37,True
Belarus,Robotics,2017,15,True
South and Central America,Robotics,2025,500,False
Nepal,Robotics,2017,1,True
Brazil,Robotics,2021,605,True
Austria,Robotics,2023,337,True
Ecuador,Robotics,2021,74,True
Czechia,Robotics,2023,191,True
Nigeria,Robotics,2021,75,True
Iceland,Robotics,2023,6,True
Luxembourg,Robotics,2021,31,True
Kuwait,Robotics,2025,22,False
North Korea,Robotics,2016,1,True
Cameroon,Robotics,2023,4,True
Global Partnership on Artificial Intelligence,Robotics,2016,18122,True
Global Partnership on Artificial Intelligence,Robotics,2018,21213,True
Europe,Robotics,2022,13275,True
India,Robotics,2025,1298,False
Norway,Robotics,2017,128,True
Bosnia and Herzegovina,Robotics,2025,7,False
EU,Robotics,2025,5506,False
Sri Lanka,Robotics,2023,62,True
Malaysia,Robotics,2023,344,True
Algeria,AI Safety,2025,14,False
Afghanistan,AI Safety,2024,3,True
Jordan,AI Safety,2020,2,True
Italy,AI Safety,2019,121,True
South Africa,AI Safety,2025,22,False
Philippines,AI Safety,2024,27,True
NATO,AI Safety,2026,1,False
Belgium,AI Safety,2017,19,True
Croatia,AI Safety,2022,1,True
Denmark,AI Safety,2020,38,True
Turkey,AI Safety,2020,15,True
Tajikistan,AI Safety,2024,1,True
Uzbekistan,AI Safety,2024,9,True
Luxembourg,AI Safety,2024,18,True
Romania,AI Safety,2020,14,True
Nigeria,AI Safety,2017,3,True
Nigeria,AI Safety,2024,35,True
Ireland,AI Safety,2019,23,True
Poland,AI Safety,2025,34,False
Kazakhstan,AI Safety,2016,1,True
Papua New Guinea,All,2018,5,True
Lebanon,All,2016,119,True
Cambodia,All,2019,10,True
Togo,All,2025,3,False
Sweden,All,2016,1100,True
Canada,All,2025,5295,False
Equatorial Guinea,All,2023,1,True
Japan,All,2022,9858,True
