country_source,iso3,country,editions,n_editions
Afghanistan,AFG,Afghanistan,"2019, 2020, 2021, 2022, 2023, 2024, 2025",7
Albania,ALB,Albania,"2019, 2020, 2021, 2022, 2023, 2024, 2025",7
Algeria,DZA,Algeria,"2019, 2020, 2021, 2022, 2023, 2024, 2025",7
Andorra,AND,Andorra,"2019, 2022, 2023, 2024, 2025",5
Angola,AGO,Angola,"2019, 2020, 2021, 2022, 2023, 2024, 2025",7
Antigua and Barbuda,ATG,Antigua and Barbuda,"2019, 2020, 2022, 2023, 2024, 2025",6
Argentina,ARG,Argentina,"2019, 2020, 2021, 2022, 2023, 2024, 2025",7
Armenia,ARM,Armenia,"2019, 2020, 2021, 2022, 2023, 2024, 2025",7
Australia,AUS,Australia,"2019, 2020, 2021, 2022, 2023, 2024, 2025",7
Austria,AUT,Austria,"2019, 2020, 2021, 2022, 2023, 2024, 2025",7
Azerbaijan,AZE,Azerbaijan,"2019, 2020, 2021, 2022, 2023, 2024, 2025",7
Bahamas,BHS,Bahamas,"2019, 2022, 2023, 2024, 2025",5
Bahrain,BHR,Bahrain,"2019, 2020, 2021, 2022, 2023, 2024, 2025",7
Bangladesh,BGD,Bangladesh,"2019, 2020, 2021, 2022, 2023, 2024, 2025",7
Barbados,BRB,Barbados,"2019, 2020, 2021, 2022, 2023, 2024, 2025",7
Belarus,BLR,Belarus,"2019, 2020, 2021, 2022, 2023, 2024, 2025",7
Belgium,BEL,Belgium,"2019, 2020, 2021, 2022, 2023, 2024, 2025",7
Belize,BLZ,Belize,"2019, 2020, 2021, 2022, 2023, 2024, 2025",7
Benin,BEN,Benin,"2019, 2020, 2021, 2022, 2023, 2024, 2025",7
Bhutan,BTN,Bhutan,"2019, 2020, 2021, 2022, 2023, 2024, 2025",7
Bolivia,BOL,Bolivia,"2019, 2020, 2021, 2022",4
Bolivia (Plurinational State of),BOL,Bolivia,"2023, 2024, 2025",3
Bosnia and Herzegovina,BIH,Bosnia and Herzegovina,"2019, 2020, 2021, 2022, 2023, 2024, 2025",7
