iso3,country,year,rank,n_ranked,rank_pct,score_raw,score_100,score_scale,panel_a,panel_b,latam_panel,country_source,source_file,source_sheet
AFG,Afghanistan,2019,174,194,0.8963730569948186,0.6840999999999999,6.840999999999999,0-10,0,0,0,Afghanistan,SHARED_-2019-Index-data-for-report.xlsx,Rankings
AFG,Afghanistan,2020,164,172,0.9532163742690059,24.775,24.775,0-100,0,0,0,Afghanistan,2020-Government-AI-Readiness-Index-public-dataset.xlsx,Global ranking
AFG,Afghanistan,2021,154,160,0.9622641509433962,24.37809891,24.37809891,0-100,0,0,0,Afghanistan,2021-Government-AI-Readiness-Index-public-dataset.xlsx,Global ranking
AFG,Afghanistan,2022,181,181,1.0,13.45795858,13.45795858,0-100,0,0,0,Afghanistan,2022-Government-AI-Readiness-Index-public-data.xlsx,Global rankings
AFG,Afghanistan,2023,186,193,0.9635416666666666,21.26871333,21.26871333,0-100,0,0,0,Afghanistan,2023-Government-AI-Readiness-Index-Public-Indicator-Data.xlsx,Global rankings
AFG,Afghanistan,2024,187,188,0.9946524064171123,16.92451775,16.92451775,0-100,0,0,0,Afghanistan,2024-GAIRI-data.xlsx,Ranking
AFG,Afghanistan,2025,188,195,0.9639175257731959,15.72,15.72,0-100,0,0,0,Afghanistan,2025-Government-AI-Readiness-Index-data-1.xlsx,Global Rankings
AGO,Angola,2019,129,194,0.6632124352331606,2.6662600381428576,26.662600381428575,0-10,0,0,0,Angola,SHARED_-2019-Index-data-for-report.xlsx,Rankings
AGO,Angola,2020,169,172,0.9824561403508771,23.789,23.789,0-100,0,0,0,Angola,2020-Government-AI-Readiness-Index-public-dataset.xlsx,Global ranking
AGO,Angola,2021,158,160,0.9874213836477987,22.86557857,22.86557857,0-100,0,0,0,Angola,2021-Government-AI-Readiness-Index-public-dataset.xlsx,Global ranking
AGO,Angola,2022,163,181,0.9,24.76924364,24.76924364,0-100,0,0,0,Angola,2022-Government-AI-Readiness-Index-public-data.xlsx,Global rankings
AGO,Angola,2023,160,193,0.828125,29.14025605,29.14025605,0-100,0,0,0,Angola,2023-Government-AI-Readiness-Index-Public-Indicator-Data.xlsx,Global rankings
AGO,Angola,2024,169,188,0.8983957219251337,26.90798042,26.90798042,0-100,0,0,0,Angola,2024-GAIRI-data.xlsx,Ranking
AGO,Angola,2025,141,195,0.7216494845360825,27.09,27.09,0-100,0,0,0,Angola,2025-Government-AI-Readiness-Index-data-1.xlsx,Global Rankings
ALB,Albania,2019,83,194,0.42487046632124353,4.614446607,46.14446606999999,0-10,0,0,0,Albania,SHARED_-2019-Index-data-for-report.xlsx,Rankings
ALB,Albania,2020,85,172,0.49122807017543857,39.991,39.991,0-100,0,0,0,Albania,2020-Government-AI-Readiness-Index-public-dataset.xlsx,Global ranking
ALB,Albania,2021,83,160,0.5157232704402516,42.89921225,42.89921225,0-100,0,0,0,Albania,2021-Government-AI-Readiness-Index-public-dataset.xlsx,Global ranking
ALB,Albania,2022,82,181,0.45,42.0977979,42.0977979,0-100,0,0,0,Albania,2022-Government-AI-Readiness-Index-public-data.xlsx,Global rankings
ALB,Albania,2023,89,193,0.4583333333333333,43.26239362,43.26239362,0-100,0,0,0,Albania,2023-Government-AI-Readiness-Index-Public-Indicator-Data.xlsx,Global rankings
ALB,Albania,2024,84,188,0.44385026737967914,45.46622776,45.46622776,0-100,0,0,0,Albania,2024-GAIRI-data.xlsx,Ranking
ALB,Albania,2025,85,195,0.4329896907216495,43.44,43.44,0-100,0,0,0,Albania,2025-Government-AI-Readiness-Index-data-1.xlsx,Global Rankings
AND,Andorra,2019,139,194,0.7150259067357513,2.2899,22.898999999999997,0-10,0,0,0,Andorra,SHARED_-2019-Index-data-for-report.xlsx,Rankings
AND,Andorra,2022,77,181,0.4222222222222222,45.15885579,45.15885579,0-100,0,0,0,Andorra,2022-Government-AI-Readiness-Index-public-data.xlsx,Global rankings
AND,Andorra,2023,80,193,0.4114583333333333,46.25424863,46.25424863,0-100,0,0,0,Andorra,2023-Government-AI-Readiness-Index-Public-Indicator-Data.xlsx,Global rankings
AND,Andorra,2024,67,188,0.35294117647058826,54.4360374,54.4360374,0-100,0,0,0,Andorra,2024-GAIRI-data.xlsx,Ranking
AND,Andorra,2025,92,195,0.4690721649484536,41.51,41.51,0-100,0,0,0,Andorra,2025-Government-AI-Readiness-Index-data-1.xlsx,Global Rankings
ARE,United Arab Emirates,2019,19,194,0.09326424870466321,7.445101754129278,74.45101754129279,0-10,0,0,0,United Arab Emirates,SHARED_-2019-Index-data-for-report.xlsx,Rankings
ARE,United Arab Emirates,2020,16,172,0.08771929824561403,72.395,72.395,0-100,0,0,0,United Arab Emirates,2020-Government-AI-Readiness-Index-public-dataset.xlsx,Global ranking
ARE,United Arab Emirates,2021,19,160,0.11320754716981132,71.59684283,71.59684283,0-100,0,0,0,United Arab Emirates,2021-Government-AI-Readiness-Index-public-dataset.xlsx,Global ranking
ARE,United Arab Emirates,2022,22,181,0.11666666666666667,68.54401914,68.54401914,0-100,0,0,0,United Arab Emirates,2022-Government-AI-Readiness-Index-public-data.xlsx,Global rankings
ARE,United Arab Emirates,2023,18,193,0.08854166666666667,70.42303308,70.42303308,0-100,0,0,0,United Arab Emirates,2023-Government-AI-Readiness-Index-Public-Indicator-Data.xlsx,Global rankings
ARE,United Arab Emirates,2024,13,188,0.06417112299465241,75.65804571,75.65804571,0-100,0,0,0,United Arab Emirates,2024-GAIRI-data.xlsx,Ranking
ARE,United Arab Emirates,2025,19,195,0.09278350515463918,69.86,69.86,0-100,0,0,0,United Arab Emirates,2025-Government-AI-Readiness-Index-data-1.xlsx,Global Rankings
ARG,Argentina,2019,51,194,0.25906735751295334,5.684488358324345,56.84488358324345,0-10,1,1,1,Argentina,SHARED_-2019-Index-data-for-report.xlsx,Rankings
ARG,Argentina,2020,53,172,0.30409356725146197,50.754,50.754,0-100,1,1,1,Argentina,2020-Government-AI-Readiness-Index-public-dataset.xlsx,Global ranking
ARG,Argentina,2021,54,160,0.3333333333333333,54.35665427,54.35665427,0-100,1,1,1,Argentina,2021-Government-AI-Readiness-Index-public-dataset.xlsx,Global ranking
ARG,Argentina,2022,53,181,0.28888888888888886,57.38681671,57.38681671,0-100,1,1,1,Argentina,2022-Government-AI-Readiness-Index-public-data.xlsx,Global rankings
ARG,Argentina,2023,54,193,0.2760416666666667,57.72417372,57.72417372,0-100,1,1,1,Argentina,2023-Government-AI-Readiness-Index-Public-Indicator-Data.xlsx,Global rankings
ARG,Argentina,2024,62,188,0.32620320855614976,56.40407736,56.40407736,0-100,1,1,1,Argentina,2024-GAIRI-data.xlsx,Ranking
ARG,Argentina,2025,56,195,0.28350515463917525,58.25,58.25,0-100,1,1,1,Argentina,2025-Government-AI-Readiness-Index-data-1.xlsx,Global Rankings
ARM,Armenia,2019,81,194,0.41450777202072536,4.716286758407791,47.16286758407791,0-10,0,0,0,Armenia,SHARED_-2019-Index-data-for-report.xlsx,Rankings
ARM,Armenia,2020,77,172,0.4444444444444444,42.717,42.717,0-100,0,0,0,Armenia,2020-Government-AI-Readiness-Index-public-dataset.xlsx,Global ranking
ARM,Armenia,2021,76,160,0.4716981132075472,45.92539398,45.92539398,0-100,0,0,0,Armenia,2021-Government-AI-Readiness-Index-public-dataset.xlsx,Global ranking
ARM,Armenia,2022,84,181,0.46111111111111114,41.91047934,41.91047934,0-100,0,0,0,Armenia,2022-Government-AI-Readiness-Index-public-data.xlsx,Global rankings
ARM,Armenia,2023,85,193,0.4375,45.21531546,45.21531546,0-100,0,0,0,Armenia,2023-Government-AI-Readiness-Index-Public-Indicator-Data.xlsx,Global rankings
ARM,Armenia,2024,88,188,0.46524064171123,44.51279855,44.51279855,0-100,0,0,0,Armenia,2024-GAIRI-data.xlsx,Ranking
ARM,Armenia,2025,103,195,0.5257731958762887,38.95,38.95,0-100,0,0,0,Armenia,2025-Government-AI-Readiness-Index-data-1.xlsx,Global Rankings
ATG,Antigua and Barbuda,2019,144,194,0.7409326424870466,2.0989,20.989,0-10,0,0,0,Antigua and Barbuda,SHARED_-2019-Index-data-for-report.xlsx,Rankings
ATG,Antigua and Barbuda,2020,88,172,0.5087719298245614,39.119,39.119,0-100,0,0,0,Antigua and Barbuda,2020-Government-AI-Readiness-Index-public-dataset.xlsx,Global ranking
