"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status","note_classif","note_indicator","note_source"
"ARG","BA:150","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_TOTAL","2025",13405.902,,,,"R1:3513_S4:33"
"ARG","BA:150","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L3-4","2025",3569.871,,,,"R1:3513_S4:33"
"ARG","BA:150","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L2","2025",7932.59,,,,"R1:3513_S4:33"
"ARG","BA:150","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L1","2025",1662.065,,,,"R1:3513_S4:33"
"ARG","BA:150","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_X","2025",241.376,,,,"R1:3513_S4:33"
"ARG","BA:150","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2025",13405.902,,,,"R1:3513_S4:33"
"ARG","BA:150","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2025",604.861,,,,"R1:3513_S4:33"
"ARG","BA:150","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2025",1761.678,,,,"R1:3513_S4:33"
"ARG","BA:150","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2025",1203.332,,,,"R1:3513_S4:33"
"ARG","BA:150","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2025",1524.233,,,,"R1:3513_S4:33"
"ARG","BA:150","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2025",3391.949,,,,"R1:3513_S4:33"
"ARG","BA:150","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_6","2025",23.175,,,,"R1:3513_S4:33"
"ARG","BA:150","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_7","2025",1797.952,,,,"R1:3513_S4:33"
"ARG","BA:150","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_8","2025",1195.281,,,,"R1:3513_S4:33"
"ARG","BA:150","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_9","2025",1662.065,,,,"R1:3513_S4:33"
"ARG","BA:150","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_0","2025",33.803,,,,"R1:3513_S4:33"
"ARG","BA:150","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_X","2025",207.572,,,,"R1:3513_S4:33"
"ARG","BA:150","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_TOTAL","2024",13335.384,,,,"R1:3513_S4:33"
"ARG","BA:150","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L3-4","2024",3578.041,,,,"R1:3513_S4:33"
"ARG","BA:150","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L2","2024",7812.525,,,,"R1:3513_S4:33"
"ARG","BA:150","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_L1","2024",1715.655,,,,"R1:3513_S4:33"
"ARG","BA:150","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_SKILL_X","2024",229.164,,,,"R1:3513_S4:33"
"ARG","BA:150","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2024",13335.384,,,,"R1:3513_S4:33"
"ARG","BA:150","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2024",598.258,,,,"R1:3513_S4:33"
"ARG","BA:150","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2024",1788.836,,,,"R1:3513_S4:33"
"ARG","BA:150","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2024",1190.947,,,,"R1:3513_S4:33"
"ARG","BA:150","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2024",1543.612,,,,"R1:3513_S4:33"
"ARG","BA:150","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2024",3361.414,,,,"R1:3513_S4:33"
"ARG","BA:150","EMP_TEMP_SEX_OCU_NB","SEX_T","OCU_ISCO08_6","2024",27.587,,,,"R1:3513_S4:33"
