ISO code,Country,Variable code,Variable name,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AGO,Angola,hc,"Human capital index, based on years of schooling and returns to education; see Human capital in PWT9.",,,,,,,,,,,,,,,,,,,,,1.01568579673767,1.01819562911987,1.02071154117584,1.02323377132416,1.02576220035553,1.02829682826996,1.03083777427673,1.03338503837585,1.03593850135803,1.03849828243256,1.04106438159943,1.0503808259964,1.05978059768677,1.06926441192627,1.07883322238922,1.08848750591278,1.09822833538055,1.10805630683899,1.11797213554382,1.12797677516937,1.13807094097137,1.15304005146027,1.16820621490479,1.18357169628143,1.19913935661316,1.21491169929504,1.23089158535004,1.24708163738251,1.26348471641541,1.2801034450531,1.29694080352783,1.30848634243011,1.32013463973999,1.33188664913178,1.34374332427979,1.35570561885834,1.36777424812317,1.37995040416718,1.39223492145538,1.40462875366211,1.41713297367096,1.42419624328613,1.43129467964172,1.43842852115631,1.44559788703918,1.45280301570892,1.46004402637482,1.46732115745544,1.4746345281601,1.48198437690735,1.48937082290649,1.50713586807251,1.52565121650696,1.54495549201965
ALB,Albania,hc,"Human capital index, based on years of schooling and returns to education; see Human capital in PWT9.",,,,,,,,,,,,,,,,,,,,,1.55879187583923,1.58679270744324,1.61529648303986,1.6443122625351,1.67384922504425,1.7039167881012,1.73900902271271,1.77348244190216,1.80863916873932,1.84449279308319,1.88105726242065,1.95062220096588,2.02275991439819,2.09756517410278,2.17513704299927,2.2555775642395,2.30543994903564,2.35640478134155,2.40849614143372,2.46173906326294,2.51615881919861,2.51573324203491,2.5153079032898,2.51488256454468,2.51445722579956,2.51403188705444,2.58118939399719,2.6345043182373,2.68892025947571,2.744460105896,2.8011474609375,2.8150897026062,2.8291015625,2.84318327903748,2.85733485221863,2.87155675888062,2.87803173065186,2.884521484375,2.89102554321289,2.89754462242126,2.90407800674438,2.93933033943176,2.98676872253418,2.98455333709717,2.98233938217163,2.98012733459473,2.9779167175293,2.97570776939392,2.98273301124573,2.98979878425598,2.99690508842468,3.00405287742615,3.0112419128418,3.01847267150879
ARE,United Arab Emirates,hc,"Human capital index, based on years of schooling and returns to education; see Human capital in PWT9.",,,,,,,,,,,,,,,,,,,,,1.37665104866028,1.39815390110016,1.41999268531799,1.44217252731323,1.46469879150391,1.48757696151733,1.51268970966339,1.53822648525238,1.56419432163239,1.59060049057007,1.61745250225067,1.65628409385681,1.69604790210724,1.72992587089539,1.7611380815506,1.79291343688965,1.83516943454742,1.87842130661011,1.92269253730774,1.96800708770752,2.01438975334168,2.07472515106201,2.13686800003052,2.20087194442749,2.26679301261902,2.33468842506409,2.39202475547791,2.45076894760132,2.51095581054688,2.56848430633545,2.61078405380249,2.62868571281433,2.64671063423157,2.6648588180542,2.6831316947937,2.70152950286865,2.70470285415649,2.70787954330444,2.71106028556824,2.71424436569214,2.71743273735046,2.74564242362976,2.77414512634277,2.80294370651245,2.8320415019989,2.86144089698792,2.89114570617676,3.11606049537659,3.19747185707092,3.23897194862366,3.24693775177002,3.25492286682129,3.29919362068176,3.30434536933899
ARG,Argentina,hc,"Human capital index, based on years of schooling and returns to education; see Human capital in PWT9.",1.81650292873383,1.83076894283295,1.84514713287354,1.85963821411133,1.87424302101135,1.88896262645721,1.90176832675934,1.91466104984283,1.92764103412628,1.940709233284,1.95386576652527,1.96492779254913,1.9760525226593,1.98724031448364,1.99849140644073,2.00980615615845,2.02271342277527,2.03570342063904,2.04877686500549,2.06193423271179,2.07517623901367,2.09646344184876,2.1179690361023,2.1396951675415,2.16164422035217,2.18381834030151,2.19690632820129,2.21007299423218,2.22331833839417,2.23664307594299,2.25004768371582,2.28316402435303,2.3167679309845,2.3508665561676,2.38546681404114,2.42057633399963,2.44188833236694,2.46338820457459,2.48507714271545,2.50695705413818,2.52902960777283,2.55256795883179,2.57097387313843,2.58705997467041,2.60324645042419,2.61953449249268,2.62702393531799,2.63453459739685,2.64206695556641,2.64962077140808,2.65719604492188,2.68300294876099,2.70905995368958,2.73537039756775,2.76193618774414,2.7887601852417,2.7969753742218,2.80521464347839,2.81347823143005,2.82176613807678,2.83007836341858,2.8585422039032,2.88729238510132,2.91633176803589,2.9456627368927,2.97528910636902,3.00521349906921,3.03543877601624,3.06596803665161,3.09680438041687,3.12795066833496,3.13874697685242,3.14963102340698,3.16060328483582
ARM,Armenia,hc,"Human capital index, based on years of schooling and returns to education; see Human capital in PWT9.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.94858050346375,2.96298289299011,2.97745585441589,2.99199914932251,3.00661373138428,3.0212996006012,3.03661346435547,3.05200505256653,3.06747436523438,3.08302235603333,3.09864902496338,3.09845232963562,3.09825563430786,3.09805917739868,3.09786248207092,3.09766578674316,3.10037350654602,3.10308337211609,3.10579562187195,3.1085102558136,3.11122751235962,3.12573480606079,3.14553189277649,3.16545414924622,3.18550252914429,3.20567798614502,3.23128962516785,3.12573480606079,3.13544416427612,3.14518332481384,3.15495300292969,3.1577730178833,3.16059851646423,3.16343021392822
AUS,Australia,hc,"Human capital index, based on years of schooling and returns to education; see Human capital in PWT9.",2.66730189323425,2.67434358596802,2.68140339851379,2.6884822845459,2.69557976722717,2.70269584655762,2.71145153045654,2.72023558616638,2.72904777526855,2.73788905143738,2.74675846099854,2.76815295219421,2.78971362113953,2.81144237518311,2.83334064483643,2.8554093837738,2.87764978408813,2.90006351470947,2.92265176773071,2.94541621208191,2.96835780143738,2.99199271202087,3.01581621170044,3.03982925415039,3.06403350830078,3.08843040466309,3.11302161216736,3.13780879974365,3.16279315948486,3.18797659873962,3.21336030960083,3.23260474205017,3.25196480751038,3.27144050598145,3.29103326797485,3.31074285507202,3.33057069778442,3.35051727294922,3.37058329582214,3.39076972007751,3.41107678413391,3.42362284660339,3.43621516227722,3.4488537311554,3.46153879165649,3.4742705821991,3.48704934120178,3.49987483024597,3.5127477645874,3.52566766738892,3.53863549232483,3.52751183509827,3.51642346382141,3.50536966323853,3.49435067176819,3.4833664894104,3.472416639328,3.46150135993958,3.45062017440796,3.43977355957031,3.4289608001709,3.44216704368591,3.45542430877686,3.4687328338623,3.48209238052368,3.49550342559814,3.50896620750427,3.52248072624207,3.53604745864868,3.54966616630554,3.56333756446838,3.5980269908905,3.62050604820251,3.60863065719605
AUT,Austria,hc,"Human capital index, based on years of schooling and returns to education; see Human capital in PWT9.",2.55264043807983,2.53703594207764,2.52152681350708,2.50611257553101,2.49079251289368,2.47556614875793,2.46107220649719,2.44666337966919,2.43233871459961,2.41809797286987,2.40394067764282,2.42698168754578,2.45024347305298,2.47372841835022,2.49743819236755,2.52137541770935,2.54554200172424,2.56668210029602,2.58321928977966,2.59986281394959,2.61661386489868,2.63369941711426,2.65089702606201,2.66820645332336,2.68562889099121,2.70316529273987,2.72081637382507,2.73858237266541,2.75646448135376,2.77446341514587,2.79257988929749,2.80937480926514,2.82627105712891,2.84326887130737,2.8603687286377,2.87757158279419,2.89487767219543,2.91228818893433,2.92980313301086,2.94742369651794,2.96514987945557,2.97999858856201,2.99492192268372,3.0099196434021,3.02499294281006,3.04014134407043,3.05536556243897,3.07066631317139,3.08604335784912,3.10149765014648,3.11702919006348,3.13323092460632,3.14951682090759,3.16588711738586,3.18234300613403,3.19888401031494,3.21551084518433,3.23222470283508,3.24902486801147,3.26591277122498,3.28288817405701,3.29365229606628,3.30445194244385,3.31528687477112,3.32615733146668,3.33706331253052,3.3480052947998,3.35898303985596,3.36999678611755,3.38104629516602,3.39213252067566,3.41118836402893,3.43048191070557,3.45001626014709
BDI,Burundi,hc,"Human capital index, based on years of schooling and returns to education; see Human capital in PWT9.",,,,,,,,,,,1.09549450874329,1.09549450874329,1.09549450874329,1.09549450874329,1.09549450874329,1.09549450874329,1.09549450874329,1.09549450874329,1.09549450874329,1.09549450874329,1.09549450874329,1.09563422203064,1.09577405452728,1.09591376781464,1.09605360031128,1.09619343280792,1.09633326530457,1.09647309780121,1.09661304950714,1.09675288200378,1.09689283370972,1.10057890415192,1.10427749156952,1.10798847675323,1.11171197891235,1.11544799804688,1.1191965341568,1.12295758724213,1.12673139572144,1.13051784038544,1.13431704044342,1.14132642745972,1.14837920665741,1.15547549724579,1.16261565685272,1.16980004310608,1.17702865600586,1.18430209159851,1.19162034988403,1.19898390769959,1.20639288425446,1.21525037288666,1.22417294979095,1.2331610918045,1.24221515655518,1.25133562088013,1.26052308082581,1.26977801322937,1.27910101413727,1.28849232196808,1.29795265197754,1.31062138080597,1.32341384887695,1.3363311290741,1.34937453269959,1.36254513263702,1.37584447860718,1.38927340507507,1.40283358097076,1.41652607917786,1.43035221099854,1.44758975505829,1.46562254428864,1.48449504375458
BEL,Belgium,hc,"Human capital index, based on years of schooling and returns to education; see Human capital in PWT9.",2.20354747772217,2.21905422210693,2.23467016220093,2.25039601325989,2.26623249053955,2.28218054771423,2.28719329833984,2.29221701622009,2.29725193977356,2.30229759216309,2.30735445022583,2.30882883071899,2.31030416488647,2.31178045272827,2.31325745582581,2.31473565101624,2.32342505455017,2.33214712142944,2.34090185165405,2.34968948364258,2.35851001739502,2.37448811531067,2.39057421684265,2.40676927566528,2.4230740070343,2.43948936462402,2.46554780006409,2.49188494682312,2.51850318908691,2.54540586471558,2.56846761703491,2.58712148666382,2.60591077804565,2.62483692169189,2.64390015602112,2.6631019115448,2.68182873725891,2.70068693161011,2.71967816352844,2.7388026714325,2.75806164741516,2.7838830947876,2.80994606018066,2.83625316619873,2.86280655860901,2.88960862159729,2.90622019767761,2.92292714118958,2.93973064422607,2.95663022994995,2.9736270904541,2.99241900444031,3.01132941246033,3.03035950660706,3.04950976371765,3.06878113746643,3.07356929779053,3.07836484909058,3.08316802978516,3.08797860145569,3.09279680252075,3.09899544715881,3.10520648956299,3.11142992973328,3.11766600608826,3.12391448020935,3.13017559051514,3.13644909858704,3.14273524284363,3.14903402328491,3.15534543991089,3.16043567657471,3.16554522514343,3.17067384719849
BEN,Benin,hc,"Human capital index, based on years of schooling and returns to education; see Human capital in PWT9.",,,,,,,,,,1.06324589252472,1.06519985198975,1.06924843788147,1.07331252098084,1.07739210128784,1.0814870595932,1.08559763431549,1.08601605892181,1.08643472194672,1.08685350418091,1.08727240562439,1.08769142627716,1.08804619312286,1.08840107917786,1.08875608444214,1.08911120891571,1.08946645259857,1.08978056907654,1.0900946855545,1.09040892124176,1.09072315692902,1.09103763103485,1.10403621196747,1.1171897649765,1.13050007820129,1.14396893978119,1.15759825706482,1.17411732673645,1.19087207317352,1.20786595344543,1.22510242462158,1.24258470535278,1.26030874252319,1.27828562259674,1.29651892185211,1.31501221656799,1.33376932144165,1.34872901439667,1.36385655403137,1.37915360927582,1.39462244510651,1.4102646112442,1.42352223396301,1.4369044303894,1.45041263103485,1.46404767036438,1.47781085968018,1.49318385124207,1.50871670246124,1.52441108226776,1.54026877880096,1.55629146099091,1.59960615634918,1.64412641525269,1.68988573551178,1.73004007339478,1.76620972156525,1.80313551425934,1.84083318710327,1.87931907176971,1.91860961914063,1.95872163772583,1.98621380329132,2.01414346694946,2.04318475723267
