indicator_code,country_code,year,value
AG.LND.AGRI.K2,AFG,1960,
AG.LND.AGRI.K2,AFG,1961,377500.0
AG.LND.AGRI.K2,AFG,1962,378000.0
AG.LND.AGRI.K2,AFG,1963,378500.0
AG.LND.AGRI.K2,AFG,1964,379050.0
AG.LND.AGRI.K2,AFG,1965,379100.0
AG.LND.AGRI.K2,AFG,1966,379550.0
AG.LND.AGRI.K2,AFG,1967,379790.0
AG.LND.AGRI.K2,AFG,1968,379800.0
AG.LND.AGRI.K2,AFG,1969,379960.0
AG.LND.AGRI.K2,AFG,1970,380060.0
AG.LND.AGRI.K2,AFG,1971,380360.0
AG.LND.AGRI.K2,AFG,1972,380480.0
AG.LND.AGRI.K2,AFG,1973,380492.0
AG.LND.AGRI.K2,AFG,1974,380503.0
AG.LND.AGRI.K2,AFG,1975,380503.0
AG.LND.AGRI.K2,AFG,1976,380500.0
AG.LND.AGRI.K2,AFG,1977,380500.0
AG.LND.AGRI.K2,AFG,1978,380500.0
AG.LND.AGRI.K2,AFG,1979,380490.0
AG.LND.AGRI.K2,AFG,1980,380490.0
AG.LND.AGRI.K2,AFG,1981,380530.0
AG.LND.AGRI.K2,AFG,1982,380540.0
AG.LND.AGRI.K2,AFG,1983,380540.0
AG.LND.AGRI.K2,AFG,1984,380540.0
AG.LND.AGRI.K2,AFG,1985,380540.0
AG.LND.AGRI.K2,AFG,1986,380540.0
AG.LND.AGRI.K2,AFG,1987,380450.0
AG.LND.AGRI.K2,AFG,1988,380400.0
AG.LND.AGRI.K2,AFG,1989,380400.0
AG.LND.AGRI.K2,AFG,1990,380400.0
AG.LND.AGRI.K2,AFG,1991,380300.0
AG.LND.AGRI.K2,AFG,1992,380300.0
AG.LND.AGRI.K2,AFG,1993,379340.0
AG.LND.AGRI.K2,AFG,1994,378130.0
AG.LND.AGRI.K2,AFG,1995,377630.0
AG.LND.AGRI.K2,AFG,1996,377570.0
AG.LND.AGRI.K2,AFG,1997,377950.0
AG.LND.AGRI.K2,AFG,1998,378680.0
AG.LND.AGRI.K2,AFG,1999,377640.0
AG.LND.AGRI.K2,AFG,2000,377940.0
AG.LND.AGRI.K2,AFG,2001,377950.0
AG.LND.AGRI.K2,AFG,2002,377900.0
AG.LND.AGRI.K2,AFG,2003,378840.0
AG.LND.AGRI.K2,AFG,2004,379280.0
AG.LND.AGRI.K2,AFG,2005,379170.0
AG.LND.AGRI.K2,AFG,2006,379100.0
AG.LND.AGRI.K2,AFG,2007,379140.0
AG.LND.AGRI.K2,AFG,2008,379160.0
AG.LND.AGRI.K2,AFG,2009,379160.0
AG.LND.AGRI.K2,AFG,2010,379170.0
AG.LND.AGRI.K2,AFG,2011,379150.0
AG.LND.AGRI.K2,AFG,2012,379140.0
AG.LND.AGRI.K2,AFG,2013,379100.0
AG.LND.AGRI.K2,AFG,2014,379100.0
AG.LND.AGRI.K2,AFG,2015,379100.0
AG.LND.AGRI.K2,AFG,2016,379100.0
AG.LND.AGRI.K2,AFG,2017,379100.0
AG.LND.AGRI.K2,AFG,2018,380100.0
AG.LND.AGRI.K2,AFG,2019,380100.0
AG.LND.AGRI.K2,AFG,2020,383130.0
AG.LND.AGRI.K2,AFG,2021,383130.0
AG.LND.AGRI.K2,AFG,2022,383130.0
AG.LND.AGRI.K2,AFG,2023,381160.0
AG.LND.AGRI.K2,AFG,2024,
AG.LND.AGRI.K2,AFG,2025,
AG.LND.AGRI.K2,AGO,1960,
AG.LND.AGRI.K2,AGO,1961,451770.0
AG.LND.AGRI.K2,AGO,1962,451850.0
AG.LND.AGRI.K2,AGO,1963,451820.0
AG.LND.AGRI.K2,AGO,1964,451900.0
AG.LND.AGRI.K2,AGO,1965,451870.0
AG.LND.AGRI.K2,AGO,1966,451950.0
AG.LND.AGRI.K2,AGO,1967,452020.0
AG.LND.AGRI.K2,AGO,1968,452100.0
AG.LND.AGRI.K2,AGO,1969,452270.0
AG.LND.AGRI.K2,AGO,1970,452050.0
AG.LND.AGRI.K2,AGO,1971,451820.0
AG.LND.AGRI.K2,AGO,1972,451600.0
AG.LND.AGRI.K2,AGO,1973,451370.0
AG.LND.AGRI.K2,AGO,1974,451150.0
AG.LND.AGRI.K2,AGO,1975,450930.0
AG.LND.AGRI.K2,AGO,1976,448700.0
AG.LND.AGRI.K2,AGO,1977,448480.0
AG.LND.AGRI.K2,AGO,1978,448250.0
AG.LND.AGRI.K2,AGO,1979,447930.0
AG.LND.AGRI.K2,AGO,1980,447650.0
AG.LND.AGRI.K2,AGO,1981,447280.0
AG.LND.AGRI.K2,AGO,1982,447050.0
AG.LND.AGRI.K2,AGO,1983,446780.0
AG.LND.AGRI.K2,AGO,1984,446500.0
AG.LND.AGRI.K2,AGO,1985,446280.0
AG.LND.AGRI.K2,AGO,1986,445450.0
AG.LND.AGRI.K2,AGO,1987,445230.0
AG.LND.AGRI.K2,AGO,1988,445010.0
AG.LND.AGRI.K2,AGO,1989,444780.0
AG.LND.AGRI.K2,AGO,1990,444560.0
AG.LND.AGRI.K2,AGO,1991,444830.0
AG.LND.AGRI.K2,AGO,1992,445110.0
AG.LND.AGRI.K2,AGO,1993,445100.0
AG.LND.AGRI.K2,AGO,1994,445100.0
AG.LND.AGRI.K2,AGO,1995,444900.0
AG.LND.AGRI.K2,AGO,1996,444470.0
AG.LND.AGRI.K2,AGO,1997,444500.0
AG.LND.AGRI.K2,AGO,1998,445130.0
AG.LND.AGRI.K2,AGO,1999,445670.0
AG.LND.AGRI.K2,AGO,2000,445230.0
AG.LND.AGRI.K2,AGO,2001,444150.0
AG.LND.AGRI.K2,AGO,2002,444380.0
AG.LND.AGRI.K2,AGO,2003,444990.0
AG.LND.AGRI.K2,AGO,2004,443100.0
AG.LND.AGRI.K2,AGO,2005,441830.0
AG.LND.AGRI.K2,AGO,2006,441370.0
AG.LND.AGRI.K2,AGO,2007,442450.0
AG.LND.AGRI.K2,AGO,2008,441950.0
AG.LND.AGRI.K2,AGO,2009,446300.0
AG.LND.AGRI.K2,AGO,2010,448500.0
AG.LND.AGRI.K2,AGO,2011,453160.0
AG.LND.AGRI.K2,AGO,2012,453030.0
AG.LND.AGRI.K2,AGO,2013,454880.0
AG.LND.AGRI.K2,AGO,2014,456740.0
AG.LND.AGRI.K2,AGO,2015,457890.0
AG.LND.AGRI.K2,AGO,2016,458240.0
AG.LND.AGRI.K2,AGO,2017,457650.0
AG.LND.AGRI.K2,AGO,2018,457780.0
AG.LND.AGRI.K2,AGO,2019,458560.0
AG.LND.AGRI.K2,AGO,2020,458640.0
AG.LND.AGRI.K2,AGO,2021,459170.0
AG.LND.AGRI.K2,AGO,2022,460620.0
AG.LND.AGRI.K2,AGO,2023,460630.0
AG.LND.AGRI.K2,AGO,2024,
AG.LND.AGRI.K2,AGO,2025,
AG.LND.AGRI.K2,ARE,1960,
AG.LND.AGRI.K2,ARE,1961,2080.0
AG.LND.AGRI.K2,ARE,1962,2080.0
AG.LND.AGRI.K2,ARE,1963,2080.0
AG.LND.AGRI.K2,ARE,1964,2080.0
AG.LND.AGRI.K2,ARE,1965,2090.0
AG.LND.AGRI.K2,ARE,1966,2100.0
AG.LND.AGRI.K2,ARE,1967,2100.0
AG.LND.AGRI.K2,ARE,1968,2100.0
AG.LND.AGRI.K2,ARE,1969,2100.0
AG.LND.AGRI.K2,ARE,1970,2120.0
AG.LND.AGRI.K2,ARE,1971,2120.0
AG.LND.AGRI.K2,ARE,1972,2120.0
AG.LND.AGRI.K2,ARE,1973,2130.0
AG.LND.AGRI.K2,ARE,1974,2140.0
AG.LND.AGRI.K2,ARE,1975,2150.0
AG.LND.AGRI.K2,ARE,1976,2160.0
AG.LND.AGRI.K2,ARE,1977,2170.0
AG.LND.AGRI.K2,ARE,1978,2180.0
AG.LND.AGRI.K2,ARE,1979,2190.0
AG.LND.AGRI.K2,ARE,1980,2230.0
AG.LND.AGRI.K2,ARE,1981,2270.0
AG.LND.AGRI.K2,ARE,1982,2270.0
AG.LND.AGRI.K2,ARE,1983,2320.0
AG.LND.AGRI.K2,ARE,1984,2320.0
AG.LND.AGRI.K2,ARE,1985,2350.0
AG.LND.AGRI.K2,ARE,1986,2380.0
AG.LND.AGRI.K2,ARE,1987,2380.0
AG.LND.AGRI.K2,ARE,1988,2390.0
AG.LND.AGRI.K2,ARE,1989,2390.0
AG.LND.AGRI.K2,ARE,1990,2850.0
AG.LND.AGRI.K2,ARE,1991,3100.0
AG.LND.AGRI.K2,ARE,1992,3390.0
AG.LND.AGRI.K2,ARE,1993,3550.0
AG.LND.AGRI.K2,ARE,1994,3720.0
AG.LND.AGRI.K2,ARE,1995,3830.0
AG.LND.AGRI.K2,ARE,1996,3870.0
AG.LND.AGRI.K2,ARE,1997,3950.0
AG.LND.AGRI.K2,ARE,1998,3980.0
AG.LND.AGRI.K2,ARE,1999,5160.0
AG.LND.AGRI.K2,ARE,2000,5470.0
AG.LND.AGRI.K2,ARE,2001,5620.0
AG.LND.AGRI.K2,ARE,2002,5660.0
AG.LND.AGRI.K2,ARE,2003,5540.0
AG.LND.AGRI.K2,ARE,2004,5540.0
AG.LND.AGRI.K2,ARE,2005,5570.0
AG.LND.AGRI.K2,ARE,2006,5386.0
AG.LND.AGRI.K2,ARE,2007,5326.0
AG.LND.AGRI.K2,ARE,2008,5396.0
AG.LND.AGRI.K2,ARE,2009,3879.0
AG.LND.AGRI.K2,ARE,2010,3923.0
AG.LND.AGRI.K2,ARE,2011,3885.0
AG.LND.AGRI.K2,ARE,2012,3767.0
AG.LND.AGRI.K2,ARE,2013,3794.0
AG.LND.AGRI.K2,ARE,2014,3825.0
AG.LND.AGRI.K2,ARE,2015,3828.0
AG.LND.AGRI.K2,ARE,2016,3838.0
AG.LND.AGRI.K2,ARE,2017,3838.0
AG.LND.AGRI.K2,ARE,2018,3817.5
AG.LND.AGRI.K2,ARE,2019,3904.0
AG.LND.AGRI.K2,ARE,2020,3898.0
AG.LND.AGRI.K2,ARE,2021,3915.615
AG.LND.AGRI.K2,ARE,2022,3915.615
