indicator_code,country_code,year,value
BX.KLT.DINV.CD.WD,ARG,1960,
BX.KLT.DINV.CD.WD,ARG,1961,
BX.KLT.DINV.CD.WD,ARG,1962,
BX.KLT.DINV.CD.WD,ARG,1963,
BX.KLT.DINV.CD.WD,ARG,1964,
BX.KLT.DINV.CD.WD,ARG,1965,
BX.KLT.DINV.CD.WD,ARG,1966,
BX.KLT.DINV.CD.WD,ARG,1967,
BX.KLT.DINV.CD.WD,ARG,1968,
BX.KLT.DINV.CD.WD,ARG,1969,
BX.KLT.DINV.CD.WD,ARG,1970,89769999.9
BX.KLT.DINV.CD.WD,ARG,1971,125670000.0
BX.KLT.DINV.CD.WD,ARG,1972,71719999.9
BX.KLT.DINV.CD.WD,ARG,1973,100250000.0
BX.KLT.DINV.CD.WD,ARG,1974,17920000.0
BX.KLT.DINV.CD.WD,ARG,1975,55590000.0
BX.KLT.DINV.CD.WD,ARG,1976,244680000.0
BX.KLT.DINV.CD.WD,ARG,1977,144000000.0
BX.KLT.DINV.CD.WD,ARG,1978,250000000.0
BX.KLT.DINV.CD.WD,ARG,1979,206000000.0
BX.KLT.DINV.CD.WD,ARG,1980,678000000.0
BX.KLT.DINV.CD.WD,ARG,1981,837000000.0
BX.KLT.DINV.CD.WD,ARG,1982,227000000.0
BX.KLT.DINV.CD.WD,ARG,1983,185000000.0
BX.KLT.DINV.CD.WD,ARG,1984,268000000.0
BX.KLT.DINV.CD.WD,ARG,1985,919000000.0
BX.KLT.DINV.CD.WD,ARG,1986,574000000.0
BX.KLT.DINV.CD.WD,ARG,1987,-19000000.0
BX.KLT.DINV.CD.WD,ARG,1988,1147000000.0
BX.KLT.DINV.CD.WD,ARG,1989,1028000000.0
BX.KLT.DINV.CD.WD,ARG,1990,1836000000.0
BX.KLT.DINV.CD.WD,ARG,1991,2439000000.0
BX.KLT.DINV.CD.WD,ARG,1992,4430977523.08015
BX.KLT.DINV.CD.WD,ARG,1993,2793085410.09827
BX.KLT.DINV.CD.WD,ARG,1994,3634931878.26435
BX.KLT.DINV.CD.WD,ARG,1995,5609423403.56467
BX.KLT.DINV.CD.WD,ARG,1996,6948536686.64725
BX.KLT.DINV.CD.WD,ARG,1997,9160272052.4446
BX.KLT.DINV.CD.WD,ARG,1998,7290657132.08156
BX.KLT.DINV.CD.WD,ARG,1999,23987696389.6427
BX.KLT.DINV.CD.WD,ARG,2000,10418314339.1428
BX.KLT.DINV.CD.WD,ARG,2001,2166136829.76399
BX.KLT.DINV.CD.WD,ARG,2002,2148910000.0
BX.KLT.DINV.CD.WD,ARG,2003,1652010000.0
BX.KLT.DINV.CD.WD,ARG,2004,4124710000.0
BX.KLT.DINV.CD.WD,ARG,2005,5265250000.0
BX.KLT.DINV.CD.WD,ARG,2006,5537347786.19331
BX.KLT.DINV.CD.WD,ARG,2007,6473157762.12915
BX.KLT.DINV.CD.WD,ARG,2008,9725553129.52469
BX.KLT.DINV.CD.WD,ARG,2009,4017158924.88408
BX.KLT.DINV.CD.WD,ARG,2010,11332718626.4344
BX.KLT.DINV.CD.WD,ARG,2011,10839930944.6815
BX.KLT.DINV.CD.WD,ARG,2012,15323933916.8241
BX.KLT.DINV.CD.WD,ARG,2013,9821661858.15874
BX.KLT.DINV.CD.WD,ARG,2014,5065335541.96486
BX.KLT.DINV.CD.WD,ARG,2015,11758994011.286
BX.KLT.DINV.CD.WD,ARG,2016,3260164341.77393
BX.KLT.DINV.CD.WD,ARG,2017,11516861462.2844
BX.KLT.DINV.CD.WD,ARG,2018,11716769818.7543
BX.KLT.DINV.CD.WD,ARG,2019,6649187837.98606
BX.KLT.DINV.CD.WD,ARG,2020,4884127675.95707
BX.KLT.DINV.CD.WD,ARG,2021,6658049679.27727
BX.KLT.DINV.CD.WD,ARG,2022,15206087397.3003
BX.KLT.DINV.CD.WD,ARG,2023,24756887226.6539
BX.KLT.DINV.CD.WD,ARG,2024,11644393816.0627
