Country,Year,GDP,GFCF,POP,GDP_PC,TRADE,FDI,GOV_CONS,URBAN,RULE_OF_LAW,BROADBAND,MOBILE,INTERNET,CO2,RENEWABLES,ENERGY_USE,PM25,SERVICES_VA,INDUSTRY_VA,CAPITAL,LABOR,HC_index,AI_PUBS,EFFECTIVE_LABOR,REGION,LN_TFP_SOLOW,AI_PUBS_PM,LN_AI
ARG,2008,533491913656.279,87936280775.266,40424148.0,13197.3570267029,40.4026733790382,2.68990096507093,13.6335132595631,90.6521912139817,-0.699731647968292,7.70515,115.052,28.1126,179.2241,7.7,1889.40923801554,15.8984989433497,50.2551922042782,26.2724599395946,1098723028227.1156,10279805.0,2.81347823143005,,28922007.590845786,LATAM,6.1318266505804875,,
ARG,2009,501917060966.235,68086553749.1582,40854831.0,12285.3784651865,34.0571269054879,1.20643922647566,15.903896746884,90.8209023233265,-0.694468080997467,8.59391,128.462,34.0,164.8204,8.6,1722.74402909882,15.346371309888,53.3060010032753,25.2842047993735,1111873430564.918,10401878.0,2.82176613807678,,29351667.11280582,LATAM,6.057068169011064,,
ARG,2010,552738161802.463,85962395051.7292,41288694.0,13387.1553748458,34.9710132635696,2.67516171886535,15.1637178886417,90.9930051940977,-0.59809422492981,9.75627,138.252,45.0,177.3162,8.8,1826.05112368849,14.5390685061033,51.4951802052167,25.2587762576722,1142242154088.4011,10531926.0,2.83007836341858,,29806175.897725593,LATAM,6.134098238872307,,
ARG,2011,585924294024.785,100900907666.981,41730660.0,14040.6189124444,35.2061549999644,2.04465997872008,15.6889565165983,91.1072286738406,-0.563123285770416,10.956,145.511,51.0,184.8342,8.8,1865.25736115683,15.7163051408834,51.8119007511102,25.2126976058843,1186030954050.962,10765734.0,2.8585422039032,,30774304.994995613,LATAM,6.158460776469861,,
ARG,2012,579910247223.428,93761965457.9418,42161721.0,13754.4254235596,30.5265423717108,2.80667189982932,16.6454378106252,91.2041217246797,-0.623034238815308,12.2115,152.574,55.8,188.8365,8.6,1897.60983922809,14.0989689010505,53.6581179163924,24.4290570649122,1220491371806.3557,10843566.0,2.88729238510132,,31308545.53914358,LATAM,6.126931987135741,,
ARG,2013,593858966307.156,95955516955.605,42582455.0,13946.0950832252,29.3339290021037,1.77920553648531,16.8062377968797,91.3014507719473,-0.656328618526459,14.6798,158.191,59.9,193.179,8.9,1928.54922885127,14.5961380999521,53.9190936666216,24.0058814423072,1255422320171.6428,10942848.0,2.91633176803589,,31912975.255188003,LATAM,6.1283949965941655,,
ARG,2014,578937574935.696,89473196447.266,43024071.0,13456.1319159151,28.4067936452275,0.962406650325519,16.9498757371062,91.3975345472954,-0.866627335548401,15.153,142.325,64.7,190.0264,9.8,1911.61727736839,13.534008457628,52.9405434663365,24.2773944936602,1282124400610.3267,11047223.0,2.9456627368927,,32541393.137243986,LATAM,6.082906409530768,,
ARG,2015,594749285413.212,92571210122.056,43477012.0,13679.6264980954,22.4862260889792,1.97713461784426,18.098379759087,91.4923019108628,-0.74863588809967,15.7689,142.241,68.0431,196.1938,9.4,1919.75859208058,13.8006524258903,55.8149012843362,23.153056135905,1310589390701.8662,11220887.666666666,2.97528910636902,,33385384.838423822,LATAM,6.085522752033189,,
ARG,2016,582376550428.09,87222011290.2295,43900313.0,13265.8860639123,26.0938878488799,0.584748941173009,17.6545781863509,91.5856817228217,-0.320159524679184,16.5185,145.147,70.969,194.1404,9.4,1889.87018853289,14.1434158723716,56.1222358547004,22.0541072112108,1332281932457.0024,11394552.333333334,3.00521349906921,216.0,34243062.4879839,LATAM,6.042266599412475,4.92023826800506,1.778376696059814
ARG,2017,598790850843.677,98892817130.2083,44288894.0,13520.1129846159,25.2896011376779,1.78936504083806,17.6968939223042,91.6776028433824,-0.237312033772469,17.7082,139.758,74.2949,191.3736,10.4,1874.82963739464,13.2987334804339,57.3499373815692,21.782123219335,1364560652964.3606,11568217.0,3.03543877601624,226.0,35114614.45117026,LATAM,6.045346261703131,5.102859421145175,1.808757418911543
ARG,2018,583118120294.002,93210783977.9137,44654882.0,13058.3285449954,30.7625359549926,2.23253157689253,15.8050971558947,91.7679941327998,-0.219330430030823,18.9759,131.224,77.7,189.8171,10.5,1806.77623499039,13.5371363799976,56.3697502721818,23.7195923321304,1389543404294.0562,11744699.0,3.06596803665161,279.0,36008871.73409413,LATAM,5.996127560410553,6.247917081048383,1.9807141284225316
ARG,2019,571450737224.442,78342216931.0375,44973465.0,12706.3978108968,32.6306150458499,1.48500687570697,16.4432415862976,91.8567844513802,-0.427360445261002,19.5519,125.303,79.947,183.2687,10.7,1777.41507710553,14.7246348007331,55.4388171093669,23.1578477391434,1398408451010.3909,12041135.0,3.09680438041687,251.0,37289039.61319089,LATAM,5.950983059339391,5.5810687479828385,1.8841971558535224
ARG,2020,514874343768.066,68106055855.5898,45191965.0,11393.0505957877,30.203698807416,1.26616924308721,16.8730073837365,91.9439026594897,-0.486265957355499,21.1798,121.181,85.5144,168.1154,9.8,1623.92450833523,16.0292286761716,54.8578674557962,22.4088763711802,1396594084315.4612,10936539.0,3.12795066833496,337.0,34208954.47432136,LATAM,5.903219861682105,7.457077823458218,2.1350037030112885
ARG,2021,568636554720.066,91273371142.4809,45312281.0,12549.2811699342,33.078689567466,1.36838083162438,15.9158179423023,92.0292776175651,-0.477947890758514,23.15,130.353,87.1507,185.676,9.2,1741.51377200597,13.9190749120157,52.8340319497207,23.4994644263761,1418037751242.169,12241621.0,3.13874697685242,316.0,38423350.9055231,LATAM,5.921689660784329,6.973826808674673,2.076164529219237
ARG,2022,602872713790.916,100814337082.887,45407904.0,13276.8232110189,31.5801792606256,2.3984601182853,15.7026090548718,92.112838186126,-0.482351809740067,24.6832,131.484,88.3754,195.0411,,1808.76021335553,15.8656062718096,53.5341356683759,24.1118636272911,1447950200762.9475,12881228.0,3.14963102340698,231.0,40571115.32837865,LATAM,5.937493914934281,5.0872200575476905,1.806191500911495
ARG,2023,591684674129.454,98847542616.3413,45538401.0,12993.0928872416,26.6769512482215,3.81190879856952,16.3015627890885,92.1945132257907,-0.410826534032822,25.3581,137.706,89.229,189.8908,,1763.50879742948,14.3465949932455,53.1990739500308,25.1722105252735,1474400233341.1414,13293498.0,3.16060328483582,290.0,42015473.4457584,LATAM,5.889687803872263,6.368251709145431,1.997180460848503
BGD,2008,129513195397.247,32192100690.5257,149474264.0,866.45815762135,42.6209140325589,1.4496579161576,5.17827687820651,26.87206041368,-0.829873299999999,0.0334505744748139,29.8646728911139,2.5,51.3301,45.2,180.593953454978,65.2040972325802,52.932121684056,24.7270013036793,262322255476.12366,54083527.0,1.81974923610687,,98418456.94421527,ASIA,4.4214744644303945,,
BGD,2009,136047297736.462,34570499655.1297,150873714.0,901.729626251937,40.092796223023,0.879517142536145,5.09374516609514,27.3111249057412,-0.8215673,0.209909991345477,34.0412611569965,3.099999905,55.1298,43.1,187.6926023298,70.6456661196446,53.3233235281853,25.2955721814431,283776642357.44714,54083527.0,1.84639751911163,,99859690.07760686,ASIA,4.433729957758176,,
BGD,2010,143627564998.204,37531332235.834,152201981.0,943.66422864236,37.8028426708321,1.06896766308322,5.07532583559895,27.7254372588696,-0.8477644,0.272380817434958,44.6274657883724,3.700000048,60.7693,40.3,195.623071252394,67.4916421858428,53.4982962820487,24.9564767264585,307119142475.40875,54083527.0,1.87343597412109,,101322025.08914927,ASIA,4.45083453305665,,
BGD,2011,152912195327.661,41119683067.414,153591076.0,995.579947155662,47.4208498356898,0.983399364184761,5.0974466876342,28.1100162712427,-0.6998395,0.30503074280175,54.9307304807214,4.5,65.3074,38.4,200.332283493272,69.2015582728483,53.045792114203,25.0452996007551,332882868419.0523,41339940.0,1.89753115177155,,78443823.96236677,ASIA,4.651629274989238,,
BGD,2012,162884301114.117,45465099966.502,155070101.0,1050.39140404066,48.1109227490467,1.18850391920183,5.03934251857421,28.4787972894576,-0.9887756,0.387219068103915,62.6684314857059,5.0,69.872,37.3,208.079815841876,73.0293458531385,53.1515772385279,25.3099593902625,361703824964.6017,49706438.0,1.92193627357483,,95532606.22239833,ASIA,4.557638120985054,,
BGD,2013,172679520662.469,47904139719.4337,156532141.0,1103.15695907123,46.2964027228174,1.73532012481503,5.11613164192944,28.8407036106763,-0.9749211,0.974448436120221,74.4595169116099,6.63,72.0796,37.0,216.73767037563,65.4784823754338,53.3901814188466,26.3070701636507,391522773435.8053,58072936.0,1.9466552734375,,113047987.10839844,ASIA,4.478884981339425,,
BGD,2014,183145728910.398,52625117277.0386,157964929.0,1159.40753475981,44.5140801968096,1.46870305074204,5.33752075651661,29.1944442321013,-0.851857499999999,1.95813780918421,80.3128212085608,9.052900314,76.6542,35.4,223.001864414998,68.7428624015006,53.6357543166708,26.3110467833576,424571752041.0536,58558563.666666664,1.9716922044754,,115459463.48684305,ASIA,4.49564706671922,,
BGD,2015,195146608978.131,56371394511.5866,159383179.0,1224.38647668165,42.0859963070382,1.4507824552936,5.40424038147983,29.5395099477892,-0.856926099999999,3.06992245398744,82.4275967039157,12.36880016,85.4452,33.1,237.200804521803,65.5167318093513,53.7138319423318,26.8313948329541,459714558950.5875,59044191.333333336,1.99705111980438,,117914268.42017742,ASIA,4.517607443786897,,
BGD,2016,209028320490.615,61393731835.153,160811932.0,1299.83091360792,31.3341501346142,0.879528340271998,5.86529831496558,29.8753915517965,-0.9068902,4.09944456111627,84.5595499717024,16.89909935,93.9921,30.2,256.237827701744,64.2366339904364,51.2078039865767,31.0691513830358,498122562838.2111,59529819.0,2.02273631095886,310.0,120413126.47610866,ASIA,4.54461096592855,1.9277176521951118,1.0742231611881363
BGD,2017,222803809377.443,66525986070.1388,162186147.0,1373.75363740186,29.9997306724343,0.616341784631384,6.02233215987973,30.2015798381799,-0.924304999999999,4.5013092271068,93.0689844922452,21.5,101.0415,28.1,264.090549017021,63.8347510665769,51.383900544644,31.2482919641603,539742420766.43933,60827611.0,2.04875159263611,469.0,124620664.91249977,ASIA,4.558021939773354,2.891738959678227,1.3588560910770264
BGD,2018,239111739541.452,74597518248.3962,163523103.0,1462.25050255713,32.5146317240884,0.75354913412869,5.95916693091491,30.5175656009959,-0.9096266,4.92461851093909,98.9289060885788,25.56509972,105.1823,27.0,261.271156644512,79.2984145312804,50.890160724185,31.9828135899766,587352817976.5135,62754293.4,2.07510161399841,655.0,130221535.51966977,ASIA,4.570498783602588,4.005550212681569,1.6105473393287482
BGD,2019,257958323968.613,79730036553.6332,164913055.0,1564.20802445636,31.5780544912404,0.543244141585063,6.2381894055709,30.8228396343012,-0.9419472,4.90288655437254,100.399571155843,30.38310051,109.3222,26.1,277.950296654643,66.7938254643287,50.8492887427224,32.8525491977868,637715213631.321,64680975.8,2.10179042816162,1113.0,135945855.8205934,ASIA,4.589609987806682,6.7490108651495175,2.0475652049165274
BGD,2020,266852772253.895,82876081503.6354,166298024.0,1604.6659234742,26.271447376215,0.407859894856915,5.97120729189186,31.1168927321524,-0.8969166,6.04506220711318,106.002140470412,36.10910034,104.1229,27.2,278.638664578008,72.109680405827,51.5113093348259,32.9115650824449,688705534453.3904,66607658.2,2.12882280349731,1349.0,141795901.6637146,ASIA,4.569200530919764,8.111942448576539,2.2095859101214823
BGD,2021,285368829855.224,89581402225.3307,167658854.0,1702.08028414189,27.7240047036631,0.414118154040593,5.88274868783073,31.3992156886061,-0.974914899999999,6.64246518111116,110.012054001037,38.91744466,117.7683,25.0,298.53034978646,73.1105267513781,51.3015069352743,33.3160943869001,743851659956.0515,68534340.6,2.07164478302002,2012.0,141978809.16170713,ASIA,4.608488263275465,12.000559183113587,2.564992370622118
BGD,2022,305629528154.311,100020656738.973,169384897.0,1804.3493461776,33.7799672705735,0.347960024540439,5.69899955596024,31.673734726234,-0.973641299999999,7.17020479104462,109.8665408168,41.61650085,120.8657,,308.276302614701,63.2199514017555,51.0380826788136,33.9200804971876,806679733697.2219,70461023.0,2.1118311882019,1879.0,148801785.9240114,ASIA,4.618190421374324,11.093078741252828,2.4926332840903687
BGD,2023,323279976841.364,102232069046.377,171466990.0,1885.37733613545,30.9829714104596,0.335721505298968,5.66516962733289,32.1578465036834,-0.9020256,7.89245848428319,111.280894357567,44.50274195,118.9891,,287.753137358845,69.2525518340174,51.1119129405073,34.5942721606063,868577816058.7378,70981962.0,2.15412998199463,2562.0,152904372.5250035,ASIA,4.630781406131874,14.941651451395979,2.768935272223626
BOL,2008,23477060537.7352,3900374018.97411,9850858.0,2383.2503257823,82.8670208961798,3.07261074755318,13.2773746897522,65.5448299960338,-0.978549301624298,0.805148,51.1488,12.5,12.8434,21.3,572.268566916802,30.3483264008865,40.496023654551,29.7366397824222,29168954655.48025,4577392.0,2.67628622055054,,12250411.135658279,LATAM,4.836864322944308,,
BOL,2009,24265185360.0464,4013055962.64754,10016275.0,2422.57579390007,68.6270739127592,2.43967814560444,14.7087648409415,65.9781896386949,-1.11391890048981,0.959778,64.5389,16.8,13.6594,20.6,586.29382437989,27.2772664230114,43.5085261772037,29.2286844945559,31723562885.35378,4725200.0,2.69742035865784,,12745850.678730026,LATAM,4.814728895356771,,
BOL,2010,25266542246.0612,4312581603.36567,10182345.0,2481.40700850945,75.5116262512877,3.16542867647895,13.831218450538,66.4075665659133,-1.02979016304016,0.942298,70.5073,22.4,14.7927,19.9,625.50781114153,38.1987404488372,43.5524305510023,30.1439417460822,34449966344.45176,4760523.0,2.71872138977051,,12942535.706594478,LATAM,4.816356705201011,,
BOL,2011,26581436461.7176,5335265746.6618,10348929.0,2568.5205166368,82.4803954243518,3.58442251378885,13.7771015326236,66.833715633176,-0.984035789966583,0.710624,80.7163,30.0,16.0948,18.1,660.409165317164,30.2808785160905,41.013191725216,30.3691066361261,38062733773.89097,4795846.0,2.7451503276825,,13165318.218414808,LATAM,4.821090658832347,,
BOL,2012,27943010890.6533,5470015819.68111,10515807.0,2657.23884915853,84.9487611684942,3.9135501461408,13.4396269650146,67.2581444827699,-1.01876401901245,1.10983,90.2756,35.34,17.0414,17.4,703.774758318729,26.3774150753894,40.4434919386356,29.3342196293346,41629612904.87753,4693304.0,2.77183604240418,,13009069.185159707,LATAM,4.847453541637874,,
BOL,2013,29842021104.1397,6111485751.19452,10682608.0,2793.51457098676,81.2309075267174,5.7066221190291,13.8415143362661,67.6697055519889,-1.05095064640045,1.44251,97.5951,36.99,18.1017,16.0,699.381562017113,25.1627814896826,40.2117817540524,28.5181929044884,45659618010.82817,4945704.0,2.7987813949585,,13841944.340171834,LATAM,4.840526211696915,,
