Country,Year,GDP,GFCF,POP,GDP_PC,TRADE,FDI,GOV_CONS,URBAN,RULE_OF_LAW,BROADBAND,MOBILE,INTERNET,CO2,RENEWABLES,ENERGY_USE,PM25,SERVICES_VA,INDUSTRY_VA,CAPITAL,LABOR,HC_index,AI_PUBS,EFFECTIVE_LABOR,REGION,LN_TFP_SOLOW,AI_PUBS_PM,LN_AI,MALM_CRS,MALM_EC,MALM_TC,GTFP_ML,ML_EFF,ML_TECH,LN_GDP_PC,LN_AI_L1,RENEW_L1,D_ASIA,D_AFRICA
ARG,2016,582376550428.09,87222011290.2295,43900313.0,13265.8860639123,26.0938878488799,0.584748941173009,17.6545781863509,91.5856817228217,-0.320159524679184,16.5185,145.147,70.969,194.1404,9.4,1889.87018853289,14.1434158723716,56.1222358547004,22.0541072112108,1332281932457.0024,11394552.333333334,3.00521349906921,216.0,34243062.4879839,LATAM,6.042266599412475,4.92023826800506,1.778376696059814,,,,,,,9.492951061469718,,,0.0,0.0
ARG,2017,598790850843.677,98892817130.2083,44288894.0,13520.1129846159,25.2896011376779,1.78936504083806,17.6968939223042,91.6776028433824,-0.237312033772469,17.7082,139.758,74.2949,191.3736,10.4,1874.82963739464,13.2987334804339,57.3499373815692,21.782123219335,1364560652964.3606,11568217.0,3.03543877601624,226.0,35114614.45117026,LATAM,6.045346261703131,5.102859421145175,1.808757418911543,1.0031184318082298,1.0,1.0031184318082298,0.9875833938276579,1.0000000000000002,0.9875833938276577,9.511933706412325,1.778376696059814,9.4,0.0,0.0
ARG,2018,583118120294.002,93210783977.9137,44654882.0,13058.3285449954,30.7625359549926,2.23253157689253,15.8050971558947,91.7679941327998,-0.219330430030823,18.9759,131.224,77.7,189.8171,10.5,1806.77623499039,13.5371363799976,56.3697502721818,23.7195923321304,1389543404294.0562,11744699.0,3.06596803665161,279.0,36008871.73409413,LATAM,5.996127560410553,6.247917081048383,1.9807141284225316,0.9523281981644299,1.0,0.9523281981644299,0.918841073440876,0.9999999999999999,0.9188410734408761,9.477181411867754,1.808757418911543,10.4,0.0,0.0
ARG,2019,571450737224.442,78342216931.0375,44973465.0,12706.3978108968,32.6306150458499,1.48500687570697,16.4432415862976,91.8567844513802,-0.427360445261002,19.5519,125.303,79.947,183.2687,10.7,1777.41507710553,14.7246348007331,55.4388171093669,23.1578477391434,1398408451010.3909,12041135.0,3.09680438041687,251.0,37289039.61319089,LATAM,5.950983059339391,5.5810687479828385,1.8841971558535224,0.9561679844698484,1.0,0.9561679844698484,0.9078722224913295,1.000000000000001,0.9078722224913285,9.449860910237419,1.9807141284225316,10.5,0.0,0.0
ARG,2020,514874343768.066,68106055855.5898,45191965.0,11393.0505957877,30.203698807416,1.26616924308721,16.8730073837365,91.9439026594897,-0.486265957355499,21.1798,121.181,85.5144,168.1154,9.8,1623.92450833523,16.0292286761716,54.8578674557962,22.4088763711802,1396594084315.4612,10936539.0,3.12795066833496,337.0,34208954.47432136,LATAM,5.903219861682105,7.457077823458218,2.1350037030112885,0.9563792810657435,1.0,0.9563792810657435,0.9396468413448865,0.999999999999999,0.9396468413448874,9.340758851642148,1.8841971558535224,10.7,0.0,0.0
ARG,2021,568636554720.066,91273371142.4809,45312281.0,12549.2811699342,33.078689567466,1.36838083162438,15.9158179423023,92.0292776175651,-0.477947890758514,23.15,130.353,87.1507,185.676,9.2,1741.51377200597,13.9190749120157,52.8340319497207,23.4994644263761,1418037751242.169,12241621.0,3.13874697685242,316.0,38423350.9055231,LATAM,5.921689660784329,6.973826808674673,2.076164529219237,1.0147225612892148,1.0,1.0147225612892148,1.0246947361647114,1.0,1.0246947361647114,9.437418665623444,2.1350037030112885,9.8,0.0,0.0
ARG,2022,602872713790.916,100814337082.887,45407904.0,13276.8232110189,31.5801792606256,2.3984601182853,15.7026090548718,92.112838186126,-0.482351809740067,24.6832,131.484,88.3754,195.0411,,1808.76021335553,15.8656062718096,53.5341356683759,24.1118636272911,1447950200762.9475,12881228.0,3.14963102340698,231.0,40571115.32837865,LATAM,5.937493914934281,5.0872200575476905,1.806191500911495,1.0177524203773476,1.0,1.0177524203773476,1.0224884808369148,0.9999999999999999,1.022488480836915,9.493775178375971,2.076164529219237,9.2,0.0,0.0
ARG,2023,591684674129.454,98847542616.3413,45538401.0,12993.0928872416,26.6769512482215,3.81190879856952,16.3015627890885,92.1945132257907,-0.410826534032822,25.3581,137.706,89.229,189.8908,,1763.50879742948,14.3465949932455,53.1990739500308,25.1722105252735,1474400233341.1414,13293498.0,3.16060328483582,290.0,42015473.4457584,LATAM,5.889687803872263,6.368251709145431,1.997180460848503,0.9552998667426601,1.0,0.9552998667426601,0.9001692673884918,0.9999999999999993,0.9001692673884923,9.472173178879085,1.806191500911495,,0.0,0.0
BGD,2016,209028320490.615,61393731835.153,160811932.0,1299.83091360792,31.3341501346142,0.879528340271998,5.86529831496558,29.8753915517965,-0.9068902,4.09944456111627,84.5595499717024,16.89909935,93.9921,30.2,256.237827701744,64.2366339904364,51.2078039865767,31.0691513830358,498122562838.2111,59529819.0,2.02273631095886,310.0,120413126.47610866,ASIA,4.54461096592855,1.9277176521951118,1.0742231611881363,,,,,,,7.169989468534807,,,1.0,0.0
BGD,2017,222803809377.443,66525986070.1388,162186147.0,1373.75363740186,29.9997306724343,0.616341784631384,6.02233215987973,30.2015798381799,-0.924304999999999,4.5013092271068,93.0689844922452,21.5,101.0415,28.1,264.090549017021,63.8347510665769,51.383900544644,31.2482919641603,539742420766.43933,60827611.0,2.04875159263611,469.0,124620664.91249977,ASIA,4.558021939773354,2.891738959678227,1.3588560910770264,0.9837101265293248,1.015536007445742,0.968661001990008,0.9923007145891082,1.0014762091903189,0.99083803038254,7.225302153504579,1.0742231611881363,30.2,1.0,0.0
