dep,lag,sample,b,se,p,N
GTFP_ML,L0,full,-0.0026,0.0134,0.8435,262
GTFP_ML,L0,common,-0.0055,0.0166,0.7396,223
GTFP_ML,L1,full,-0.0073,0.0054,0.1744,262
GTFP_ML,L1,common,-0.0081,0.0073,0.2697,223
GTFP_ML,L2,full,-0.023,0.0088,0.0097,225
GTFP_ML,L2,common,-0.024,0.009,0.0084,223
MALM_CRS,L0,full,-0.0248,0.0067,0.0003,279
MALM_CRS,L0,common,-0.0312,0.0073,0.0,223
MALM_CRS,L1,full,-0.0072,0.0073,0.3293,279
MALM_CRS,L1,common,-0.0023,0.0098,0.8163,223
MALM_CRS,L2,full,-0.0195,0.0018,0.0,239
MALM_CRS,L2,common,-0.0163,0.0043,0.0002,223
LN_TFP_SOLOW,L0,full,0.0189,0.0187,0.313,319
LN_TFP_SOLOW,L0,common,-0.0068,0.0218,0.7569,223
LN_TFP_SOLOW,L1,full,0.0068,0.0347,0.845,279
LN_TFP_SOLOW,L1,common,-0.0158,0.0342,0.6439,223
LN_TFP_SOLOW,L2,full,0.0105,0.0428,0.8073,239
LN_TFP_SOLOW,L2,common,0.0016,0.0446,0.9713,223
