panel,model,var,coef,se,t,n,F1
PanelB 2016-24,FE-OLS,LN_AI_pub,0.004178369877380121,0.014540131713284063,0.28736808990270046,136,
PanelB 2016-24,Bartik-IV,LN_AI_pub,-0.008698439869868686,0.06286556340959175,-0.13836573472180982,136,2.29
PanelB 2016-24,Bartik-IV x RuleOfLaw,AI,0.026912108847393333,0.05832234065360924,0.4614373933863694,136,
PanelB 2016-24,Bartik-IV x RuleOfLaw,AI x RuleOfLaw,0.020199960283770906,0.02361251523417676,0.8554768555335215,136,
PanelB 2016-24,Bartik-IV x Broadband,AI,-0.020306352350602384,0.08458553108639927,-0.24006886390369306,136,
PanelB 2016-24,Bartik-IV x Broadband,AI x Broadband,0.013812085108623966,0.013921087074282025,0.9921700104972814,136,
PanelA 2016-24 subwindow,FE-OLS,LN_AI,0.005876377015727658,0.00858975094445727,0.6841149474210918,81,
PanelA 2016-24 subwindow,Bartik-IV,LN_AI,-0.058909989430857325,0.11173081523381874,-0.5272492580276674,81,2.35
PanelA 2016-24 subwindow,Bartik-IV x RuleOfLaw,AI,-0.09202186408515028,0.17789419879971144,-0.5172842324597465,81,
PanelA 2016-24 subwindow,Bartik-IV x RuleOfLaw,AI x RuleOfLaw,-0.07877813375223612,0.16192810806947722,-0.48650067422782095,81,
PanelA 2016-24 subwindow,Bartik-IV x Broadband,AI,-0.014696379084810514,0.04715091417853364,-0.31168810490425913,81,
PanelA 2016-24 subwindow,Bartik-IV x Broadband,AI x Broadband,0.2056307834577193,0.32272625688426704,0.6371678134991682,81,
