model,var,coef,se,t,n
"H1 patents-only, 2017-24",LN_AI,0.004412823126710335,0.008339108971212914,0.5291720184906631,72
"H1 composite, 2017-24",AI_COMPOSITE,0.009596518126136638,0.010978925768269284,0.8740853457514024,72
H3 composite x RuleOfLaw,AI_COMPOSITE,0.008027738078274484,0.010843804398694125,0.7403064259662625,72
H3 composite x RuleOfLaw,XM,-0.004235665525611678,0.005548354772778157,-0.7634092806020779,72
H4 composite x Broadband,AI_COMPOSITE,0.009020756771546217,0.010858013887170071,0.8307925247917786,72
H4 composite x Broadband,XM,0.0016935579158626163,0.004433186775744041,0.3820181737274941,72
H3 patents x RuleOfLaw (compare),LN_AI,0.003559669196714764,0.009882696857058112,0.36019208604708824,72
H3 patents x RuleOfLaw (compare),XM,-0.0026373261575002964,0.012880280822075001,-0.20475688332666536,72
H4 patents x Broadband (compare),LN_AI,-0.00048095348356231443,0.007674215224675091,-0.06267135719830909,72
H4 patents x Broadband (compare),XM,0.005610587445787821,0.008467144363048861,0.6626304223975169,72
