scheme,outcome,coef,se,t,n
ISCO08,sh_1,-2.3156648221394094,1.2019099091845322,-1.9266542395931603,106
ISCO08,sh_2,-0.3231258200449377,0.23294512063287448,-1.3871328112263384,106
ISCO08,sh_3,-1.3058194354014299,0.9231553815710876,-1.4145174923630939,106
ISCO08,sh_4,0.2689062993916332,0.19640744848173466,1.3691247530087471,106
ISCO08,sh_5,-0.41830204989155306,1.0181582133425067,-0.41084189511010405,106
ISCO08,sh_7,0.11425213055199405,0.4932790301188069,0.2316176516250372,106
ISCO08,sh_8,0.2754160584354189,0.4765159014528927,0.5779787360624856,106
ISCO08,sh_9,1.803838607919987,2.063458439985905,0.8741821850951884,106
SKILL,sh_L1,0.06276133177173823,1.2191766155133328,0.051478457651775625,205
SKILL,sh_L2,1.2037812018539378,1.4890276737708186,0.8084344052555305,205
SKILL,sh_L3-4,-1.148199258695904,1.0963723394568814,-1.0472712758009715,205
