Country,Year_t,Year_t1,Period,TFP_Change,Efficiency_Change,Technical_Change
ARG,1992,1993,1992-1993,1.0041829899392973,1.0,1.0041829899392973
BRA,1992,1993,1992-1993,0.9565426857995202,1.0384538404666355,0.921122007088627
CHL,1992,1993,1992-1993,0.9180092583424427,1.0252618977139731,0.8953900075574137
COL,1992,1993,1992-1993,0.9428525942960125,0.898491966402782,1.0493723144468765
CRI,1992,1993,1992-1993,0.999934807727924,1.0904647589125238,0.9169803971703939
DOM,1992,1993,1992-1993,0.896572493543424,1.0,0.896572493543424
MEX,1992,1993,1992-1993,0.9128340524509516,0.9904950799654699,0.9215937271316625
PER,1992,1993,1992-1993,0.9033126752009168,0.9980113821853955,0.9051125982379958
URY,1992,1993,1992-1993,0.9157473379768218,0.9916016875819991,0.9235032064233911
ARG,1993,1994,1993-1994,1.0217818991076846,1.0,1.0217818991076846
BRA,1993,1994,1993-1994,0.9610921630704145,1.0523716586411132,0.9132630617508606
CHL,1993,1994,1993-1994,0.9177063982139299,0.999809393680999,0.9178813521997523
COL,1993,1994,1993-1994,1.1455929871608068,1.0429629689694175,1.098402360625326
CRI,1993,1994,1993-1994,0.9784888109521661,1.0722376235971407,0.9125671301008201
DOM,1993,1994,1993-1994,0.8698438968730996,0.9542420363385294,0.9115547877252721
MEX,1993,1994,1993-1994,0.9245045087673414,1.0119529398030385,0.9135844883728312
PER,1993,1994,1993-1994,0.9241576133094563,1.0019925802952767,0.9223198170161268
URY,1993,1994,1993-1994,0.9633191448520234,1.0541576370952503,0.9138283601553806
ARG,1994,1995,1994-1995,0.7884339669488905,1.0,0.7884339669488905
BRA,1994,1995,1994-1995,0.9564037149027751,1.0815150313831168,0.8843184672890393
CHL,1994,1995,1994-1995,0.9424391611076658,1.0606717598604705,0.888530454729597
COL,1994,1995,1994-1995,0.9181912174826774,1.2491364928341993,0.7350607581717261
CRI,1994,1995,1994-1995,0.9766138502848057,1.100694665598278,0.8872704491158511
DOM,1994,1995,1994-1995,0.9095284593557674,1.0236322846497825,0.8885304547295969
