Country,Year_t,Year_t1,Period,TFP_Change,Efficiency_Change,Technical_Change
ARG,1992,1993,1992-1993,1.0005001312313437,1.0,1.0005001312313437
BRA,1992,1993,1992-1993,1.0109937284953574,1.0000000000000004,1.010993728495357
CHL,1992,1993,1992-1993,0.9205540229031616,1.0051300547695903,0.9158556333430738
COL,1992,1993,1992-1993,0.9193940402977071,0.8826678693295421,1.0416081430448596
CRI,1992,1993,1992-1993,0.9829136180901114,1.1139743818522956,0.8823484939175541
DOM,1992,1993,1992-1993,,,
MEX,1992,1993,1992-1993,0.9697938779144327,0.9832072808379366,0.9863575024464095
PER,1992,1993,1992-1993,0.8974553926309922,0.9968013889590529,0.9003352147895716
URY,1992,1993,1992-1993,,,
ARG,1993,1994,1993-1994,1.0099103827459939,0.9999999999999984,1.0099103827459954
BRA,1993,1994,1993-1994,1.0193816099831754,0.9999999999999993,1.019381609983176
CHL,1993,1994,1993-1994,0.9198501806319446,0.9985176836741101,0.9212157137240641
COL,1993,1994,1993-1994,1.1672152476762812,1.049761750448603,1.111885860937004
CRI,1993,1994,1993-1994,0.9630110703069441,1.0587249227536053,0.909595164532708
DOM,1993,1994,1993-1994,,,
MEX,1993,1994,1993-1994,1.0083572908771088,0.9755952296756597,1.0335816127476771
PER,1993,1994,1993-1994,0.9241407388900308,1.0032088749838997,0.9211847721192281
URY,1993,1994,1993-1994,,,
ARG,1994,1995,1994-1995,0.7987998825656589,0.9999999999999878,0.7987998825656687
BRA,1994,1995,1994-1995,1.0064852053174078,0.9999999999999987,1.0064852053174091
CHL,1994,1995,1994-1995,0.9449330537463917,1.0667580041024596,0.8857988879506294
COL,1994,1995,1994-1995,0.8920184316615201,1.2862834964245902,0.6934850941810367
CRI,1994,1995,1994-1995,,,
DOM,1994,1995,1994-1995,,,
MEX,1994,1995,1994-1995,0.9192880128210593,0.9096621250402044,1.0105818275993732
PER,1994,1995,1994-1995,0.8830751332909329,1.0000000000000007,0.8830751332909323
URY,1994,1995,1994-1995,,,
ARG,1995,1996,1995-1996,0.9076085816589018,1.0000000000000138,0.9076085816588892
BRA,1995,1996,1995-1996,0.9894078248303012,0.9999999999999916,0.9894078248303095
CHL,1995,1996,1995-1996,0.9346293380548765,0.9993728749580777,0.9352158353248109
COL,1995,1996,1995-1996,1.0149369657915046,1.2138743594856114,0.8361136866105252
CRI,1995,1996,1995-1996,,,
DOM,1995,1996,1995-1996,,,
MEX,1995,1996,1995-1996,1.0315869796461365,1.043979527328924,0.9881295108204905
PER,1995,1996,1995-1996,0.8832586559464116,0.9615632727561412,0.9185652998317168
URY,1995,1996,1995-1996,,,
ARG,1996,1997,1996-1997,1.010956256045053,1.0,1.010956256045053
BRA,1996,1997,1996-1997,1.001230124244949,0.9999999999999436,1.0012301242450055
CHL,1996,1997,1996-1997,0.9366965027386452,0.973729787465533,0.9619675959351315
COL,1996,1997,1996-1997,0.9744863523589582,0.9633187620889303,1.0115928296110535
CRI,1996,1997,1996-1997,,,
DOM,1996,1997,1996-1997,,,
MEX,1996,1997,1996-1997,1.0472971358334744,1.0540149539227468,0.9936264489756331
