Country,CountryName,Year,INVESTMENT,CAPITAL,GDP,HC_index,LABOR,TFP,TFP_Growth,GDP_Growth,AI_Patents,TFP_Change,Efficiency_Change,Technical_Change,FDI_inflows,FIN_credit_financial,FIN_credit_private,FIN_deposits,GDPPC_constant2015,GDPPC_ppp,GOV_consumption,GOV_expense,INF_broadband,INF_internet,INF_mobile,INF_telephone,INST_rule_of_law,OPEN_trade,URB_urban_pop,LNPGDP_constant2015,LNPGDP_ppp,LN_AI_Patents,LN_HC_index,AI_Patents_L1,LN_AI_Patents_L1,AI_Patents_L2,LN_AI_Patents_L2,AI_Patent_Stock,LN_AI_Patent_Stock,AI_x_RL,AI_x_MOBILE,AI_x_BROADBAND
ARG,Argentina,1992,40772703492.6653,467670728149.20386,313120244489.89,2.57097387313843,4495566.0,661.2394482472674,,,0.0,,,,1.9367945155154,22.4785777565544,15.4453354474077,10.42014,9293.18692251748,19476.2840606477,2.97553802761558,11.8011099217048,,0.00299,0.13879172,10.7,,14.730980586353,87.4815873775619,9.137036821690298,9.876952802359902,0.0,0.9442847660922614,,,,,0.0,0.0,,0.0,
ARG,Argentina,1993,46327225414.1258,490614417155.86945,338817957426.035,2.58705997467041,4609059.0,689.5013422310013,4.274078635000844,8.206979072212196,0.0,0.9483689123871717,0.999999999999998,0.9483689123871736,1.17980281165114,25.9935337266753,18.2846049267413,15.13626,9920.67358582437,20791.3451479504,13.5103784728742,14.2818561185834,,0.0295,0.329148059,11.7,,16.223151447784,87.7307713525095,9.202376099770508,9.942292080440112,0.0,0.9505220860315773,0.0,0.0,,,0.0,0.0,,0.0,
ARG,Argentina,1994,52661207597.975,518744903896.0509,358592053441.545,2.60324645042419,4386273.0,736.0709919406157,6.754105736608174,5.836200703685179,0.0,0.9399809656659088,1.000000000000001,0.9399809656659078,1.411953029158,26.5787635954009,20.280577998757,16.60333,10359.8927204871,21711.842788091,13.1869043660659,14.9007924176507,,0.0437,0.6992523,14.4,,18.1343458669981,87.964582650281,9.24569716059452,9.985613141264123,0.0,0.9567593009098696,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
ARG,Argentina,1995,45770986408.9843,538578645110.23267,348389357874.283,2.61953449249268,15243917.0,312.80179174936455,-57.50385558264187,-2.845209610570787,4.0,1.7785885465289508,0.9999999999999953,1.778588546528959,2.17392758974997,27.8679507463713,19.9606075608912,15.92594,9934.10776139515,20819.4999479903,13.3494556774505,15.5112306915719,,0.0863,1.160057586,16.3,,19.7714230903755,88.1853677511823,9.203729343343023,9.943645324012625,1.6094379124341003,0.9629966273658855,0.0,0.0,0.0,0.0,4.0,1.6094379124341003,,1.8670406595151816,
ARG,Argentina,1996,49836963889.7747,561486676744.4957,367643757074.802,2.62702393531799,7369830.0,520.7861325026323,66.4907766640663,5.526689827152231,42.0,0.7114591545862202,1.0000000000000038,0.7114591545862176,2.55320340608332,28.2203103254734,20.1870018252819,18.50607,10352.1400002191,21695.5949515372,12.5016776609201,15.1655476442657,,0.142,1.884803688,17.6,0.0755526423454285,21.5064684057215,88.3954731355194,9.244948540627123,9.98486452129673,3.7612001156935624,0.9658516219363492,4.0,1.6094379124341003,0.0,0.0,46.0,3.8501476017100584,0.28416860713058,7.0891238493652535,
ARG,Argentina,1997,58639598832.0611,592051941739.332,397463514160.866,2.63453459739685,7858448.0,529.1086799339909,1.5980739332217997,8.111046770745745,59.0,0.9689043979824593,1.0000000000000007,0.9689043979824586,3.12787793868196,30.3761991265421,21.9334587634322,22.02763,11056.6881331002,23172.1583398342,12.0620142457633,15.0142218610321,,0.28,5.609433289,19.0,,23.3361788437439,88.5972452835983,9.310790784763434,10.050706765433036,4.0943445622221,0.9687065430147753,42.0,3.7612001156935624,4.0,1.6094379124341003,105.0,4.663439094112067,,22.96695268396478,
ARG,Argentina,1998,62476955246.5045,624926299898.8699,412766570325.764,2.64206695556641,8278638.000000001,520.2686691808999,-1.6707362945158621,3.8501788515622914,59.0,0.9998341125691214,0.9999999999999911,0.9998341125691302,2.43876896154487,32.502843552354,24.1532987732827,24.2452,11348.2022124673,23783.1017185449,12.4947749986829,15.0988005449104,,0.831,7.371312411,19.5,-0.0388815775513649,23.3500279730689,88.793030675725,9.336814614986345,10.076730595655953,4.0943445622221,0.9715615485369257,59.0,4.0943445622221,42.0,3.7612001156935624,164.0,5.10594547390058,-0.15919457561804776,30.18069288641813,
ARG,Argentina,1999,54598702029.7055,648278686933.6318,398792535409.293,2.64962077140808,8285155.000000001,495.0688235656114,-4.843621595542668,-3.3854570406325224,74.0,1.0544062997797783,1.000000000000009,1.0544062997797687,8.46058217133802,35.5044239797124,24.8933437498898,26.70285,10838.3199346387,22714.5111302701,13.7232114149469,16.7436856974566,,3.28,10.50082052,19.6,,21.3827449624898,88.9851757922053,9.290843275402365,10.030759256071969,4.31748811353631,0.9744165246285885,59.0,4.0943445622221,59.0,4.0943445622221,238.0,5.476463551931511,,45.33716777747817,
ARG,Argentina,2000,50883664312.6158,666748416899.566,395646066535.875,2.65719604492188,8261723.0,486.34998533191583,-1.7611365973119186,-0.7889989390570507,50.0,1.0206995515780877,0.9999999999999991,1.0206995515780886,3.66579059535379,34.4516920194227,23.8947336198062,27.5462,10631.6503639029,22281.3814299958,13.7841913064131,16.8328883767368,,7.03868,17.4342,21.2,-0.214404493570328,22.6224447777343,89.1760271133454,9.271590714591147,10.011506695260747,3.9318256327243257,0.9772714483695905,74.0,4.31748811353631,59.0,4.0943445622221,288.0,5.666426688112432,-0.8430010835910936,68.54823444604244,
ARG,Argentina,2001,42914748082.9166,676325744137.5044,378202665751.853,2.68300294876099,8143391.0,464.0265493495404,-4.589994172024192,-4.40883968258542,59.0,1.0617133025851329,0.9999999999999976,1.0617133025851355,0.806164134759348,37.2433637548649,20.833574652466,23.84267,10051.9448463043,21066.4581290433,14.1562743129569,16.9923529034125,0.249835,9.78081,17.9185,21.6,,21.8522554515453,89.3682951289372,9.215521411810418,9.955437392480027,4.0943445622221,0.9869366704965506,50.0,3.9318256327243257,74.0,4.31748811353631,347.0,5.8522024797744745,,73.36451303817671,1.0229105737027584
ARG,Argentina,2002,27273361805.6602,669782818736.2893,336999433710.193,2.70905995368958,8016067.0,416.5290534572311,-10.235943602556786,-10.89448482859039,36.0,1.134574636866152,1.0000000000000002,1.1345746368661518,2.19895819502207,62.4210861219528,15.3318584042485,22.73243,8861.56199282278,18571.7020471274,12.235247296692,19.6771706443151,0.389173,10.8821,17.2676,20.3,-0.761098086833954,41.7527243585642,89.5616701920513,9.089478325218936,9.829394305888538,3.6109179126442243,0.996601694157282,59.0,4.0943445622221,50.0,3.9318256327243257,383.0,5.950642552587727,-2.7482627150279737,62.351886148375414,1.4052717568174906
ARG,Argentina,2003,37682562546.6549,673976240346.1298,366780211148.674,2.73537039756775,8956213.0,418.2528696164365,0.41385256199959475,8.837040795769212,42.0,0.9799522613541116,1.000000000000004,0.9799522613541077,1.29481086883944,50.6278207919725,10.7627059172487,23.07216,9545.53194119994,20005.1385113465,11.4380567929249,19.8373029880995,0.67366,11.9137,20.4096,22.4,-0.777115821838379,40.6447480311085,89.752468256564,9.163828464434127,9.903744445103731,3.7612001156935624,1.0062668554310847,36.0,3.6109179126442243,59.0,4.0943445622221,425.0,6.054439346269371,-2.922888119005809,76.76458988125934,2.5337700699381256
ARG,Argentina,2004,50654861461.2803,690932289790.1035,399898899166.738,2.76193618774414,9254724.0,439.76702811012444,5.143816111391586,9.029573300681527,30.0,0.956403448692007,0.9999999999999973,0.9564034486920096,2.5050175164097,41.8949109861802,9.68251819633223,21.38542,10302.4465316428,21591.449396517,11.114636067696,16.8763416365527,1.3986,16.0367,34.8114,22.6,-0.767380177974701,40.692646108947,89.9397208794212,9.240136673356535,9.980052654026137,3.4339872044851463,1.015931951079418,42.0,3.7612001156935624,36.0,3.6109179126442243,455.0,6.1224928095143865,-2.6351737121406575,119.54190217021421,4.802774504192926
ARG,Argentina,2005,58672701569.6979,715058376870.2961,435296589745.339,2.7887601852417,9525554.0,461.2855197791321,4.893157124917313,8.851659920134459,29.0,0.9571544272165022,1.0000000000000013,0.957154427216501,2.64935441452167,34.940798126021,10.6534929189359,21.19986,11099.7509190602,23262.4075792816,12.1418612359575,,2.36307,17.7206,56.4973,24.1,-0.557991087436676,40.5512709706238,90.1233737736072,9.314677947324345,10.054593927993945,3.4011973816621555,1.0255971190185185,30.0,3.4339872044851463,42.0,3.7612001156935624,484.0,6.184148890937483,-1.8978378255804413,192.1584688309813,8.03726749668439
