Country,CountryName,Year,INVESTMENT,CAPITAL,GDP,HC_index,LABOR,EFFECTIVE_LABOR,TFP,TFP_Growth,GDP_Growth,AI_Patents,TFP_Change,Efficiency_Change,Technical_Change,TFP_Change_CRS,Efficiency_Change_CRS,Technical_Change_CRS,FDI_inflows,FIN_credit_private,GDPPC_constant2015,GOV_consumption,IND_va_pct,INF_broadband,INF_internet,INF_mobile,INST_rule_of_law,OPEN_trade,POP_total,SRV_va_pct,URB_urban_pop,LNPGDP_constant2015,AI_Patent_Stock,AI_Patent_Stock_PC,LN_AI,LN_AI_flow,LN_AI_stock_raw,LN_HC_index,LN_AI_L1,LN_AI_L2,IS_ratio,LN_IS,AI_x_RL,AI_x_MOBILE,AI_x_BROADBAND
ARG,Argentina,2000,50883664312.6158,501732533504.12604,395646066535.875,2.65719604492188,8261723.0,21953017.67984013,537.2424399297411,-2.703838413225257,-0.7889989390570507,50.0,0.9644526909333203,1.0,0.9644526909333203,0.9641958550840145,1.0,0.9641958550840145,3.66579059535379,23.8947336198062,10631.6503639029,13.7841913064131,25.9908360111364,,7.03868,17.4342,-0.214404493570328,22.6224447777343,37213984.0,63.469313441501,89.1760271133454,9.271590714591147,50.0,1.34358095064479,0.8516800804103648,3.9318256327243257,3.9318256327243257,0.9772714483695905,,,2.4419881459105834,0.8928125214222606,-0.1826040363243205,14.848360857890382,
ARG,Argentina,2001,42914748082.9166,519560654911.83636,378202665751.853,2.68300294876099,8143391.0,21848742.065913707,508.8909314344118,-5.277228005113854,-4.40883968258542,59.0,0.9414931821728656,1.0,0.9414931821728656,0.9422497186154991,1.0,0.9422497186154991,0.806164134759348,20.833574652466,10051.9448463043,14.1562743129569,25.2434339827333,0.249835,9.78081,17.9185,-0.48775129020214103,21.8522554515453,37624825.0,65.0812573281962,89.3682951289372,9.215521411810418,91.0,2.418615900539072,1.229235761713638,4.0943445622221,4.5217885770490405,0.9869366704965506,0.8516800804103648,,2.5781459595676353,0.9470705202795512,-0.5995613287384386,22.026060996265826,0.30710611652772674
ARG,Argentina,2002,27273361805.6602,520855983971.9047,336999433710.193,2.70905995368958,8016067.0,21716006.095792573,454.8529545886054,-10.618773789796066,-10.89448482859039,36.0,0.8927733678766839,0.9999999999999996,0.8927733678766844,0.8938571347747567,1.0,0.8938571347747567,2.19895819502207,15.3318584042485,8861.56199282278,12.235247296692,30.5577370913046,0.389173,10.8821,17.2676,-0.761098086833954,41.7527243585642,38029349.0,54.7764456459146,89.5616701920513,9.089478325218936,94.24000000000001,2.478086069787837,1.2464821625459135,3.6109179126442243,4.556400021618662,0.996601694157282,1.229235761713638,0.8516800804103648,1.7925556948882053,0.5836423640762819,-0.9486951891863444,21.52375538997782,0.48509720264448075
ARG,Argentina,2003,37682562546.6549,532495747319.96436,366780211148.674,2.73537039756775,8956213.0,24498559.91451145,454.2070641039286,-0.14199984372115226,8.837040795769212,42.0,1.0156568489700868,1.0000000000000004,1.0156568489700863,1.0091369857194634,1.0,1.0091369857194634,1.29481086883944,10.7627059172487,9545.53194119994,11.4380567929249,32.6450990996503,0.67366,11.9137,20.4096,-0.777115821838379,40.6447480311085,38424282.0,51.0316942508769,89.752468256564,9.163828464434127,102.31360000000001,2.6627329041568037,1.2982095638999764,3.7612001156935624,4.637769022832486,1.0062668554310847,1.2464821625459135,1.229235761713638,1.5632268137738188,0.44675215528990947,-1.008859192168574,26.49593791537296,0.8745518548168582
ARG,Argentina,2004,50654861461.2803,556525821415.2465,399898899166.738,2.76193618774414,9254724.0,25560957.1231842,474.35690213073536,4.4362669846535585,9.029573300681527,30.0,1.0537400777047556,1.0,1.0537400777047556,1.0447419465748062,1.0,1.0447419465748062,2.5050175164097,9.68251819633223,10302.4465316428,11.114636067696,28.816922006834,1.3986,16.0367,34.8114,-0.767380177974701,40.692646108947,38815916.0,47.8369882937827,89.9397208794212,9.240136673356535,95.480704,2.459833847538211,1.241220566973877,3.4339872044851463,4.569343029801342,1.015931951079418,1.2982095638999764,1.2464821625459135,1.6600311540017372,0.5068363696632711,-0.952488059590273,43.20862564515442,1.7359710849696643
ARG,Argentina,2005,58672701569.6979,587372231914.182,435296589745.339,2.7887601852417,9525554.0,26564485.737569816,494.1623486736102,4.175220483545616,8.851659920134459,29.0,1.0484284167362237,0.9999999999999998,1.048428416736224,1.0379186235654099,1.0,1.0379186235654099,2.64935441452167,10.6534929189359,11099.7509190602,12.1418612359575,28.6263140439084,2.36307,17.7206,56.4973,-0.557991087436676,40.5512709706238,39216789.0,48.4861459282405,90.1233737736072,9.314677947324345,90.10765056,2.2976804796537524,1.1932193363795836,3.4011973816621555,4.512041780542221,1.0255971190185185,1.241220566973877,1.2982095638999764,1.693761406161832,0.5269517398884872,-0.6658057550569128,67.41367081323826,2.8196608172185025
ARG,Argentina,2006,67164293724.504,625167914042.9769,470325565798.353,2.7969753742218,9926045.0,27762903.428417426,507.6303445252021,2.7254192650940645,8.047151500430317,33.0,1.0359038199489128,0.9999999999999982,1.0359038199489146,1.02285352529257,1.0,1.02285352529257,2.38106854489628,11.9102616607561,11870.2791559298,12.4294153726307,29.2032796652469,3.99704,20.9272,79.5273,-0.57701563835144,40.4334798719151,39622115.0,48.7491333682456,90.3033726521064,9.381793005097167,90.66889635839999,2.288340649114768,1.1903830755728035,3.5263605246161616,4.518183132612458,1.028538609827042,1.1932193363795836,1.241220566973877,1.669303377122367,0.5124063999541175,-0.6868696502343916,94.66795196600101,4.758008768387519
ARG,Argentina,2007,80901540191.8901,674811058532.7181,512690850741.56,2.80521464347839,10116000.0,28377551.333427392,531.1388925838673,4.631036799160082,9.007650875047402,29.0,1.042933854776189,1.000000000000002,1.042933854776187,1.0382890755670284,1.0,1.0382890755670284,2.25129423568361,13.0985413493544,12811.9021206578,12.9893238963619,27.4152361334783,6.49728,25.9466,100.962,-0.60147225856781,40.945170618571,40016763.0,49.5083307772744,90.4796632279031,9.45812987103844,87.028093669376,2.174790941220708,1.1552417848919425,3.4011973816621555,4.477656009772877,1.0314800577861971,1.1903830755728035,1.1932193363795836,1.8058692085025294,0.5910420318310645,-0.6948458855508647,116.6355210862603,7.505929344142721
ARG,Argentina,2008,87936280775.266,729006786381.3481,533491913656.279,2.81347823143005,10279805.0,28922007.590845786,531.3409744164835,0.03804689045328047,4.057233103464242,19.0,0.996341289737871,0.9999999999999989,0.9963412897378721,0.9924690995545317,1.0,0.9924690995545317,2.68990096507093,12.313946714342,13197.3570267029,13.6335132595631,26.2724599395946,7.70515,28.1126,115.052,-0.699731647968292,40.4026733790382,40424148.0,50.2551922042782,90.6521912139817,9.487771863276931,74.69797994840064,1.8478553944637408,1.0465662178448436,2.995732273553991,4.326751475125671,1.0344215226762814,1.1552417848919425,1.1903830755728035,1.9128468487467287,0.6485926290968498,-0.732315504320515,120.40953649548496,8.063949693427196
ARG,Argentina,2009,68086553749.1582,760643000811.439,501917060966.235,2.82176613807678,10401878.0,29351667.11280582,487.81747057533437,-8.191256826926718,-5.918525076349557,10.0,0.9182270364499269,1.000000000000001,0.9182270364499259,0.9153848450806766,1.0,0.9153848450806766,1.20643922647566,12.4162075416805,12285.3784651865,15.903896746884,25.2842047993735,8.59391,34.0,128.462,-0.694468080997467,34.0571269054879,40854831.0,53.3060010032753,90.8209023233265,9.416165091577739,57.806707166976416,1.4149295383690712,0.8816701100201193,2.3978952727983707,4.074255915864968,1.0373629790103744,1.0465662178448436,1.1552417848919425,2.1082727903151666,0.745869029477113,-0.6122917493784978,113.26110567340456,7.576993575203002
ARG,Argentina,2010,85962395051.7292,808573245822.5962,552738161802.463,2.83007836341858,10531926.0,29806175.897725593,520.6173081569071,6.72379313165814,10.125398156100317,24.0,1.0644570954821846,0.9999999999999991,1.0644570954821855,1.060713227560439,1.0,1.060713227560439,2.67516171886535,12.6901062454749,13387.1553748458,15.1637178886417,25.2587762576722,9.75627,45.0,138.252,-0.59809422492981,34.9710132635696,41288694.0,51.4951802052167,90.9930051940977,9.502050972116228,60.996292586864904,1.477312229514087,0.9071741940426462,3.2188758248682006,4.127074586271131,1.0403044015256935,0.8816701100201193,1.0465662178448436,2.038704475620641,0.7123145451492185,-0.5425756464622615,125.41864667478393,8.85063637411245
ARG,Argentina,2011,100900907666.981,869045491198.4473,585924294024.785,2.8585422039032,10765734.0,30774304.994995613,527.052966168023,1.2361590577730563,6.003951692805698,58.0,1.016285476897563,1.0000000000000004,1.0162854768975627,1.0082054624679848,1.0,1.0082054624679848,2.04465997872008,14.0087151168124,14040.6189124444,15.6889565165983,25.2126976058843,10.956,51.0,145.511,-0.563123285770416,35.2061549999644,41730660.0,51.8119007511102,91.1072286738406,9.54970975869115,97.03762725559355,2.3253317166705143,1.2015694335438643,4.07753744390572,4.585351356567712,1.0503117759659493,0.9071741940426462,0.8816701100201193,2.0549923519099362,0.7202721262429446,-0.6766317274985184,174.84156984440122,13.164394713906576
ARG,Argentina,2012,93761965457.9418,919355182096.4667,579910247223.428,2.88729238510132,10843566.0,31308545.53914358,505.77893523294074,-4.036412334372508,-1.0264204544320643,109.0,0.9591048718777181,1.0000000000000004,0.9591048718777176,0.9563357331518284,1.0,0.9563357331518284,2.80667189982932,15.2128150156924,13754.4254235596,16.6454378106252,24.4290570649122,12.2115,55.8,152.574,-0.623034238815308,30.5265423717108,42161721.0,53.6581179163924,91.2041217246797,9.529115900298596,171.10408144357987,4.058280292770304,1.621026562443953,4.700480365792417,5.148099418471322,1.0603191719992802,1.2015694335438643,0.9071741940426462,2.196487476934274,0.7868594830444756,-1.0099550504316634,247.3265067383237,19.795165867284332
ARG,Argentina,2013,95955516955.605,969342939947.2483,593858966307.156,2.91633176803589,10942848.0,31912975.255188003,502.1546260072694,-0.7165797096714055,2.4053237807942773,91.0,0.9935938698979151,0.9999999999999998,0.9935938698979153,0.9892637484115963,1.0,0.9892637484115963,1.77920553648531,15.7290920133564,13946.0950832252,16.8062377968797,24.0058814423072,14.6798,59.9,158.191,-0.656328618526459,29.3339290021037,42582455.0,53.9190936666216,91.3014507719473,9.54295482571449,200.5066121238911,4.708667269745042,1.7419855935784825,4.5217885770490405,5.305822195358979,1.0703265827211235,1.621026562443953,1.2015694335438643,2.2460784785680192,0.809185797187566,-1.143314998126359,275.56644303377374,25.572000116613406
ARG,Argentina,2014,89473196447.266,1010348989397.1519,578937574935.696,2.9456627368927,11047223.0,32541393.137243986,476.41261370126085,-5.126311891356727,-2.5126153208137825,81.0,0.9515464953628877,1.0,0.9515464953628877,0.9473742102737656,1.0,0.9473742102737656,0.962406650325519,13.8237692455151,13456.1319159151,16.9498757371062,24.2773944936602,15.153,64.7,142.325,-0.866627335548401,28.4067936452275,43024071.0,52.9405434663365,91.3975345472954,9.507190185666095,209.3242317592903,4.865281850229615,1.7690505372559062,4.406719247264253,5.348650300794002,1.0803338297804246,1.7419855935784825,1.621026562443953,2.1806517779394077,0.7796238128213232,-1.5331075535525533,251.78011771494684,26.80642279103875
ARG,Argentina,2015,92571210122.056,1052402750049.3502,594749285413.212,2.97528910636902,11220887.666666666,33385384.838423822,474.5244412876411,-0.3963313227478449,2.731159828289309,37.0,1.0017367772287205,1.0,1.0017367772287205,0.9953857064702047,1.0,0.9953857064702047,1.97713461784426,14.4142330417064,13679.6264980954,18.098379759087,23.153056135905,15.7689,68.0431,142.241,-0.74863588809967,22.4862260889792,43477012.0,55.8149012843362,91.4923019108628,9.52366288803301,170.9675083259458,3.932365644767534,1.5958187197737645,3.6375861597263857,5.14730555388693,1.090341212887493,1.7690505372559062,1.7419855935784825,2.410692608211677,0.8799140955136203,-1.1946871645239105,226.99085051934006,25.164305810240517
ARG,Argentina,2016,87222011290.2295,1087004623837.1122,582376550428.09,3.00521349906921,11394552.333333334,34243062.4879839,451.9087014577957,-4.765979971121547,-2.0803278437780515,78.0,0.9590780707562084,1.0000000000000002,0.9590780707562082,0.9530995924837564,1.0,0.9530995924837564,0.584748941173009,13.6676334273514,13265.8860639123,17.6545781863509,22.0541072112108,16.5185,70.969,145.147,-0.320159524679184,26.0938878488799,43900313.0,56.1222358547004,91.5856817228217,9.492951061469718,187.4192053286053,4.269199751004174,1.6618785011185757,4.3694478524670215,5.238669296058317,1.10034861340655,1.5958187197737645,1.7690505372559062,2.544752109764466,0.9340332424154821,-0.532066230992678,241.21667880185788,27.451740020727193
ARG,Argentina,2017,98892817130.2083,1131547209775.4648,598790850843.677,3.03543877601624,11568217.0,35114614.45117026,450.7363472072254,-0.25942280969329934,2.8185029777592074,60.0,1.0028320524140595,1.0,1.0028320524140595,0.9965363856759413,1.0,0.9965363856759413,1.78936504083806,15.9584973420583,13520.1129846159,17.6968939223042,21.782123219335,17.7082,74.2949,139.758,-0.237312033772469,25.2896011376779,44288894.0,57.3499373815692,91.6776028433824,9.511933706412325,179.94829141030738,4.063056788239223,1.6219704092470546,4.110873864173311,5.198211307634735,1.1103559860606984,1.6618785011185757,1.5958187197737645,2.632890136745819,0.968082154138823,-0.3849130965371824,226.68334045554988,28.722176401028694
ARG,Argentina,2018,93210783977.9137,1168180633264.6052,583118120294.002,3.06596803665161,11744699.0,36008871.73409413,427.03340815449224,-5.258714811795673,-2.617396462820476,70.0,0.953947213673865,1.0,0.953947213673865,0.9479027905706043,1.0,0.9479027905706043,2.23253157689253,15.2180632933953,13058.3285449954,15.8050971558947,23.7195923321304,18.9759,77.7,131.224,-0.219330430030823,30.7625359549926,44654882.0,56.3697502721818,91.7679941327998,9.477181411867754,185.1669065025967,4.146621784883379,1.6383405353367486,4.2626798770413155,5.226643618126421,1.1203633552979584,1.6219704092470546,1.6618785011185757,2.3765058641342547,0.8656312846195895,-0.35933793415233783,214.9895984090295,31.088986164496607
ARG,Argentina,2019,78342216931.0375,1188113818532.4126,571450737224.442,3.09680438041687,12041135.0,37289039.61319089,406.6780215264636,-4.766696525219971,-2.000861002857768,56.0,0.9571472199526146,1.0,0.9571472199526146,0.9542468773172282,1.0,0.9542468773172282,1.48500687570697,14.4776292447323,12706.3978108968,16.4432415862976,23.1578477391434,19.5519,79.947,125.303,-0.427360445261002,32.6306150458499,44973465.0,55.4388171093669,91.8567844513802,9.449860910237419,174.5068201616619,3.880217371769373,1.5851897622683915,4.04305126783455,5.1676779034708495,1.1303707347781278,1.6383405353367486,1.6219704092470546,2.3939537790318663,0.8729462999451658,-0.6774474026262016,198.62903278151626,30.993471712895364
ARG,Argentina,2020,68106055855.5898,1196814183461.3818,514874343768.066,3.12795066833496,10936539.0,34208954.47432136,386.5458599281213,-4.950393316751267,-9.90048481364636,91.0,0.9380368504987601,1.0,0.9380368504987601,0.9395406701513546,1.0,0.9395406701513546,1.26616924308721,15.746489768328,11393.0505957877,16.8730073837365,22.4088763711802,21.1798,85.5144,121.181,-0.486265957355499,30.203698807416,45191965.0,54.8578674557962,91.9439026594897,9.340758851642148,202.68436490346363,4.484964637042529,1.7020106464944738,4.5217885770490405,5.316571564781081,1.1403780515660413,1.5851897622683915,1.6383405353367486,2.448041862837366,0.8952884653361194,-0.827629836446887,206.2513521528468,36.04824509062365
ARG,Argentina,2021,91273371142.4809,1228246845430.7937,568636554720.066,3.13874697685242,12241621.0,38423350.9055231,392.281557229426,1.483833587655381,10.441811988250516,47.0,1.0292127416593104,1.0,1.0292127416593104,1.0260674031612502,1.0,1.0260674031612502,1.36838083162438,13.2644289814535,12549.2811699342,15.9158179423023,23.4994644263761,23.15,87.1507,130.353,-0.477947890758514,33.078689567466,45312281.0,52.8340319497207,92.0292776175651,9.437418665623444,176.71799353821672,3.9000021547848522,1.589235644868495,3.871201010907891,5.180197987987189,1.1438236683199132,1.7020106464944738,1.5851897622683915,2.248307918474053,0.8101778970614726,-0.7595718243831441,207.16163401554294,36.790805178705654
ARG,Argentina,2022,100814337082.887,1267648840242.1409,602872713790.916,3.14963102340698,12881228.0,40571115.32837865,397.04065194066794,1.2131833943084258,6.020745375348602,33.0,1.0206553502462543,1.0,1.0206553502462543,1.0143103085934146,1.0,1.0143103085934146,2.3984601182853,12.8891009335255,13276.8232110189,15.7026090548718,24.1118636272911,24.6832,88.3754,131.484,-0.482351809740067,31.5801792606256,45407904.0,53.5341356683759,92.112838186126,9.493775178375971,146.09951586445868,3.217490854994291,1.439240367088105,3.5263605246161616,4.991109336401831,1.1472853105502965,1.589235644868495,1.7020106464944738,2.2202404797853577,0.7976155142451812,-0.6942201957159058,189.23708042621243,35.52505782890911
