Country,CountryName,Year,INVESTMENT,CAPITAL,GDP,HC_index,LABOR,EFFECTIVE_LABOR,TFP,TFP_Growth,GDP_Growth,AI_Publications,TFP_Change,Efficiency_Change,Technical_Change,FDI_inflows,FIN_credit_private,GDPPC_constant2015,GOV_consumption,INF_broadband,INF_internet,INF_mobile,INST_rule_of_law,OPEN_trade,POP_total,URB_urban_pop,LNPGDP_constant2015,LN_AI_pub,LN_HC_index,LN_AI_pub_L1
ARG,Argentina,2016,87222011290.2295,1290017758969.4402,582376550428.09,3.00521349906921,11394552.333333334,34243062.4879839,425.62114876654795,-4.3103822707417745,-2.0803278437780515,216.0,0.955579006413166,1.0,0.955579006413166,0.584748941173009,13.6676334273514,13265.8860639123,17.6545781863509,16.5185,70.969,145.147,-0.320159524679184,26.0938878488799,43900313.0,91.5856817228217,9.492951061469718,5.37989735354046,1.10034861340655,
ARG,Argentina,2017,98892817130.2083,1324409688151.1763,598790850843.677,3.03543877601624,11568217.0,35114614.45117026,426.579711319551,0.22521497246577038,2.8185029777592074,226.0,1.0039613336575692,1.0,1.0039613336575692,1.78936504083806,15.9584973420583,13520.1129846159,17.6968939223042,17.7082,74.2949,139.758,-0.237312033772469,25.2896011376779,44288894.0,91.6776028433824,9.511933706412325,5.424950017481403,1.1103559860606984,5.37989735354046
ARG,Argentina,2018,93210783977.9137,1351399987721.5312,583118120294.002,3.06596803665161,11744699.0,36008871.73409413,405.80368322884885,-4.87037417378221,-2.617396462820476,279.0,0.9502972131080958,1.0,0.9502972131080958,2.23253157689253,15.2180632933953,13058.3285449954,15.8050971558947,18.9759,77.7,131.224,-0.219330430030823,30.7625359549926,44654882.0,91.7679941327998,9.477181411867754,5.634789603169249,1.1203633552979584,5.424950017481403
ARG,Argentina,2019,78342216931.0375,1362172205266.4922,571450737224.442,3.09680438041687,12041135.0,37289039.61319089,387.6768013215281,-4.466909162354316,-2.000861002857768,251.0,0.9573845387622691,1.0,0.9573845387622691,1.48500687570697,14.4776292447323,12706.3978108968,16.4432415862976,19.5519,79.947,125.303,-0.427360445261002,32.6306150458499,44973465.0,91.8567844513802,9.449860910237419,5.529429087511423,1.1303707347781278,5.634789603169249
ARG,Argentina,2020,68106055855.5898,1362169650858.7573,514874343768.066,3.12795066833496,10936539.0,34208954.47432136,369.427703958136,-4.707296722729815,-9.90048481364636,337.0,0.9439980109397257,1.0,0.9439980109397257,1.26616924308721,15.746489768328,11393.0505957877,16.8730073837365,21.1798,85.5144,121.181,-0.486265957355499,30.203698807416,45191965.0,91.9439026594897,9.340758851642148,5.823045895483019,1.1403780515660413,5.529429087511423
ARG,Argentina,2021,91273371142.4809,1385334539458.3003,568636554720.066,3.13874697685242,12241621.0,38423350.9055231,376.10035116756,1.8062119158719359,10.441811988250516,316.0,1.029190154760743,1.0,1.029190154760743,1.36838083162438,13.2644289814535,12549.2811699342,15.9158179423023,23.15,87.1507,130.353,-0.477947890758514,33.078689567466,45312281.0,92.0292776175651,9.437418665623444,5.75890177387728,1.1438236683199132,5.823045895483019
ARG,Argentina,2022,100814337082.887,1416882149568.2722,602872713790.916,3.14963102340698,12881228.0,40571115.32837865,381.871992625021,1.5346014539852515,6.020745375348602,231.0,1.0181043148255713,1.0,1.0181043148255713,2.3984601182853,12.8891009335255,13276.8232110189,15.7026090548718,24.6832,88.3754,131.484,-0.482351809740067,31.5801792606256,45407904.0,92.112838186126,9.493775178375971,5.44673737166631,1.1472853105502965,5.75890177387728
ARG,Argentina,2023,98847542616.3413,1444885584706.2,591684674129.454,3.16060328483582,13293498.0,42015473.4457584,363.8585544498786,-4.717140435284728,-1.8557880304634566,290.0,0.9541223705819165,1.0,0.9541223705819165,3.81190879856952,15.3570823376105,12993.0928872416,16.3015627890885,25.3581,89.229,137.706,-0.410826534032822,26.6769512482215,45538401.0,92.1945132257907,9.472173178879085,5.673323267171493,1.1507629222999955,5.44673737166631
ARG,Argentina,2024,81821414740.2399,1454462720211.13,583738758865.705,,13335384.0,,,0.0,-1.3429307215773068,283.0,,,,1.82409522925391,15.1176778381075,12774.3506596628,14.9167656550539,25.3581,89.6672,137.706,-0.410826534032822,27.929760849367,45696159.0,92.2742315972952,9.455194584790855,5.648974238161206,,5.673323267171493
BOL,Bolivia,2016,7293345003.48168,58140750631.48073,34407300587.1524,2.88119912147522,4851473.0,13978059.74546075,133.21155545353574,1.2897513461975763,4.263920863821102,2.0,0.9243605136068469,1.0,0.9243605136068469,0.988080149462259,57.4086457676424,3077.57057564766,17.4582521973373,2.57235,39.6975,90.3953,-1.23873949050903,56.4010345026573,11180020.0,68.7446327876947,8.031895790581249,1.0986122886681098,1.0582065691167464,
