window,treatment,var,coef,se,t,n
2000-24 full,LN_AI,LN_AI,-0.01572862819775523,0.016320362465875447,-0.9637425780611499,225
2000-24 full,LN_AI,LN_AI,-0.0032121046703406267,0.013407175751767133,-0.2395810072018527,225
2000-24 full,LN_AI,AI x RuleOfLaw,-0.02955163951218221,0.01623159951474474,-1.8206239924375651,225
2000-24 full,LN_AI,LN_AI,-0.008936546744808892,0.019676952117070483,-0.45416315960113085,215
2000-24 full,LN_AI,AI x Broadband,-0.02887234901213348,0.023130137903176765,-1.2482566741708905,215
2016-24,LN_AI,LN_AI,0.005876377015727658,0.00858975094445727,0.6841149474210918,81
2016-24,LN_AI,LN_AI,0.005058437583753418,0.013327356465674317,0.3795529591169736,81
2016-24,LN_AI,AI x RuleOfLaw,-0.0014726401907680065,0.01567122214131852,-0.0939709856377611,81
2016-24,LN_AI,LN_AI,-0.001427884631299847,0.008284470265124426,-0.17235678149644507,81
2016-24,LN_AI,AI x Broadband,0.008340454648426367,0.007127717837492642,1.1701437737272071,81
2017-24,LN_AI,LN_AI,0.004412823126710335,0.008339108971212914,0.5291720184906631,72
2017-24,LN_AI,LN_AI,0.003559669196714764,0.00988269685705811,0.3601920860470883,72
2017-24,LN_AI,AI x RuleOfLaw,-0.0026373261575002964,0.012880280822075,-0.2047568833266654,72
2017-24,LN_AI,LN_AI,-0.00048095348356231443,0.007674215224675091,-0.06267135719830909,72
2017-24,LN_AI,AI x Broadband,0.005610587445787821,0.008467144363048861,0.6626304223975169,72
2017-24,AI_COMPOSITE,AI_COMPOSITE,0.009596518126158823,0.010978925768270158,0.8740853457533535,72
2017-24,AI_COMPOSITE,AI_COMPOSITE,0.008027738078258692,0.010843804398693193,0.7403064259648698,72
2017-24,AI_COMPOSITE,AI x RuleOfLaw,-0.004235665525613269,0.005548354772778258,-0.7634092806023506,72
2017-24,AI_COMPOSITE,AI_COMPOSITE,0.009020756771547005,0.010858013887170321,0.830792524791832,72
2017-24,AI_COMPOSITE,AI x Broadband,0.0016935579158620928,0.004433186775744087,0.38201817372737207,72
