Country,Year,CountryName,GDP,INVESTMENT,LABOR,HC_index,LABOR_ILOSTAT,CAPITAL,TFP,TFP_Growth,GDP_Growth
ARG,1992,Argentina,313120244489.89,40772703492.6653,4495566.0,2.57097387313843,4495566.0,467670728149.20386,661.2394482472674,,
ARG,1993,Argentina,338817957426.035,46327225414.1258,4609059.0,2.58705997467041,4609059.0,490614417155.86945,689.5013422310013,4.274078635000844,8.206979072212196
ARG,1994,Argentina,358592053441.545,52661207597.975,4386273.0,2.60324645042419,4386273.0,518744903896.0509,736.0709919406157,6.754105736608174,5.836200703685179
ARG,1995,Argentina,348389357874.283,45770986408.9843,15243917.0,2.61953449249268,,538578645110.23267,312.80179174936455,-57.50385558264187,-2.845209610570787
ARG,1996,Argentina,367643757074.802,49836963889.7747,7369830.0,2.62702393531799,7369830.0,561486676744.4957,520.7861325026323,66.4907766640663,5.526689827152231
ARG,1997,Argentina,397463514160.866,58639598832.0611,7858448.0,2.63453459739685,7858448.0,592051941739.332,529.1086799339909,1.5980739332217997,8.111046770745745
ARG,1998,Argentina,412766570325.764,62476955246.5045,8278638.000000001,2.64206695556641,8278638.000000001,624926299898.8699,520.2686691808999,-1.6707362945158621,3.8501788515622914
ARG,1999,Argentina,398792535409.293,54598702029.7055,8285155.000000001,2.64962077140808,8285155.000000001,648278686933.6318,495.0688235656114,-4.843621595542668,-3.3854570406325224
ARG,2000,Argentina,395646066535.875,50883664312.6158,8261723.0,2.65719604492188,8261723.0,666748416899.566,486.34998533191583,-1.7611365973119186,-0.7889989390570507
ARG,2001,Argentina,378202665751.853,42914748082.9166,8143391.0,2.68300294876099,8143391.0,676325744137.5044,464.0265493495404,-4.589994172024192,-4.40883968258542
ARG,2002,Argentina,336999433710.193,27273361805.6602,8016067.0,2.70905995368958,8016067.0,669782818736.2893,416.5290534572311,-10.235943602556786,-10.89448482859039
