Country,Year,CountryName,GDP,INVESTMENT,LABOR,HC_index,LABOR_ILOSTAT,CAPITAL,EFFECTIVE_LABOR,TFP,TFP_Growth,GDP_Growth
ARG,1992,Argentina,313120244489.89,40772703492.6653,4495566.0,2.57097387313843,4495566.0,218935724503.31815,11557982.730969438,862.4362433232474,,
ARG,1993,Argentina,338817957426.035,46327225414.1258,4609059.0,2.58705997467041,4609059.0,254316163692.278,11923912.059794426,867.7873915910747,0.6204688531186386,8.206979072212196
ARG,1994,Argentina,358592053441.545,52661207597.975,4386273.0,2.60324645042419,4386273.0,294261563105.6391,11418549.617841464,897.6288651735896,3.438800087634486,5.836200703685179
ARG,1995,Argentina,348389357874.283,45770986408.9843,5878051.5,2.61953449249268,5878051.5,325319471359.34143,15397758.652898336,693.280491753289,-22.765352290757978,-2.845209610570787
ARG,1996,Argentina,367643757074.802,49836963889.7747,7369830.0,2.62702393531799,7369830.0,358890461681.14905,19360719.809224583,609.1041382577798,-12.14174558447898,5.526689827152231
ARG,1997,Argentina,397463514160.866,58639598832.0611,7858448.0,2.63453459739685,7858448.0,399585537429.15265,20703353.137844082,607.1659429381881,-0.3182042606270197,8.111046770745745
ARG,1998,Argentina,412766570325.764,62476955246.5045,8278638.000000001,2.64206695556641,8278638.000000001,442083215804.1995,21872715.896896396,587.274771687269,-3.2760683437977556,3.8501788515622914
ARG,1999,Argentina,398792535409.293,54598702029.7055,8285155.000000001,2.64962077140808,8285155.000000001,474577757043.695,21952518.782335516,552.172286314291,-5.9771825839081805,-3.3854570406325224
ARG,2000,Argentina,395646066535.875,50883664312.6158,8261723.0,2.65719604492188,8261723.0,501732533504.12604,21953017.67984013,537.2424399297411,-2.703838413225257,-0.7889989390570507
ARG,2001,Argentina,378202665751.853,42914748082.9166,8143391.0,2.68300294876099,8143391.0,519560654911.83636,21848742.065913707,508.8909314344118,-5.277228005113854,-4.40883968258542
ARG,2002,Argentina,336999433710.193,27273361805.6602,8016067.0,2.70905995368958,8016067.0,520855983971.9047,21716006.095792573,454.8529545886054,-10.618773789796066,-10.89448482859039
ARG,2003,Argentina,366780211148.674,37682562546.6549,8956213.0,2.73537039756775,8956213.0,532495747319.96436,24498559.91451145,454.2070641039286,-0.14199984372115226,8.837040795769212
ARG,2004,Argentina,399898899166.738,50654861461.2803,9254724.0,2.76193618774414,9254724.0,556525821415.2465,25560957.1231842,474.35690213073536,4.4362669846535585,9.029573300681527
ARG,2005,Argentina,435296589745.339,58672701569.6979,9525554.0,2.7887601852417,9525554.0,587372231914.182,26564485.737569816,494.1623486736102,4.175220483545616,8.851659920134459
