cik,name,country,form,filing_date,report_date,fy,accession,primary_doc
887153,"GRUPO SIMEC, S.A.B. de C.V.",Mexico,20-F,2018-05-16,2017-12-31,2017,0000891092-18-004329,e78894_20f.htm
887153,"GRUPO SIMEC, S.A.B. de C.V.",Mexico,20-F,2019-08-05,2018-12-31,2018,0000891092-19-008252,e4825_20f.htm
887153,"GRUPO SIMEC, S.A.B. de C.V.",Mexico,20-F,2020-06-05,2019-12-31,2019,0000891092-20-007459,e9568-20f.htm
887153,"GRUPO SIMEC, S.A.B. de C.V.",Mexico,20-F,2021-05-24,2020-12-31,2020,0000891092-21-004699,e12269-20f.htm
887153,"GRUPO SIMEC, S.A.B. de C.V.",Mexico,20-F,2022-05-18,2021-12-31,2021,0001213900-22-027975,f20f2021_gruposimec.htm
887153,"GRUPO SIMEC, S.A.B. de C.V.",Mexico,20-F,2023-05-01,2022-12-31,2022,0001213900-23-034743,f20f2022_gruposimec.htm
887153,"GRUPO SIMEC, S.A.B. de C.V.",Mexico,20-F,2024-11-18,2023-12-31,2023,0001213900-24-099265,ea0217239-20f_grupo.htm
887153,"GRUPO SIMEC, S.A.B. de C.V.",Mexico,20-F,2025-05-15,2024-12-31,2024,0001213900-25-044060,ea0241763-20f_grupo.htm
888746,UNITED BREWERIES CO INC,Chile,20-F,2018-04-27,2017-12-31,2017,0001292814-18-001412,ccuform20f_2017.htm
888746,UNITED BREWERIES CO INC,Chile,20-F,2019-04-26,2018-12-31,2018,0001292814-19-001450,ccuform20f_2018.htm
888746,UNITED BREWERIES CO INC,Chile,20-F,2020-04-28,2019-12-31,2019,0001292814-20-001470,ccuform20f_2019.htm
888746,UNITED BREWERIES CO INC,Chile,20-F,2021-04-23,2020-12-31,2020,0001292814-21-001707,ccuform20f_2020.htm
888746,UNITED BREWERIES CO INC,Chile,20-F,2022-04-28,2021-12-31,2021,0001575872-22-000347,ccu-20211231.htm
888746,UNITED BREWERIES CO INC,Chile,20-F,2023-04-28,2022-12-31,2022,0001575872-23-000643,ccu-20221231.htm
888746,UNITED BREWERIES CO INC,Chile,20-F,2024-04-30,2023-12-31,2023,0001292814-24-001713,ccuform20f_2023.htm
888746,UNITED BREWERIES CO INC,Chile,20-F,2025-04-29,2024-12-31,2024,0001292814-25-001738,ccuform20f_2024.htm
888746,UNITED BREWERIES CO INC,Chile,20-F,2026-04-29,2025-12-31,2025,0001292814-26-002680,ccuform20f_2025.htm
904851,YPF SOCIEDAD ANONIMA,Argentina,20-F,2018-04-24,2017-12-31,2017,0001193125-18-127245,d462446d20f.htm
904851,YPF SOCIEDAD ANONIMA,Argentina,20-F,2019-04-04,2018-12-31,2018,0001193125-19-096821,d660305d20f.htm
904851,YPF SOCIEDAD ANONIMA,Argentina,20-F,2020-04-24,2019-12-31,2019,0001193125-20-119222,d872797d20f.htm
904851,YPF SOCIEDAD ANONIMA,Argentina,20-F,2021-04-22,2020-12-31,2020,0001193125-21-125294,d117762d20f.htm
904851,YPF SOCIEDAD ANONIMA,Argentina,20-F,2022-04-20,2021-12-31,2021,0001193125-22-111088,d284779d20f.htm
904851,YPF SOCIEDAD ANONIMA,Argentina,20-F,2023-04-11,2022-12-31,2022,0001193125-23-097822,d357382d20f.htm
904851,YPF SOCIEDAD ANONIMA,Argentina,20-F,2024-04-25,2023-12-31,2023,0001193125-24-114066,d804823d20f.htm
904851,YPF SOCIEDAD ANONIMA,Argentina,20-F,2025-03-28,2024-12-31,2024,0001193125-25-067155,d866694d20f.htm
904851,YPF SOCIEDAD ANONIMA,Argentina,20-F,2026-03-26,2025-12-31,2025,0001193125-26-126363,d95578d20f.htm
909037,CHEMICAL & MINING CO OF CHILE INC,Chile,20-F,2018-04-19,2017-12-31,2017,0001144204-18-021258,tv491019_20f.htm
909037,CHEMICAL & MINING CO OF CHILE INC,Chile,20-F,2019-04-18,2018-12-31,2018,0001144204-19-020107,tv518701_20f.htm
909037,CHEMICAL & MINING CO OF CHILE INC,Chile,20-F,2020-04-23,2019-12-31,2019,0001104659-20-049813,tm2015977d1_20f.htm
909037,CHEMICAL & MINING CO OF CHILE INC,Chile,20-F,2021-03-16,2020-12-31,2020,0001104659-21-036513,tm219491d1_20f.htm
909037,CHEMICAL & MINING CO OF CHILE INC,Chile,20-F,2022-04-26,2021-12-31,2021,0001575872-22-000320,sqm-20211231.htm
909037,CHEMICAL & MINING CO OF CHILE INC,Chile,20-F,2023-04-26,2022-12-31,2022,0001558370-23-006738,sqm-20221231x20f.htm
909037,CHEMICAL & MINING CO OF CHILE INC,Chile,20-F,2024-04-30,2023-12-31,2023,0000909037-24-000033,sqm-20231231.htm
909037,CHEMICAL & MINING CO OF CHILE INC,Chile,20-F,2025-04-24,2024-12-31,2024,0000909037-25-000020,sqm-20241231.htm
909037,CHEMICAL & MINING CO OF CHILE INC,Chile,20-F,2026-04-22,2025-12-31,2025,0000909037-26-000023,sqm-20251231.htm
909327,Suzano S.A.,Brazil,20-F,2019-04-30,2018-12-31,2018,0001104659-19-025283,a19-5355_120f.htm
909327,Suzano S.A.,Brazil,20-F,2020-03-31,2019-12-31,2019,0001104659-20-041281,tm205933d1_20f.htm
909327,Suzano S.A.,Brazil,20-F,2021-04-29,2020-12-31,2020,0001104659-21-057773,tm219075d1_20f.htm
909327,Suzano S.A.,Brazil,20-F,2022-04-29,2021-12-31,2021,0001104659-22-053794,suz-20211231x20f.htm
909327,Suzano S.A.,Brazil,20-F,2023-04-27,2022-12-31,2022,0001104659-23-051482,suz-20221231x20f.htm
909327,Suzano S.A.,Brazil,20-F,2024-04-26,2023-12-31,2023,0001628280-24-018426,suz-20231231.htm
909327,Suzano S.A.,Brazil,20-F,2025-04-28,2024-12-31,2024,0001628280-25-020368,suz-20241231.htm
909327,Suzano S.A.,Brazil,20-F,2026-03-24,2025-12-31,2025,0000909327-26-000045,suz-20251231.htm
910631,COCA COLA FEMSA SAB DE CV,Mexico,20-F,2018-04-18,2017-12-31,2017,0001193125-18-121141,d533850d20f.htm
910631,COCA COLA FEMSA SAB DE CV,Mexico,20-F,2019-04-12,2018-12-31,2018,0001193125-19-105297,d717356d20f.htm
910631,COCA COLA FEMSA SAB DE CV,Mexico,20-F,2020-04-17,2019-12-31,2019,0001193125-20-110807,d828052d20f.htm
910631,COCA COLA FEMSA SAB DE CV,Mexico,20-F,2021-04-08,2020-12-31,2020,0001628280-21-006710,kof-20201231.htm
910631,COCA COLA FEMSA SAB DE CV,Mexico,20-F,2022-04-11,2021-12-31,2021,0001628280-22-008868,kof-20211231.htm
910631,COCA COLA FEMSA SAB DE CV,Mexico,20-F,2023-04-17,2022-12-31,2022,0001628280-23-011683,kof-20221231.htm
