cik,name,country,fy,form,total_words,ai_core,ai_applied,ai_total,ai_bare_diag,risk_section_found,ai_in_risk,ai_nonrisk,exposure_nonrisk_per10k,exposure_total_per10k
887153,"GRUPO SIMEC, S.A.B. de C.V.",Mexico,2017,20-F,113566,0,0,0,0,1,0,0,0.0,0.0
887153,"GRUPO SIMEC, S.A.B. de C.V.",Mexico,2018,20-F,118638,0,0,0,0,1,0,0,0.0,0.0
887153,"GRUPO SIMEC, S.A.B. de C.V.",Mexico,2019,20-F,102317,0,0,0,0,1,0,0,0.0,0.0
887153,"GRUPO SIMEC, S.A.B. de C.V.",Mexico,2020,20-F,103328,0,0,0,0,1,0,0,0.0,0.0
887153,"GRUPO SIMEC, S.A.B. de C.V.",Mexico,2021,20-F,102431,0,0,0,0,1,0,0,0.0,0.0
887153,"GRUPO SIMEC, S.A.B. de C.V.",Mexico,2022,20-F,98949,0,0,0,0,1,0,0,0.0,0.0
887153,"GRUPO SIMEC, S.A.B. de C.V.",Mexico,2023,20-F,94818,0,0,0,0,1,0,0,0.0,0.0
887153,"GRUPO SIMEC, S.A.B. de C.V.",Mexico,2024,20-F,96331,3,0,3,0,0,0,3,0.3114,0.3114
888746,UNITED BREWERIES CO INC,Chile,2017,20-F,141601,0,0,0,0,1,0,0,0.0,0.0
888746,UNITED BREWERIES CO INC,Chile,2018,20-F,156384,0,0,0,0,1,0,0,0.0,0.0
888746,UNITED BREWERIES CO INC,Chile,2019,20-F,151880,1,0,1,0,1,0,1,0.0658,0.0658
888746,UNITED BREWERIES CO INC,Chile,2020,20-F,161061,1,0,1,0,1,0,1,0.0621,0.0621
888746,UNITED BREWERIES CO INC,Chile,2021,20-F,201267,1,0,1,0,1,0,1,0.0497,0.0497
888746,UNITED BREWERIES CO INC,Chile,2022,20-F,207482,1,0,1,0,1,1,0,0.0,0.0482
888746,UNITED BREWERIES CO INC,Chile,2023,20-F,211860,2,0,2,1,1,1,1,0.0472,0.0944
888746,UNITED BREWERIES CO INC,Chile,2024,20-F,212474,2,0,2,1,1,1,1,0.0471,0.0941
888746,UNITED BREWERIES CO INC,Chile,2025,20-F,213918,5,4,9,7,1,3,6,0.2805,0.4207
904851,YPF SOCIEDAD ANONIMA,Argentina,2017,20-F,238210,0,0,0,0,1,0,0,0.0,0.0
904851,YPF SOCIEDAD ANONIMA,Argentina,2018,20-F,264705,0,0,0,0,1,0,0,0.0,0.0
904851,YPF SOCIEDAD ANONIMA,Argentina,2019,20-F,283112,0,0,0,1,1,0,0,0.0,0.0
904851,YPF SOCIEDAD ANONIMA,Argentina,2020,20-F,301674,0,0,0,0,1,0,0,0.0,0.0
904851,YPF SOCIEDAD ANONIMA,Argentina,2021,20-F,221802,0,0,0,0,1,0,0,0.0,0.0
904851,YPF SOCIEDAD ANONIMA,Argentina,2022,20-F,215889,0,0,0,0,1,0,0,0.0,0.0
904851,YPF SOCIEDAD ANONIMA,Argentina,2023,20-F,212138,1,0,1,0,1,0,1,0.0471,0.0471
904851,YPF SOCIEDAD ANONIMA,Argentina,2024,20-F,217959,2,2,4,6,1,0,4,0.1835,0.1835
904851,YPF SOCIEDAD ANONIMA,Argentina,2025,20-F,221716,1,3,4,11,0,0,4,0.1804,0.1804
909037,CHEMICAL & MINING CO OF CHILE INC,Chile,2017,20-F,151631,0,0,0,0,1,0,0,0.0,0.0
909037,CHEMICAL & MINING CO OF CHILE INC,Chile,2018,20-F,155831,0,0,0,0,1,0,0,0.0,0.0
909037,CHEMICAL & MINING CO OF CHILE INC,Chile,2019,20-F,147943,0,0,0,0,1,0,0,0.0,0.0
909037,CHEMICAL & MINING CO OF CHILE INC,Chile,2020,20-F,144057,0,0,0,0,1,0,0,0.0,0.0
909037,CHEMICAL & MINING CO OF CHILE INC,Chile,2021,20-F,198488,0,0,0,0,1,0,0,0.0,0.0
