cik,fy,form,employees,emp_matches,emp_min,emp_max
887153,2017,20-F,3973,4,800,4420
887153,2018,20-F,3767,3,800,4685
887153,2019,20-F,4201,3,800,4685
887153,2020,20-F,4201,4,500,4448
887153,2021,20-F,5331,2,800,5331
887153,2022,20-F,800,3,114,5092
887153,2023,20-F,5092,2,4260,5092
887153,2024,20-F,4443,2,4260,4443
888746,2017,20-F,6240,3,550,80000
888746,2018,20-F,6219,3,617,85000
888746,2019,20-F,6379,3,395,85000
888746,2020,20-F,6468,3,229,84000
888746,2021,20-F,6761,3,357,80000
888746,2022,20-F,6852,3,417,85000
888746,2023,20-F,6708,2,447,6708
888746,2024,20-F,6439,2,532,6439
888746,2025,20-F,6376,2,401,6376
904851,2017,20-F,19072,2,220,19072
904851,2018,20-F,21314,1,21314,21314
904851,2019,20-F,22932,1,22932,22932
904851,2020,20-F,21314,1,21314,21314
904851,2021,20-F,22932,1,22932,22932
904851,2022,20-F,23301,1,23301,23301
904851,2023,20-F,,0,,
904851,2024,20-F,,0,,
904851,2025,20-F,,0,,
909037,2017,20-F,4921,2,4921,4921
909037,2018,20-F,5290,2,5290,5290
909037,2019,20-F,5741,2,5741,5741
909037,2020,20-F,5507,2,5507,5507
909037,2021,20-F,6081,2,6081,6081
909037,2022,20-F,6997,2,6997,6997
909037,2023,20-F,7682,2,7682,7682
909037,2024,20-F,8344,3,7258,8344
909037,2025,20-F,6840,5,590,7739
909327,2018,20-F,9385,2,9385,9385
909327,2019,20-F,14534,1,14534,14534
909327,2020,20-F,15653,2,1337,15653
909327,2021,20-F,17421,2,1304,17421
909327,2022,20-F,19319,2,3772,19319
909327,2023,20-F,20907,2,3565,20907
909327,2024,20-F,23980,2,5557,23980
909327,2025,20-F,23094,2,5557,23094
910631,2017,20-F,,0,,
910631,2018,20-F,,0,,
910631,2019,20-F,,0,,
910631,2020,20-F,,0,,
910631,2021,20-F,,0,,
910631,2022,20-F,,0,,
910631,2023,20-F,86000,1,86000,86000
910631,2024,20-F,93000,1,93000,93000
910631,2025,20-F,90200,1,90200,90200
912505,2017,20-F,11393,5,2841,11517
912505,2018,20-F,18364,4,15577,18364
