cik,name,country,fy,revenue,revenue_concept,cogs,cogs_concept,ppe_net,ppe_net_concept,assets,assets_concept,intangibles,intangibles_concept,goodwill,goodwill_concept,rnd,rnd_concept,liabilities,liabilities_concept,units
887153,"GRUPO SIMEC, S.A.B. de C.V.",Mexico,2016,27515565000,ifrs-full:Revenue,22775593000,ifrs-full:CostOfSales,14491000000,ifrs-full:PropertyPlantAndEquipment,41879728000,ifrs-full:Assets,2544273000,ifrs-full:IntangibleAssetsOtherThanGoodwill,,,,,8648055000,ifrs-full:Liabilities,MXN
887153,"GRUPO SIMEC, S.A.B. de C.V.",Mexico,2017,28700450000,ifrs-full:Revenue,23994526000,ifrs-full:CostOfSales,15737081000,ifrs-full:PropertyPlantAndEquipment,45976531000,ifrs-full:Assets,2471548000,ifrs-full:IntangibleAssetsOtherThanGoodwill,,,,,11658995000,ifrs-full:Liabilities,MXN
887153,"GRUPO SIMEC, S.A.B. de C.V.",Mexico,2018,35678253000,ifrs-full:Revenue,30563315000,ifrs-full:CostOfSales,16971000000,ifrs-full:PropertyPlantAndEquipment,48853823000,ifrs-full:Assets,2300052000,ifrs-full:IntangibleAssetsOtherThanGoodwill,,,,,13344820000,ifrs-full:Liabilities,MXN
887153,"GRUPO SIMEC, S.A.B. de C.V.",Mexico,2019,34171201000,ifrs-full:Revenue,30067141000,ifrs-full:CostOfSales,16737595000,ifrs-full:PropertyPlantAndEquipment,44014759000,ifrs-full:Assets,2335117000,ifrs-full:IntangibleAssetsOtherThanGoodwill,,,,,11404982000,ifrs-full:Liabilities,MXN
887153,"GRUPO SIMEC, S.A.B. de C.V.",Mexico,2020,35869314000,ifrs-full:Revenue,29211724000,ifrs-full:CostOfSales,15950352000,ifrs-full:PropertyPlantAndEquipment,45503647000,ifrs-full:Assets,2322956000,ifrs-full:IntangibleAssetsOtherThanGoodwill,,,,,12484988000,ifrs-full:Liabilities,MXN
887153,"GRUPO SIMEC, S.A.B. de C.V.",Mexico,2021,55620356000,ifrs-full:Revenue,39968186000,ifrs-full:CostOfSales,16012749000,ifrs-full:PropertyPlantAndEquipment,57342572000,ifrs-full:Assets,2312569000,ifrs-full:IntangibleAssetsOtherThanGoodwill,,,,,15542504000,ifrs-full:Liabilities,MXN
887153,"GRUPO SIMEC, S.A.B. de C.V.",Mexico,2022,54159247000,ifrs-full:Revenue,39683861000,ifrs-full:CostOfSales,16782893000,ifrs-full:PropertyPlantAndEquipment,67632903000,ifrs-full:Assets,2325255000,ifrs-full:IntangibleAssetsOtherThanGoodwill,,,,,19638527000,ifrs-full:Liabilities,MXN
887153,"GRUPO SIMEC, S.A.B. de C.V.",Mexico,2023,41139248000,ifrs-full:Revenue,31100106000,ifrs-full:CostOfSales,17953857000,ifrs-full:PropertyPlantAndEquipment,66787612000,ifrs-full:Assets,2298081000,ifrs-full:IntangibleAssetsOtherThanGoodwill,,,,,16982147000,ifrs-full:Liabilities,MXN
887153,"GRUPO SIMEC, S.A.B. de C.V.",Mexico,2024,33657672000,ifrs-full:Revenue,26032751000,ifrs-full:CostOfSales,19630424000,ifrs-full:PropertyPlantAndEquipment,73298401000,ifrs-full:Assets,-2262605000,ifrs-full:IntangibleAssetsOtherThanGoodwill,,,,,14056389000,ifrs-full:Liabilities,MXN
888746,UNITED BREWERIES CO INC,Chile,2016,1558897708000,ifrs-full:Revenue,741819916000,ifrs-full:CostOfSales,904104722000,ifrs-full:PropertyPlantAndEquipment,1872027323000,ifrs-full:Assets,77934155000,ifrs-full:IntangibleAssetsOtherThanGoodwill,96926551000,ifrs-full:Goodwill,,,671371605000,ifrs-full:Liabilities,CLP
888746,UNITED BREWERIES CO INC,Chile,2017,1698360794000,ifrs-full:Revenue,798738655000,ifrs-full:CostOfSales,917913428000,ifrs-full:PropertyPlantAndEquipment,1976229087000,ifrs-full:Assets,77032480000,ifrs-full:IntangibleAssetsOtherThanGoodwill,94617474000,ifrs-full:Goodwill,,,749400479000,ifrs-full:Liabilities,CLP
888746,UNITED BREWERIES CO INC,Chile,2018,1783282337000,ifrs-full:Revenue,860011392000,ifrs-full:CostOfSales,1008946571000,ifrs-full:PropertyPlantAndEquipment,2405864916000,ifrs-full:Assets,118964142000,ifrs-full:IntangibleAssetsOtherThanGoodwill,124955438000,ifrs-full:Goodwill,,,1016748973000,ifrs-full:Liabilities,CLP
888746,UNITED BREWERIES CO INC,Chile,2019,1822540697000,ifrs-full:Revenue,908318190000,ifrs-full:CostOfSales,1071730034000,ifrs-full:PropertyPlantAndEquipment,2353690714000,ifrs-full:Assets,125618666000,ifrs-full:IntangibleAssetsOtherThanGoodwill,124955438000,ifrs-full:Goodwill,,,910763491000,ifrs-full:Liabilities,CLP
888746,UNITED BREWERIES CO INC,Chile,2020,1857593678000,ifrs-full:Revenue,984035922000,ifrs-full:CostOfSales,1082515880000,ifrs-full:PropertyPlantAndEquipment,2525336532000,ifrs-full:Assets,128257441000,ifrs-full:IntangibleAssetsOtherThanGoodwill,117190763000,ifrs-full:Goodwill,,,1116517857000,ifrs-full:Liabilities,CLP
888746,UNITED BREWERIES CO INC,Chile,2021,2484712280000,ifrs-full:Revenue,1291559797000,ifrs-full:CostOfSales,1222261454000,ifrs-full:PropertyPlantAndEquipment,2846750637000,ifrs-full:Assets,151943693000,ifrs-full:IntangibleAssetsOtherThanGoodwill,131172835000,ifrs-full:Goodwill,,,1421235334000,ifrs-full:Liabilities,CLP
888746,UNITED BREWERIES CO INC,Chile,2022,2711434948000,ifrs-full:Revenue,1514925309000,ifrs-full:CostOfSales,1356846302000,ifrs-full:PropertyPlantAndEquipment,3595078979000,ifrs-full:Assets,172389672000,ifrs-full:IntangibleAssetsOtherThanGoodwill,136969434000,ifrs-full:Goodwill,,,2159109926000,ifrs-full:Liabilities,CLP
888746,UNITED BREWERIES CO INC,Chile,2023,2565556067000,ifrs-full:Revenue,1378611966000,ifrs-full:CostOfSales,1273987695000,ifrs-full:PropertyPlantAndEquipment,3423946280000,ifrs-full:Assets,153123207000,ifrs-full:IntangibleAssetsOtherThanGoodwill,127592056000,ifrs-full:Goodwill,,,2086563699000,ifrs-full:Liabilities,CLP
888746,UNITED BREWERIES CO INC,Chile,2024,2904566454000,ifrs-full:Revenue,1590957777000,ifrs-full:CostOfSales,1522708449000,ifrs-full:PropertyPlantAndEquipment,3989716990000,ifrs-full:Assets,244632721000,ifrs-full:IntangibleAssetsOtherThanGoodwill,161583233000,ifrs-full:Goodwill,,,2317201680000,ifrs-full:Liabilities,CLP
904851,YPF SOCIEDAD ANONIMA,Argentina,2016,210100000000,ifrs-full:Revenue,177304000000,ifrs-full:CostOfSales,308014000000,ifrs-full:PropertyPlantAndEquipment,421139000000,ifrs-full:Assets,8114000000,ifrs-full:IntangibleAssetsOtherThanGoodwill,,,400000000,ifrs-full:ResearchAndDevelopmentExpense,302478000000,ifrs-full:Liabilities,ARS
904851,YPF SOCIEDAD ANONIMA,Argentina,2017,252813000000,ifrs-full:Revenue,211812000000,ifrs-full:CostOfSales,354443000000,ifrs-full:PropertyPlantAndEquipment,505718000000,ifrs-full:Assets,9976000000,ifrs-full:IntangibleAssetsOtherThanGoodwill,,,449000000,ifrs-full:ResearchAndDevelopmentExpense,353185000000,ifrs-full:Liabilities,ARS
904851,YPF SOCIEDAD ANONIMA,Argentina,2018,435820000000,ifrs-full:Revenue,359570000000,ifrs-full:CostOfSales,699087000000,ifrs-full:PropertyPlantAndEquipment,994016000000,ifrs-full:Assets,20402000000,ifrs-full:IntangibleAssetsOtherThanGoodwill,,,700000000,ifrs-full:ResearchAndDevelopmentExpense,631659000000,ifrs-full:Liabilities,ARS
904851,YPF SOCIEDAD ANONIMA,Argentina,2019,678595000000,ifrs-full:Revenue,575608000000,ifrs-full:CostOfSales,1069011000000,ifrs-full:PropertyPlantAndEquipment,1573289000000,ifrs-full:Assets,37179000000,ifrs-full:IntangibleAssetsOtherThanGoodwill,,,1261000000,ifrs-full:ResearchAndDevelopmentExpense,1025190000000,ifrs-full:Liabilities,ARS
