cik,name,country,sic,sic_desc,form,status,fy,revenue,cogs,assets,ppe_net,intangibles,goodwill,rnd,liabilities,currency,revenue_concept,employees,emp_matches,ai_exposure,ai_exposure_total,ai_total_mentions,filing_words
887153,"GRUPO SIMEC, S.A.B. de C.V.",Mexico,3312,"Steel Works, Blast Furnaces & Rolling Mills (Coke Ovens)",20-F,active,2017,28700450000,23994526000,45976531000,15737081000,2471548000,,,11658995000,MXN,ifrs-full:Revenue,3973,4,0.0,0.0,0,113566
887153,"GRUPO SIMEC, S.A.B. de C.V.",Mexico,3312,"Steel Works, Blast Furnaces & Rolling Mills (Coke Ovens)",20-F,active,2018,35678253000,30563315000,48853823000,16971000000,2300052000,,,13344820000,MXN,ifrs-full:Revenue,3767,3,0.0,0.0,0,118638
887153,"GRUPO SIMEC, S.A.B. de C.V.",Mexico,3312,"Steel Works, Blast Furnaces & Rolling Mills (Coke Ovens)",20-F,active,2019,34171201000,30067141000,44014759000,16737595000,2335117000,,,11404982000,MXN,ifrs-full:Revenue,4201,3,0.0,0.0,0,102317
887153,"GRUPO SIMEC, S.A.B. de C.V.",Mexico,3312,"Steel Works, Blast Furnaces & Rolling Mills (Coke Ovens)",20-F,active,2020,35869314000,29211724000,45503647000,15950352000,2322956000,,,12484988000,MXN,ifrs-full:Revenue,4201,4,0.0,0.0,0,103328
887153,"GRUPO SIMEC, S.A.B. de C.V.",Mexico,3312,"Steel Works, Blast Furnaces & Rolling Mills (Coke Ovens)",20-F,active,2021,55620356000,39968186000,57342572000,16012749000,2312569000,,,15542504000,MXN,ifrs-full:Revenue,5331,2,0.0,0.0,0,102431
887153,"GRUPO SIMEC, S.A.B. de C.V.",Mexico,3312,"Steel Works, Blast Furnaces & Rolling Mills (Coke Ovens)",20-F,active,2022,54159247000,39683861000,67632903000,16782893000,2325255000,,,19638527000,MXN,ifrs-full:Revenue,800,3,0.0,0.0,0,98949
887153,"GRUPO SIMEC, S.A.B. de C.V.",Mexico,3312,"Steel Works, Blast Furnaces & Rolling Mills (Coke Ovens)",20-F,active,2023,41139248000,31100106000,66787612000,17953857000,2298081000,,,16982147000,MXN,ifrs-full:Revenue,5092,2,0.0,0.0,0,94818
887153,"GRUPO SIMEC, S.A.B. de C.V.",Mexico,3312,"Steel Works, Blast Furnaces & Rolling Mills (Coke Ovens)",20-F,active,2024,33657672000,26032751000,73298401000,19630424000,-2262605000,,,14056389000,MXN,ifrs-full:Revenue,4443,2,0.3114,0.3114,3,96331
888746,UNITED BREWERIES CO INC,Chile,2082,Malt Beverages,20-F,active,2017,1698360794000,798738655000,1976229087000,917913428000,77032480000,94617474000,,749400479000,CLP,ifrs-full:Revenue,6240,3,0.0,0.0,0,141601
888746,UNITED BREWERIES CO INC,Chile,2082,Malt Beverages,20-F,active,2018,1783282337000,860011392000,2405864916000,1008946571000,118964142000,124955438000,,1016748973000,CLP,ifrs-full:Revenue,6219,3,0.0,0.0,0,156384
