cik,name,ticker,exchange,country_operating,addr_country,form_type,sic,sic_desc,n_annual_2018plus,first_annual,last_annual,status,via
1499505,Adecoagro S.A.,AGRO,NYSE,Argentina,Luxembourg,20-F,0100,Agricultural Production-Crops,9,2018-04-27,2026-04-29,active,curation:ADECOAGRO
1508478,Arcos Dorados Holdings Inc.,ARCO,NYSE,Argentina,Uruguay,20-F,5812,Retail-Eating  Places,9,2018-04-27,2026-04-30,active,address:20-F;curation:ARCOS DORADOS
913059,Banco BBVA Argentina S.A.,BBAR,NYSE,Argentina,,20-F,6029,"Commercial Banks, NEC",10,2018-05-02,2026-04-09,active,curation:BBVA ARGENTINA
1769484,Bioceres Crop Solutions Corp.,BIOX,Nasdaq,Argentina,Cayman Islands,20-F,2870,Agricultural Chemicals,7,2019-10-24,2025-11-10,active,curation:BIOCERES
1717161,CENTRAL PUERTO S.A.,CEPU,NYSE,Argentina,,20-F,4911,Electric Services,12,2018-04-27,2026-04-22,active,curation:CENTRAL PUERTO
1717393,CORPORACION AMERICA AIRPORTS S.A.,CAAP,NYSE,Argentina,,20-F,4581,"Airports, Flying Fields & Airport Terminal Services",10,2018-04-27,2026-03-17,active,curation:CORPORACION AMERICA
1034957,CRESUD INC,CRESY,Nasdaq,Argentina,Argentina,20-F,6500,Real Estate,13,2018-10-31,2026-06-30,active,address:20-F;curation:CRESUD
1703141,"Despegar.com, Corp.",,,Argentina,,20-F,4700,Transportation Services,9,2018-04-24,2025-04-30,delisted_in_window,curation:manual:Despegar
1395213,EDENOR,EDN,NYSE,Argentina,,20-F,4911,Electric Services,10,2018-04-27,2026-04-15,active,curation:EDENOR
931427,GAS TRANSPORTER OF THE SOUTH INC,TGS,NYSE,Argentina,Argentina,20-F,4922,Natural Gas Transmission,9,2018-04-16,2026-04-22,active,address:20-F
1114700,GRUPO FINANCIERO GALICIA SA,GGAL,Nasdaq,Argentina,Argentina,20-F,6029,"Commercial Banks, NEC",11,2018-04-19,2026-04-16,active,address:20-F;curation:GRUPO FINANCIERO GALICIA
1557860,Globant S.A.,GLOB,NYSE,Argentina,Luxembourg,20-F,7374,Services-Computer Processing & Data Preparation,9,2018-04-13,2026-02-27,active,curation:GLOBANT
1517399,Grupo Supervielle S.A.,SUPV,NYSE,Argentina,Argentina,20-F,6029,"Commercial Banks, NEC",11,2018-04-27,2026-04-08,active,address:20-F;curation:GRUPO SUPERVIELLE
933267,IRSA INVESTMENTS & REPRESENTATIONS INC,IRS,NYSE,Argentina,Argentina,20-F,6552,Land Subdividers & Developers (No Cemeteries),15,2018-10-31,2026-06-30,active,address:20-F;curation:IRSA
1128173,IRSA PROPIEDADES COMERCIALES S.A.,,,Argentina,Argentina,20-F,6512,Opeators of  Nonresidential Buildings,8,2018-10-23,2021-10-20,delisted_in_window,address:20-F
1711375,Loma Negra Compania Industrial Argentina Sociedad Anonima,LOMA,NYSE,Argentina,Argentina,20-F,3241,"Cement, Hydraulic",12,2018-04-27,2026-04-28,active,address:20-F;curation:LOMA NEGRA
1099590,MERCADOLIBRE INC,MELI,Nasdaq,Argentina,Uruguay,10-K,7389,"Services-Business Services, NEC",10,2018-02-23,2026-02-25,active,address:20-F;curation:MERCADOLIBRE
1469395,Pampa Energy Inc.,PAM;PPENF,NYSE;OTC,Argentina,Argentina,20-F,4911,Electric Services,10,2018-04-30,2026-04-09,active,address:20-F
1449877,Petrobras Argentina S.A.,,,Argentina,Argentina,20-F,1311,Crude Petroleum & Natural Gas,1,2018-04-30,2018-04-30,delisted_in_window,address:20-F
