spec,sample,regressor,coef,se,t,ci_lo,ci_hi,mde_80,n,firms,clusters,sd_within_x,sd_within_y
ln(1+exp per 10k) [stage-4],full,lexp,-0.002345636124993223,0.292200217622085,-0.008027496160276426,-0.5750580626642798,0.5703667904142933,0.8187450097770821,565,107,107,0.09061829945522977,0.4647360132720422
ln(1+exp_tot per 10k),full,lexp_tot,0.1584546704526428,0.281971238424101,0.5619533089198192,-0.39420895685859514,0.7111182977638808,0.790083410064331,565,107,107,0.09131489127959638,0.4647360132720422
1[any AI mention],full,anyai,-0.0073905276311281125,0.14419193648787085,-0.05125479143384547,-0.290006723147355,0.2752256678850987,0.4040258060390141,565,107,107,0.2761301583901632,0.4647360132720422
within-year percentile rank,full,rank_yr,-0.07631939634178354,0.3075154217289603,-0.248180712084906,-0.6790496229305457,0.5264108302469787,0.8616582116845467,565,107,107,0.12811125171940085,0.4647360132720422
ln(1+mentions) + ln(words),full,lment,0.06532084452754248,0.07579959126761786,0.8617572131348422,-0.0832463543569885,0.21388804341207346,0.21239045473186524,565,107,107,0.4093795189392928,0.46473601327204217
"ln(1+exp per 10k) [stage-4], t-1",full,lexp_l1,-0.5774978291626055,0.43322143934358454,-1.3330315093307201,-1.4266118502760312,0.2716161919508202,1.213886473040724,458,99,99,0.06831222804765913,0.40201976582356636
"1[any AI mention], t-1",full,anyai_l1,-0.06883817574464422,0.13063050039085072,-0.5269686293681656,-0.32487395651071166,0.18719760502142319,0.3660266620951637,458,99,99,0.26026742062731284,0.40201976582356636
"ln(1+mentions) + ln(words), t-1",full,lment_l1,-0.08789745644345262,0.07996860955540867,-1.0991494904328705,-0.24463593117205362,0.06884101828514838,0.22407204397425512,458,99,99,0.34160159433954795,0.40201976582356636
"ln(1+mentions) + ln(words), t-1",non-financials,lment_l1,-0.18521726151128792,0.1071743597681983,-1.7281863116503282,-0.3952790066569566,0.024844483634380715,0.3003025560704916,371,82,82,0.31280248008288686,0.37550953739136766
"ln(1+mentions) + ln(words), t-1",financials,lment_l1,0.17626164275134973,0.08533372457280661,2.065556655750606,0.009007542588648776,0.3435157429140507,0.2391050962530041,87,17,17,0.4018292164615039,0.4509986207940395
