part,spec,sample,coef,se,t,n,clusters,boot_p,ci_lo,ci_hi,regressor,p_asymptotic_normal
A validation,"PoissonFE mentions ~ lprod, offset ln(words)",full,0.027865281928621803,0.09814437118774859,0.28392134557891224,565,107,,,,,
B,"B log1p, t-1  [addendum 1]",full,-0.08789745644345262,0.07996860955540867,-1.0991494904328705,458,99,0.3019,-0.24783467555426997,0.05204761027851257,lment_l1,0.27170295401607536
C,"C two-part, t-1",full,-0.11524033888116844,0.12921084566771146,-0.8918782187799417,458,99,0.4753,-0.3736620302165914,0.11087864103732659,anyai_l1,0.3724581460889702
C,"C extensive only, t-1",full,-0.12194157886105769,0.12359772346426369,-0.9866005250195014,458,99,0.4203,-0.36913702578958507,0.0943544372014038,anyai_l1,0.3238385221131499
B,"B log1p, t-1  [addendum 1]",non-financials,-0.18521726151128792,0.1071743597681983,-1.7281863116503282,371,82,0.0819,-0.4263595709897341,0.002337868083059136,lment_l1,0.08395475368154703
C,"C two-part, t-1",non-financials,-0.1420494310285022,0.16316819584075418,-0.870570580844915,371,82,0.502,-0.4683858227100105,0.1842869606530061,anyai_l1,0.38398858596716234
C,"C extensive only, t-1",non-financials,-0.17222560011483373,0.15934474711774416,-1.0808363829375032,371,82,0.3732,-0.4909150943503221,0.14646389412065464,anyai_l1,0.27976997829952266
B,"B log1p, t-1  [addendum 1]",financials,0.17626164275134973,0.08533372457280661,2.065556655750606,87,17,0.0602,-0.0157392375374652,0.3682625230401645,lment_l1,0.03887022923699579
C,"C two-part, t-1",financials,-0.11657394834861519,0.10722630062566864,-1.0871768182656936,87,17,0.2374,-0.38463969991278685,0.09787865290272213,anyai_l1,0.2769587547110077
C,"C extensive only, t-1",financials,0.07895273599050898,0.07950995683329025,0.9929918105231825,87,17,0.2972,-0.11982215609271663,0.21809516044876698,anyai_l1,0.320713959818435
B units,"log1p(k*mentions), k=0.01",full,-1.6473620263076936,1.4014316625201064,-1.1754850916849888,458,99,,,,_x,
B units,"log1p(k*mentions), k=0.1",full,-0.2968630884495259,0.2533311163265967,-1.1718382358794306,458,99,,,,_x,
B units,"log1p(k*mentions), k=1",full,-0.08789745644345262,0.07996860955540867,-1.0991494904328705,458,99,,,,_x,
B units,"log1p(k*mentions), k=10",full,-0.040142967274126674,0.03861327231073978,-1.039615781617178,458,99,,,,_x,
B units,"log1p(k*mentions), k=100",full,-0.02389734288945384,0.023326399187460975,-1.0244762896066604,458,99,,,,_x,
D PPML,"PPML productivity level, t-1",full,-0.014378962538165816,0.09686770404735508,-0.1484391798027593,458,99,,,,lment_l1,
D PPML,"PPML productivity level, t-1",non-financials,-0.1962253619471125,0.11821971293687988,-1.6598362241996099,371,82,,,,lment_l1,
D PPML,"PPML productivity level, t-1",financials,0.173960997498709,0.14494612286670347,1.2001769627097127,87,17,,,,lment_l1,
