model,var,coef,se,t,n,firms,KP_F_approx
FH1 baseline (log1p exposure),lexp,-0.0023456361249932466,0.29220021761208786,-0.008027496160551153,565,107,
FH1 total-exposure variant,lexp_tot,0.15845467045264275,0.28197123841538974,0.56195330893718,565,107,
FH1 excl. ARS (IAS-29),lexp,-0.18403784364258913,0.2899057328764191,-0.6348196077965823,489,97,
FH1 lagged exposure (t-1),lexp_l1,-0.5945334798602884,0.43355761261226694,-1.3712906025986056,450,98,
"FH1 lagged exposure, non-financials",lexp_l1,-0.909940096339866,0.4850664123260698,-1.875908274036894,366,81,
FH2 x intangibles,lexp,0.04863749688172402,0.3106251497771618,0.15657939132300103,551,106,
FH2 x intangibles,exp_x_intang,-0.17168440899711312,0.2476231970474684,-0.6933292641569517,551,106,
FH2 x size,lexp,0.057626094254285345,0.2955786998544961,0.1949602399721388,551,106,
FH2 x size,exp_x_size,-0.1599224101011433,0.18172175698058116,-0.8800399729694043,551,106,
FH2 both moderators,lexp,0.07832636171209023,0.3057792085657308,0.2561533273615399,551,106,
FH2 both moderators,exp_x_intang,-0.20605595079429495,0.21886834191929727,-0.9414607383934649,551,106,
FH2 both moderators,exp_x_size,-0.17488277715140876,0.1829306789688805,-0.9560057292585635,551,106,
IV: leave-one-out sector-year exposure,lexp,0.27438574925670484,5.376375547469113,0.051035450711003585,498,95,0.48541068035746743
